"";"parsed";"ebird"
"3829";"Prionochilus maculatus";"Prionochilus maculatus"
"3830";"Prionochilus percussus";"Prionochilus percussus"
"3831";"Prionochilus plateni";"Prionochilus plateni"
"3832";"Prionochilus thoracicus";"Prionochilus thoracicus"
"3833";"Dicaeum annae";"Dicaeum annae"
"3834";"Dicaeum chrysorrheum";"Dicaeum chrysorrheum"
"3835";"Dicaeum melanozanthum";"Dicaeum melanozanthum"
"3836";"Dicaeum nigrilore";"Dicaeum nigrilore"
"3837";"Dicaeum bicolor";"Dicaeum bicolor"
"3838";"Dicaeum retrocinctum";"Dicaeum retrocinctum"
"3839";"Dicaeum trigonostigma";"Dicaeum trigonostigma"
"3840";"Dicaeum hypoleucum";"Dicaeum hypoleucum"
"3841";"Dicaeum erythrorhynchos";"Dicaeum erythrorhynchos"
"3842";"Dicaeum concolor";"Dicaeum concolor"
"3843";"Dicaeum pygmaeum";"Dicaeum pygmaeum"
"3844";"Dicaeum nehrkorni";"Dicaeum nehrkorni"
"3845";"Dicaeum erythrothorax";"Dicaeum erythrothorax"
"3846";"Dicaeum pectorale";"Dicaeum pectorale"
"3847";"Dicaeum nitidum";"Dicaeum nitidum"
"3848";"Dicaeum aeneum";"Dicaeum aeneum"
"3849";"Dicaeum tristrami";"Dicaeum tristrami"
"3850";"Dicaeum igniferum";"Dicaeum igniferum"
"3851";"Dicaeum maugei";"Dicaeum maugei"
"3852";"Dicaeum ignipectus";"Dicaeum ignipectus"
"3853";"Dicaeum sanguinolentum";"Dicaeum sanguinolentum"
"3854";"Dicaeum hirundinaceum";"Dicaeum hirundinaceum"
"3855";"Dicaeum cruentatum";"Dicaeum cruentatum"
"3856";"Dicaeum trochileum";"Dicaeum trochileum"
"3857";"Deleornis fraseri";"Deleornis fraseri"
"3858";"Anthreptes reichenowi";"Anthreptes reichenowi"
"3859";"Anthreptes anchietae";"Anthreptes anchietae"
"3860";"Anthreptes simplex";"Anthreptes simplex"
"3861";"Anthreptes malacensis";"Anthreptes malacensis"
"3862";"Anthreptes rhodolaemus";"Anthreptes rhodolaemus"
"3863";"Chalcoparia singalensis";"Chalcoparia singalensis"
"3864";"Anthreptes longuemarei";"Anthreptes longuemarei"
"3865";"Anthreptes orientalis";"Anthreptes orientalis"
"3866";"Anthreptes neglectus";"Anthreptes neglectus"
"3867";"Anthreptes aurantius";"Anthreptes aurantius"
