"";"parsed";"iucn_itis"
"5879";"Ozimops lumsdenae";"Ozimops lumsdenae"
"5880";"Saccolaimus mixtus";"Saccolaimus mixtus"
"5881";"Nyctimene albiventer";"Nyctimene albiventer"
"5882";"Syconycteris australis";"Syconycteris australis"
"5883";"Syconycteris hobbit";"Syconycteris hobbit"
"5884";"Kerivoula muscina";"Kerivoula muscina"
"5885";"Nyctophilus microtis";"Nyctophilus microtis"
"5886";"Aproteles bulmerae";"Aproteles bulmerae"
"5887";"Emballonura furax";"Emballonura furax"
"5888";"Hipposideros corynophyllus";"Hipposideros corynophyllus"
"5889";"Hipposideros edwardshilli";"Hipposideros edwardshilli"
"5890";"Hipposideros muscinus";"Hipposideros muscinus"
"5891";"Hipposideros semoni";"Hipposideros semoni"
"5892";"Hipposideros wollastoni";"Hipposideros wollastoni"
"5893";"Rhinolophus euryotis";"Rhinolophus euryotis"
"5894";"Rhinolophus megaphyllus";"Rhinolophus megaphyllus"
"5895";"Rhinolophus montanus";"Rhinolophus montanus"
"5896";"Saccolaimus flaviventris";"Saccolaimus flaviventris"
"5897";"Taphozous georgianus";"Taphozous georgianus"
"5898";"Vespadelus douglasorum";"Vespadelus douglasorum"
"5899";"Taphozous kapalgensis";"Taphozous kapalgensis"
"5900";"Rhinonicteris aurantia";"Rhinonicteris aurantia"
"5901";"Taphozous troughtoni";"Taphozous troughtoni"
"5902";"Falsistrellus mackenziei";"Falsistrellus mackenziei"
"5903";"Emballonura alecto";"Emballonura alecto"
"5904";"Kerivoula agnella";"Kerivoula agnella"
"5905";"Chalinolobus gouldii";"Chalinolobus gouldii"
"5906";"Dobsonia magna";"Dobsonia magna"
"5907";"Pipistrellus murrayi";"Pipistrellus murrayi"
"5908";"Saccolaimus saccolaimus";"Saccolaimus saccolaimus"
"5909";"Ozimops ridei";"Ozimops ridei"
"5910";"Ozimops cobourgianus";"Ozimops cobourgianus"
"5911";"Plecotus sacrimontis";"Plecotus sacrimontis"
"5912";"Chaerephon bregullae";"Chaerephon bregullae"
"5913";"Myotis pruinosus";"Myotis pruinosus"
"5914";"Myotis yanbarensis";"Myotis yanbarensis"
"5915";"Ozimops beccarii";"Ozimops beccarii"
"5916";"Nyctalus furvus";"Nyctalus furvus"
"5917";"Eptesicus japonensis";"Eptesicus japonensis"
"5918";"Setirostris eleryi";"Setirostris eleryi"
"5919";"Miniopterus fuscus";"Miniopterus fuscus"
"5920";"Ozimops petersi";"Ozimops petersi"
"5921";"Pteropus ennisae";"Pteropus ennisae"
"5922";"Sapajus nigritus";"Sapajus nigritus"
"5923";"Chlorocebus dryas";"Chlorocebus dryas"
"5924";"Piliocolobus bouvieri";"Piliocolobus bouvieri"
"5925";"Mico schneideri";"Mico schneideri"
"5926";"Microcebus lehilahytsara";"Microcebus lehilahytsara"
"5927";"Lepilemur dorsalis";"Lepilemur dorsalis"
"5928";"Presbytis comata";"Presbytis comata"
"5929";"Presbytis fredericae";"Presbytis fredericae"
"5930";"Trachypithecus margarita";"Trachypithecus margarita"
"5931";"Cacajao calvus";"Cacajao calvus"
"5932";"Cheracebus torquatus";"Cheracebus torquatus"
"5933";"Oreamnos americanus";"Oreamnos americanus"
"5934";"Prionailurus bengalensis";"Prionailurus bengalensis"
"5935";"Felis bieti";"Felis bieti"
"5936";"Saguinus imperator";"Saguinus imperator"
"5937";"Nyctalus azoreum";"Nyctalus azoreum"
"5938";"Pipistrellus maderensis";"Pipistrellus maderensis"
"5939";"Galemys pyrenaicus";"Galemys pyrenaicus"
"5940";"Ammotragus lervia";"Ammotragus lervia"
"5941";"Capricornis rubidus";"Capricornis rubidus"
"5942";"Phocoena sinus";"Phocoena sinus"
"5943";"Casinycteris campomaanensis";"Casinycteris campomaanensis"
"5944";"Panthera tigris";"Panthera tigris"
"5945";"Chlorocebus aethiops";"Chlorocebus aethiops"
"5946";"Microcebus berthae";"Microcebus berthae"
"5947";"Presbytis femoralis";"Presbytis femoralis"
"5948";"Plecturocebus vieirai";"Plecturocebus vieirai"
"5949";"Macaca nemestrina";"Macaca nemestrina"
"5950";"Plecotus teneriffae";"Plecotus teneriffae"
"5951";"Sapajus cay";"Sapajus cay"
"5952";"Rhinopithecus brelichi";"Rhinopithecus brelichi"
"5953";"Hypogeomys antimena";"Hypogeomys antimena"
"5954";"Sicista trizona";"Sicista trizona"
"5955";"Sicista loriger";"Sicista loriger"
"5956";"Spalax antiquus";"Spalax antiquus"
"5957";"Spalax graecus";"Spalax graecus"
"5958";"Spalax istricus";"Spalax istricus"
"5959";"Rupicapra pyrenaica";"Rupicapra pyrenaica"
"5960";"Erythrocebus patas";"Erythrocebus patas"
"5961";"Loris lydekkerianus";"Loris lydekkerianus"
"5962";"Macaca leonina";"Macaca leonina"
"5963";"Theropithecus gelada";"Theropithecus gelada"
"5964";"Trachypithecus germaini";"Trachypithecus germaini"
"5965";"Cheracebus lucifer";"Cheracebus lucifer"
"5966";"Cheracebus lugens";"Cheracebus lugens"
"5967";"Cheracebus medemi";"Cheracebus medemi"
"5968";"Cheracebus regulus";"Cheracebus regulus"
"5969";"Loris tardigradus";"Loris tardigradus"
"5970";"Chaetophractus nationi";"Chaetophractus vellerosus"
"5971";"Solenodon cubanus";"Atopogale cubana"
"5972";"Crocidura neglecta";"Crocidura monticola"
"5973";"Crocidura abscondita";"Crocidura absconditus"
