"";"parsed";"iucn_itis"
"1";"Lemmus lemmus";"Lemmus lemmus"
"2";"Lepus castroviejoi";"Lepus castroviejoi"
"3";"Marmota marmota";"Marmota marmota"
"4";"Microtus felteni";"Microtus felteni"
"5";"Microtus thomasi";"Microtus thomasi"
"6";"Microtus multiplex";"Microtus multiplex"
"7";"Microtus savii";"Microtus savii"
"8";"Microtus duodecimcostatus";"Microtus duodecimcostatus"
"9";"Microtus lusitanicus";"Microtus lusitanicus"
"10";"Microtus liechtensteini";"Microtus liechtensteini"
"11";"Plecotus sardus";"Plecotus sardus"
"12";"Microtus brachycercus";"Microtus brachycercus"
"13";"Myotis alcathoe";"Myotis alcathoe"
"14";"Uromys boeadii";"Uromys boeadii"
"15";"Sorex antinorii";"Sorex antinorii"
"16";"Apodemus epimelas";"Apodemus epimelas"
"17";"Mus spicilegus";"Mus spicilegus"
"18";"Euryoryzomys lamia";"Euryoryzomys lamia"
"19";"Phocarctos hookeri";"Phocarctos hookeri"
"20";"Prolagus sardus";"Prolagus sardus"
"21";"Apodemus alpicola";"Apodemus alpicola"
"22";"Sicista severtzovi";"Sicista severtzovi"
"23";"Sorex samniticus";"Sorex samniticus"
"24";"Spalax giganteus";"Spalax giganteus"
"25";"Spalax microphthalmus";"Spalax microphthalmus"
"26";"Acomys minous";"Acomys minous"
"27";"Acomys nesiotes";"Acomys nesiotes"
"28";"Erinaceus europaeus";"Erinaceus europaeus"
"29";"Crocidura sicula";"Crocidura sicula"
"30";"Sorex coronatus";"Sorex coronatus"
"31";"Sorex granarius";"Sorex granarius"
"32";"Microtus gerbei";"Microtus gerbei"
"33";"Lepus corsicanus";"Lepus corsicanus"
"34";"Lepus granatensis";"Lepus granatensis"
"35";"Talpa caeca";"Talpa caeca"
"36";"Talpa occidentalis";"Talpa occidentalis"
"37";"Talpa romana";"Talpa romana"
"38";"Talpa stankovici";"Talpa stankovici"
"39";"Crocidura canariensis";"Crocidura canariensis"
"40";"Phoniscus aerosus";"Phoniscus aerosus"
"41";"Megaerops wetmorei";"Megaerops wetmorei"
"42";"Mesocricetus brandti";"Mesocricetus brandti"
"43";"Mesocricetus newtoni";"Mesocricetus newtoni"
"44";"Microtus tatricus";"Microtus tatricus"
"45";"Saguinus melanoleucus";"Saguinus melanoleucus"
"46";"Plecotus kolombatovici";"Plecotus kolombatovici"
"47";"Nycticeius aenobarbus";"Nycticeius aenobarbus"
"48";"Crocidura hikmiya";"Crocidura hikmiya"
"49";"Scotophilus collinus";"Scotophilus collinus"
"50";"Bos primigenius";"Bos primigenius"
"51";"Mysateles prehensilis";"Mysateles prehensilis"
"52";"Naemorhedus goral";"Naemorhedus goral"
"53";"Neotoma magister";"Neotoma magister"
"54";"Ovis nivicola";"Ovis nivicola"
"55";"Plagiodontia aedium";"Plagiodontia aedium"
"56";"Pteropus vampyrus";"Pteropus vampyrus"
"57";"Rhinolophus paradoxolophus";"Rhinolophus paradoxolophus"
"58";"Rubrisciurus rubriventer";"Rubrisciurus rubriventer"
"59";"Pennatomys nivalis";"Pennatomys nivalis"
"60";"Scotophilus celebensis";"Scotophilus celebensis"
"61";"Solomys ponceleti";"Solomys ponceleti"
"62";"Spalax arenarius";"Spalax arenarius"
"63";"Speothos venaticus";"Speothos venaticus"
"64";"Rattus vandeuseni";"Rattus vandeuseni"
"65";"Suncus montanus";"Suncus montanus"
"66";"Arvicola sapidus";"Arvicola sapidus"
"67";"Aselliscus stoliczkanus";"Aselliscus stoliczkanus"
"68";"Thomasomys vestitus";"Thomasomys vestitus"
"69";"Trichechus manatus";"Trichechus manatus"
"70";"Babyrousa babyrussa";"Babyrousa babyrussa"
"71";"Budorcas taxicolor";"Budorcas taxicolor"
"72";"Burramys parvus";"Burramys parvus"
"73";"Canis simensis";"Canis simensis"
"74";"Capricornis swinhoei";"Capricornis swinhoei"
"75";"Capromys pilorides";"Capromys pilorides"
"76";"Sarcophilus harrisii";"Sarcophilus harrisii"
"77";"Crocidura aleksandrisi";"Crocidura aleksandrisi"
"78";"Crocidura grandiceps";"Crocidura grandiceps"
"79";"Galeopterus variegatus";"Galeopterus variegatus"
"80";"Pecari tajacu";"Pecari tajacu"
"81";"Dama dama";"Dama dama"
"82";"Spermophilus musicus";"Spermophilus musicus"
"83";"Spalax zemni";"Spalax zemni"
"84";"Rhinolophus hillorum";"Rhinolophus hillorum"
"85";"Acomys seurati";"Acomys seurati"
"86";"Coelops robinsoni";"Coelops robinsoni"
"87";"Crocidura nimbae";"Crocidura nimbae"
"88";"Crocidura stenocephala";"Crocidura stenocephala"
"89";"Ctenodactylus gundi";"Ctenodactylus gundi"
"90";"Cynocephalus volans";"Cynocephalus volans"
"91";"Dasyprocta mexicana";"Dasyprocta mexicana"
"92";"Camelus ferus";"Camelus ferus"
"93";"Atelocynus microtis";"Atelocynus microtis"
"94";"Eliomys quercinus";"Eliomys quercinus"
"95";"Gerbillus maghrebi";"Gerbillus maghrebi"
"96";"Gerbillus floweri";"Gerbillus floweri"
"97";"Gerbillus perpallidus";"Gerbillus perpallidus"
"98";"Nilgiritragus hylocrius";"Nilgiritragus hylocrius"
"99";"Urocyon littoralis";"Urocyon littoralis"
"100";"Ursus maritimus";"Ursus maritimus"
"101";"Carterodon sulcidens";"Carterodon sulcidens"
"102";"Microcebus myoxinus";"Microcebus myoxinus"
"103";"Vulpes pallida";"Vulpes pallida"
"104";"Microcebus gerpi";"Microcebus gerpi"
"105";"Aotus zonalis";"Aotus zonalis"
"106";"Aotus lemurinus";"Aotus lemurinus"
"107";"Aotus brumbacki";"Aotus brumbacki"
"108";"Alouatta sara";"Alouatta sara"
"109";"Alouatta pigra";"Alouatta pigra"
"110";"Ateles hybridus";"Ateles hybridus"
"111";"Leontocebus tripartitus";"Leontocebus tripartitus"
"112";"Leontocebus nigricollis";"Leontocebus nigricollis"
"113";"Mico leucippe";"Mico leucippe"
"114";"Mico intermedius";"Mico intermedius"
"115";"Mico nigriceps";"Mico nigriceps"
"116";"Leontopithecus chrysopygus";"Leontopithecus chrysopygus"
"117";"Saimiri vanzolinii";"Saimiri vanzolinii"
"118";"Saimiri oerstedii";"Saimiri oerstedii"
"119";"Pygathrix nemaeus";"Pygathrix nemaeus"
"120";"Pygathrix cinerea";"Pygathrix cinerea"
"121";"Semnopithecus entellus";"Semnopithecus entellus"
"122";"Semnopithecus hypoleucos";"Semnopithecus hypoleucos"
"123";"Semnopithecus hector";"Semnopithecus hector"
"124";"Semnopithecus schistaceus";"Semnopithecus schistaceus"
"125";"Semnopithecus priam";"Semnopithecus priam"
"126";"Semnopithecus ajax";"Semnopithecus ajax"
"127";"Rhinopithecus strykeri";"Rhinopithecus strykeri"
"128";"Rhinopithecus bieti";"Rhinopithecus bieti"
"129";"Rhinopithecus avunculus";"Rhinopithecus avunculus"
"130";"Colobus satanas";"Colobus satanas"
"131";"Colobus guereza";"Colobus guereza"
"132";"Colobus polykomos";"Colobus polykomos"
"133";"Colobus angolensis";"Colobus angolensis"
"134";"Cercopithecus petaurista";"Cercopithecus petaurista"
"135";"Cercopithecus sclateri";"Cercopithecus sclateri"
"136";"Cercopithecus erythrotis";"Cercopithecus erythrotis"
"137";"Cercopithecus erythrogaster";"Cercopithecus erythrogaster"
"138";"Cercopithecus mona";"Cercopithecus mona"
"139";"Cercopithecus neglectus";"Cercopithecus neglectus"
"140";"Cercopithecus ascanius";"Cercopithecus ascanius"
"141";"Macaca tonkeana";"Macaca tonkeana"
"142";"Macaca thibetana";"Macaca thibetana"
"143";"Macaca nigrescens";"Macaca nigrescens"
"144";"Macaca munzala";"Macaca munzala"
"145";"Macaca hecki";"Macaca hecki"
"146";"Macaca siberu";"Macaca siberu"
"147";"Macaca cyclopis";"Macaca cyclopis"
"148";"Macaca pagensis";"Macaca pagensis"
"149";"Macaca assamensis";"Macaca assamensis"
"150";"Macaca nigra";"Macaca nigra"
"151";"Macaca mulatta";"Macaca mulatta"
"152";"Macaca sinica";"Macaca sinica"
"153";"Macaca silenus";"Macaca silenus"
"154";"Macaca radiata";"Macaca radiata"
"155";"Mandrillus sphinx";"Mandrillus sphinx"
"156";"Mandrillus leucophaeus";"Mandrillus leucophaeus"
"157";"Papio hamadryas";"Papio hamadryas"
"158";"Papio anubis";"Papio anubis"
"159";"Simias concolor";"Simias concolor"
"160";"Miopithecus ogouensis";"Miopithecus ogouensis"
"161";"Presbytis siamensis";"Presbytis siamensis"
"162";"Presbytis rubicunda";"Presbytis rubicunda"
"163";"Presbytis thomasi";"Presbytis thomasi"
"164";"Presbytis melalophos";"Presbytis melalophos"
"165";"Presbytis potenziani";"Presbytis potenziani"
"166";"Presbytis frontata";"Presbytis frontata"
"167";"Presbytis chrysomelas";"Presbytis chrysomelas"
"168";"Presbytis natunae";"Presbytis natunae"
"169";"Cercocebus sanjei";"Cercocebus sanjei"
"170";"Cercocebus chrysogaster";"Cercocebus chrysogaster"
"171";"Cercocebus galeritus";"Cercocebus galeritus"
"172";"Chlorocebus cynosuros";"Chlorocebus cynosuros"
"173";"Chlorocebus sabaeus";"Chlorocebus sabaeus"
"174";"Chlorocebus tantalus";"Chlorocebus tantalus"
"175";"Semnopithecus johnii";"Semnopithecus johnii"
"176";"Trachypithecus francoisi";"Trachypithecus francoisi"
"177";"Trachypithecus delacouri";"Trachypithecus delacouri"
"178";"Trachypithecus laotum";"Trachypithecus laotum"
"179";"Semnopithecus vetulus";"Semnopithecus vetulus"
"180";"Trachypithecus poliocephalus";"Trachypithecus poliocephalus"
"181";"Trachypithecus cristatus";"Trachypithecus cristatus"
"182";"Trachypithecus barbei";"Trachypithecus barbei"
"183";"Trachypithecus obscurus";"Trachypithecus obscurus"
"184";"Trachypithecus geei";"Trachypithecus geei"
"185";"Trachypithecus shortridgei";"Trachypithecus shortridgei"
"186";"Rungwecebus kipunji";"Rungwecebus kipunji"
"187";"Sciurocheirus gabonensis";"Sciurocheirus gabonensis"
"188";"Euoticus elegantulus";"Euoticus elegantulus"
"189";"Paragalago rondoensis";"Paragalago rondoensis"
"190";"Galagoides demidoff";"Galagoides demidoff"
"191";"Paragalago granti";"Paragalago granti"
"192";"Galagoides thomasi";"Galagoides thomasi"
"193";"Paragalago cocos";"Paragalago cocos"
"194";"Galago gallarum";"Galago gallarum"
"195";"Galago matschiei";"Galago matschiei"
"196";"Galago senegalensis";"Galago senegalensis"
"197";"Otolemur crassicaudatus";"Otolemur crassicaudatus"
"198";"Otolemur garnettii";"Otolemur garnettii"
"199";"Hylobates moloch";"Hylobates moloch"
"200";"Hylobates pileatus";"Hylobates pileatus"
"201";"Hylobates albibarbis";"Hylobates albibarbis"
"202";"Hylobates lar";"Hylobates lar"
"203";"Hylobates klossii";"Hylobates klossii"
"204";"Hylobates agilis";"Hylobates agilis"
"205";"Symphalangus syndactylus";"Symphalangus syndactylus"
"206";"Hoolock hoolock";"Hoolock hoolock"
"207";"Hoolock leuconedys";"Hoolock leuconedys"
"208";"Nomascus concolor";"Nomascus concolor"
"209";"Nomascus siki";"Nomascus siki"
"210";"Nomascus gabriellae";"Nomascus gabriellae"
"211";"Nomascus hainanus";"Nomascus hainanus"
"212";"Nomascus nasutus";"Nomascus nasutus"
"213";"Arctocebus aureus";"Arctocebus aureus"
"214";"Arctocebus calabarensis";"Arctocebus calabarensis"
"215";"Nycticebus menagensis";"Nycticebus menagensis"
"216";"Nycticebus coucang";"Nycticebus coucang"
"217";"Palaeopropithecus ingens";"Palaeopropithecus ingens"
"218";"Pithecia aequatorialis";"Pithecia aequatorialis"
"219";"Pithecia monachus";"Pithecia monachus"
"220";"Callicebus coimbrai";"Callicebus coimbrai"
"221";"Plecturocebus modestus";"Plecturocebus modestus"
"222";"Plecturocebus caligatus";"Plecturocebus caligatus"
"223";"Plecturocebus bernhardi";"Plecturocebus bernhardi"
"224";"Callicebus nigrifrons";"Callicebus nigrifrons"
"225";"Plecturocebus brunneus";"Plecturocebus brunneus"
"226";"Plecturocebus baptista";"Plecturocebus baptista"
"227";"Plecturocebus ornatus";"Plecturocebus ornatus"
"228";"Callicebus melanochir";"Callicebus melanochir"
"229";"Plecturocebus dubius";"Plecturocebus dubius"
"230";"Plecturocebus oenanthe";"Plecturocebus oenanthe"
"231";"Plecturocebus olallae";"Plecturocebus olallae"
"232";"Xenothrix mcgregori";"Xenothrix mcgregori"
"233";"Chiropotes chiropotes";"Chiropotes chiropotes"
"234";"Chiropotes utahickae";"Chiropotes utahickae"
"235";"Cephalopachus bancanus";"Cephalopachus bancanus"
"236";"Tarsius tumpara";"Tarsius tumpara"
"237";"Tarsius sangirensis";"Tarsius sangirensis"
"238";"Tarsius pelengensis";"Tarsius pelengensis"
"239";"Tarsius wallacei";"Tarsius wallacei"
"240";"Tarsius dentatus";"Tarsius dentatus"
"241";"Tarsius pumilus";"Tarsius pumilus"
"242";"Tarsius lariang";"Tarsius lariang"
"243";"Tarsius tarsier";"Tarsius tarsier"
"244";"Carlito syrichta";"Carlito syrichta"
"245";"Leontocebus nigrifrons";"Leontocebus nigrifrons"
"246";"Leontocebus cruzlimai";"Leontocebus cruzlimai"
"247";"Leontocebus leucogenys";"Leontocebus leucogenys"
"248";"Leontocebus lagonotus";"Leontocebus lagonotus"
"249";"Leontocebus fuscus";"Leontocebus fuscus"
"250";"Leontocebus illigeri";"Leontocebus illigeri"
"251";"Cebus brunneus";"Cebus brunneus"
"252";"Macaca ochreata";"Macaca ochreata"
"253";"Macaca brunnescens";"Macaca brunnescens"
"254";"Presbytis mitrata";"Presbytis mitrata"
"255";"Presbytis sumatranus";"Presbytis sumatranus"
"256";"Presbytis siberu";"Presbytis siberu"
"257";"Presbytis sabana";"Presbytis sabana"
"258";"Trachypithecus leucocephalus";"Trachypithecus leucocephalus"
"259";"Trachypithecus auratus";"Trachypithecus auratus"
"260";"Hylobates funereus";"Hylobates funereus"
"261";"Hylobates abbotti";"Hylobates abbotti"
"262";"Hylobates muelleri";"Hylobates muelleri"
"263";"Pithecia vanzolinii";"Pithecia vanzolinii"
"264";"Pithecia chrysocephala";"Pithecia chrysocephala"
"265";"Dicerorhinus sumatrensis";"Dicerorhinus sumatrensis"
"266";"Rhinoceros sondaicus";"Rhinoceros sondaicus"
"267";"Rhinoceros unicornis";"Rhinoceros unicornis"
"268";"Lama guanicoe";"Lama guanicoe"
"269";"Choeropsis liberiensis";"Choeropsis liberiensis"
"270";"Hippopotamus amphibius";"Hippopotamus amphibius"
"271";"Microgale jobihely";"Microgale jobihely"
"272";"Dendrohyrax dorsalis";"Dendrohyrax dorsalis"
"273";"Dendrohyrax arboreus";"Dendrohyrax arboreus"
"274";"Heterohyrax brucei";"Heterohyrax brucei"
"275";"Neamblysomus gunningi";"Neamblysomus gunningi"
"276";"Eremitalpa granti";"Eremitalpa granti"
"277";"Amblysomus septentrionalis";"Amblysomus septentrionalis"
"278";"Calcochloris obtusirostris";"Calcochloris obtusirostris"
"279";"Amblysomus marleyi";"Amblysomus marleyi"
"280";"Amblysomus robustus";"Amblysomus robustus"
"281";"Amblysomus corriae";"Amblysomus corriae"
"282";"Neamblysomus julianae";"Neamblysomus julianae"
"283";"Chlorotalpa duthieae";"Chlorotalpa duthieae"
"284";"Calcochloris tytonis";"Calcochloris tytonis"
"285";"Chlorotalpa sclateri";"Chlorotalpa sclateri"
"286";"Procavia capensis";"Procavia capensis"
"287";"Cryptochloris zyli";"Cryptochloris zyli"
"288";"Amblysomus hottentotus";"Amblysomus hottentotus"
"289";"Orycteropus afer";"Orycteropus afer"
"290";"Rhynchocyon petersi";"Rhynchocyon petersi"
"291";"Cryptochloris wintoni";"Cryptochloris wintoni"
"292";"Rhynchocyon chrysopygus";"Rhynchocyon chrysopygus"
"293";"Rhynchocyon udzungwensis";"Rhynchocyon udzungwensis"
"294";"Micropotamogale ruwenzorii";"Micropotamogale ruwenzorii"
"295";"Chrysochloris visagiei";"Chrysochloris visagiei"
"296";"Dendrohyrax validus";"Dendrohyrax validus"
"297";"Chrysochloris stuhlmanni";"Chrysochloris stuhlmanni"
"298";"Chrysochloris asiatica";"Chrysochloris asiatica"
"299";"Elephantulus fuscus";"Elephantulus fuscus"
"300";"Elephantulus fuscipes";"Elephantulus fuscipes"
"301";"Elephantulus brachyrhynchus";"Elephantulus brachyrhynchus"
"302";"Huetia leucorhina";"Huetia leucorhina"
"303";"Elephantulus rufescens";"Elephantulus rufescens"
"304";"Carpitalpa arendsi";"Carpitalpa arendsi"
"305";"Elephantulus rozeti";"Elephantulus rozeti"
"306";"Elephantulus myurus";"Elephantulus myurus"
"307";"Elephantulus intufi";"Elephantulus intufi"
"308";"Chrysospalax trevelyani";"Chrysospalax trevelyani"
"309";"Elephantulus edwardii";"Elephantulus edwardii"
"310";"Chrysospalax villosus";"Chrysospalax villosus"
"311";"Elephantulus rupestris";"Elephantulus rupestris"
"312";"Petrodromus tetradactylus";"Petrodromus tetradactylus"
"313";"Elephantulus pilicaudus";"Elephantulus pilicaudus"
"314";"Murexia naso";"Murexia naso"
"315";"Murexia rothschildi";"Murexia rothschildi"
"316";"Murexia habbema";"Murexia habbema"
"317";"Murexia melanurus";"Murexia melanurus"
"318";"Murexia longicaudata";"Murexia longicaudata"
"319";"Dasykaluta rosamondae";"Dasykaluta rosamondae"
"320";"Phascolosorex dorsalis";"Phascolosorex dorsalis"
"321";"Phascolosorex doriae";"Phascolosorex doriae"
"322";"Antechinomys laniger";"Antechinomys laniger"
"323";"Neophascogale lorentzii";"Neophascogale lorentzii"
"324";"Ningaui yvonneae";"Ningaui yvonneae"
"325";"Ningaui ridei";"Ningaui ridei"
"326";"Ningaui timealeyi";"Ningaui timealeyi"
"327";"Dasyuroides byrnei";"Dasyuroides byrnei"
"328";"Phascogale calura";"Phascogale calura"
"329";"Phascogale pirata";"Phascogale pirata"
"330";"Parantechinus apicalis";"Parantechinus apicalis"
"331";"Planigale maculata";"Planigale maculata"
"332";"Planigale tenuirostris";"Planigale tenuirostris"
"333";"Planigale gilesi";"Planigale gilesi"
"334";"Planigale ingrami";"Planigale ingrami"
"335";"Planigale novaeguineae";"Planigale novaeguineae"
"336";"Myoictis wallacei";"Myoictis wallacei"
"337";"Myoictis melas";"Myoictis melas"
"338";"Myoictis wavicus";"Myoictis wavicus"
"339";"Myoictis leucura";"Myoictis leucura"
"340";"Pseudantechinus bilarni";"Pseudantechinus bilarni"
"341";"Pseudantechinus woolleyae";"Pseudantechinus woolleyae"
"342";"Pseudantechinus mimulus";"Pseudantechinus mimulus"
"343";"Pseudantechinus macdonnellensis";"Pseudantechinus macdonnellensis"
"344";"Pseudantechinus ningbing";"Pseudantechinus ningbing"
"345";"Pseudantechinus roryi";"Pseudantechinus roryi"
"346";"Dasycercus cristicauda";"Dasycercus cristicauda"
"347";"Dasycercus blythi";"Dasycercus blythi"
"348";"Antechinus godmani";"Antechinus godmani"
"349";"Antechinus leo";"Antechinus leo"
"350";"Antechinus subtropicus";"Antechinus subtropicus"
"351";"Antechinus flavipes";"Antechinus flavipes"
"352";"Antechinus swainsonii";"Antechinus swainsonii"
"353";"Antechinus bellus";"Antechinus bellus"
"354";"Antechinus adustus";"Antechinus adustus"
"355";"Antechinus agilis";"Antechinus agilis"
"356";"Antechinus stuartii";"Antechinus stuartii"
"357";"Antechinus minimus";"Antechinus minimus"
"358";"Dasyurus maculatus";"Dasyurus maculatus"
"359";"Dasyurus albopunctatus";"Dasyurus albopunctatus"
"360";"Dasyurus spartacus";"Dasyurus spartacus"
"361";"Dasyurus viverrinus";"Dasyurus viverrinus"
"362";"Dasyurus hallucatus";"Dasyurus hallucatus"
"363";"Dasyurus geoffroii";"Dasyurus geoffroii"
"364";"Sminthopsis psammophila";"Sminthopsis psammophila"
"365";"Sminthopsis butleri";"Sminthopsis butleri"
"366";"Sminthopsis archeri";"Sminthopsis archeri"
"367";"Sminthopsis gilberti";"Sminthopsis gilberti"
"368";"Sminthopsis douglasi";"Sminthopsis douglasi"
"369";"Sminthopsis hirtipes";"Sminthopsis hirtipes"
"370";"Sminthopsis granulipes";"Sminthopsis granulipes"
"371";"Sminthopsis crassicaudata";"Sminthopsis crassicaudata"
"372";"Sminthopsis griseoventer";"Sminthopsis griseoventer"
"373";"Sminthopsis dolichura";"Sminthopsis dolichura"
"374";"Sminthopsis virginiae";"Sminthopsis virginiae"
"375";"Sminthopsis youngsoni";"Sminthopsis youngsoni"
"376";"Sminthopsis bindi";"Sminthopsis bindi"
"377";"Sminthopsis longicaudata";"Sminthopsis longicaudata"
"378";"Sminthopsis macroura";"Sminthopsis macroura"
"379";"Sminthopsis murina";"Sminthopsis murina"
"380";"Sminthopsis ooldea";"Sminthopsis ooldea"
"381";"Thylacinus cynocephalus";"Thylacinus cynocephalus"
"382";"Myrmecobius fasciatus";"Myrmecobius fasciatus"
"383";"Ailurops melanotis";"Ailurops melanotis"
"384";"Ailurops ursinus";"Ailurops ursinus"
"385";"Spilocuscus rufoniger";"Spilocuscus rufoniger"
"386";"Spilocuscus papuensis";"Spilocuscus papuensis"
"387";"Spilocuscus wilsoni";"Spilocuscus wilsoni"
"388";"Spilocuscus kraemeri";"Spilocuscus kraemeri"
"389";"Spilocuscus maculatus";"Spilocuscus maculatus"
"390";"Wyulda squamicaudata";"Wyulda squamicaudata"
"391";"Phalanger intercastellanus";"Phalanger intercastellanus"
"392";"Phalanger alexandrae";"Phalanger alexandrae"
"393";"Phalanger vestitus";"Phalanger vestitus"
"394";"Phalanger matanim";"Phalanger matanim"
"395";"Phalanger rothschildi";"Phalanger rothschildi"
"396";"Phalanger carmelitae";"Phalanger carmelitae"
"397";"Phalanger ornatus";"Phalanger ornatus"
"398";"Phalanger matabiru";"Phalanger matabiru"
"399";"Phalanger sericeus";"Phalanger sericeus"
"400";"Phalanger gymnotis";"Phalanger gymnotis"
"401";"Phalanger lullulae";"Phalanger lullulae"
"402";"Phalanger orientalis";"Phalanger orientalis"
"403";"Phalanger mimicus";"Phalanger mimicus"
"404";"Strigocuscus celebensis";"Strigocuscus celebensis"
"405";"Strigocuscus pelengensis";"Strigocuscus pelengensis"
"406";"Trichosurus caninus";"Trichosurus caninus"
"407";"Trichosurus cunninghami";"Trichosurus cunninghami"
"408";"Trichosurus vulpecula";"Trichosurus vulpecula"
"409";"Dorcopsis luctuosa";"Dorcopsis luctuosa"
"410";"Dorcopsis muelleri";"Dorcopsis muelleri"
"411";"Dorcopsis hageni";"Dorcopsis hageni"
"412";"Dorcopsis atrata";"Dorcopsis atrata"
"413";"Wallabia bicolor";"Wallabia bicolor"
"414";"Dorcopsulus vanheurni";"Dorcopsulus vanheurni"
"415";"Dorcopsulus macleayi";"Dorcopsulus macleayi"
"416";"Macropus giganteus";"Macropus giganteus"
"417";"Macropus parma";"Macropus parma"
"418";"Macropus irma";"Macropus irma"
"419";"Macropus rufogriseus";"Macropus rufogriseus"
"420";"Macropus robustus";"Macropus robustus"
"421";"Macropus rufus";"Macropus rufus"
"422";"Macropus dorsalis";"Macropus dorsalis"
"423";"Macropus antilopinus";"Macropus antilopinus"
"424";"Macropus eugenii";"Macropus eugenii"
"425";"Macropus parryi";"Macropus parryi"
"426";"Macropus fuliginosus";"Macropus fuliginosus"
"427";"Macropus agilis";"Macropus agilis"
"428";"Macropus bernardus";"Macropus bernardus"
"429";"Lagorchestes leporides";"Lagorchestes leporides"
"430";"Lagorchestes conspicillatus";"Lagorchestes conspicillatus"
"431";"Lagorchestes hirsutus";"Lagorchestes hirsutus"
"432";"Lagorchestes asomatus";"Lagorchestes asomatus"
"433";"Petrogale mareeba";"Petrogale mareeba"
"434";"Petrogale herberti";"Petrogale herberti"
"435";"Petrogale inornata";"Petrogale inornata"
"436";"Petrogale godmani";"Petrogale godmani"
"437";"Petrogale brachyotis";"Petrogale brachyotis"
"438";"Petrogale assimilis";"Petrogale assimilis"
"439";"Petrogale rothschildi";"Petrogale rothschildi"
"440";"Petrogale concinna";"Petrogale concinna"
"441";"Petrogale sharmani";"Petrogale sharmani"
"442";"Petrogale coenensis";"Petrogale coenensis"
"443";"Petrogale lateralis";"Petrogale lateralis"
"444";"Petrogale xanthopus";"Petrogale xanthopus"
"445";"Petrogale purpureicollis";"Petrogale purpureicollis"
"446";"Petrogale persephone";"Petrogale persephone"
"447";"Petrogale penicillata";"Petrogale penicillata"
"448";"Petrogale burbidgei";"Petrogale burbidgei"
"449";"Lagostrophus fasciatus";"Lagostrophus fasciatus"
"450";"Dendrolagus mbaiso";"Dendrolagus mbaiso"
"451";"Dendrolagus spadix";"Dendrolagus spadix"
"452";"Dendrolagus scottae";"Dendrolagus scottae"
"453";"Dendrolagus ursinus";"Dendrolagus ursinus"
"454";"Dendrolagus matschiei";"Dendrolagus matschiei"
"455";"Dendrolagus mayri";"Dendrolagus mayri"
"456";"Dendrolagus stellarum";"Dendrolagus stellarum"
"457";"Dendrolagus notatus";"Dendrolagus notatus"
"458";"Dendrolagus bennettianus";"Dendrolagus bennettianus"
"459";"Dendrolagus pulcherrimus";"Dendrolagus pulcherrimus"
"460";"Dendrolagus dorianus";"Dendrolagus dorianus"
"461";"Dendrolagus goodfellowi";"Dendrolagus goodfellowi"
"462";"Dendrolagus inustus";"Dendrolagus inustus"
"463";"Dendrolagus lumholtzi";"Dendrolagus lumholtzi"
"464";"Onychogalea lunata";"Onychogalea lunata"
"465";"Onychogalea unguifera";"Onychogalea unguifera"
"466";"Onychogalea fraenata";"Onychogalea fraenata"
"467";"Thylogale stigmatica";"Thylogale stigmatica"
"468";"Thylogale lanatus";"Thylogale lanatus"
"469";"Thylogale thetis";"Thylogale thetis"
"470";"Thylogale browni";"Thylogale browni"
"471";"Thylogale billardierii";"Thylogale billardierii"
"472";"Thylogale calabyi";"Thylogale calabyi"
"473";"Thylogale brunii";"Thylogale brunii"
"474";"Tarsipes rostratus";"Tarsipes rostratus"
"475";"Vombatus ursinus";"Vombatus ursinus"
"476";"Lasiorhinus krefftii";"Lasiorhinus krefftii"
"477";"Lasiorhinus latifrons";"Lasiorhinus latifrons"
"478";"Petaurus abidi";"Petaurus abidi"
"479";"Petaurus norfolcensis";"Petaurus norfolcensis"
"480";"Petaurus gracilis";"Petaurus gracilis"
"481";"Petaurus australis";"Petaurus australis"
"482";"Petaurus biacensis";"Petaurus biacensis"
"483";"Petaurus breviceps";"Petaurus breviceps"
"484";"Dactylonax palpator";"Dactylonax palpator"
"485";"Gymnobelideus leadbeateri";"Gymnobelideus leadbeateri"
"486";"Dactylopsila trivirgata";"Dactylopsila trivirgata"
"487";"Dactylopsila tatei";"Dactylopsila tatei"
"488";"Dactylopsila megalura";"Dactylopsila megalura"
"489";"Potorous platyops";"Potorous platyops"
"490";"Potorous gilbertii";"Potorous gilbertii"
"491";"Bettongia pusilla";"Bettongia pusilla"
"492";"Bettongia gaimardi";"Bettongia gaimardi"
"493";"Bettongia lesueur";"Bettongia lesueur"
"494";"Bettongia penicillata";"Bettongia penicillata"
"495";"Aepyprymnus rufescens";"Aepyprymnus rufescens"
"496";"Caloprymnus campestris";"Caloprymnus campestris"
"497";"Pseudochirulus canescens";"Pseudochirulus canescens"
"498";"Pseudochirulus larvatus";"Pseudochirulus larvatus"
"499";"Pseudochirulus mayeri";"Pseudochirulus mayeri"
"500";"Pseudochirulus forbesi";"Pseudochirulus forbesi"
"501";"Pseudochirulus caroli";"Pseudochirulus caroli"
"502";"Pseudochirulus cinereus";"Pseudochirulus cinereus"
"503";"Pseudochirulus schlegeli";"Pseudochirulus schlegeli"
"504";"Pseudochirulus herbertensis";"Pseudochirulus herbertensis"
"505";"Petropseudes dahli";"Petropseudes dahli"
"506";"Hemibelideus lemuroides";"Hemibelideus lemuroides"
"507";"Pseudochirops albertisii";"Pseudochirops albertisii"
"508";"Pseudochirops corinnae";"Pseudochirops corinnae"
