"";"parsed";"iucn"
"1";"Polyplectron schleiermacheri";"Polyplectron schleiermacheri"
"2";"Liocichla steerii";"Liocichla steerii"
"3";"Tetraogallus caspius";"Tetraogallus caspius"
"4";"Alectoris barbara";"Alectoris barbara"
"5";"Ammoperdix griseogularis";"Ammoperdix griseogularis"
"6";"Phasianus colchicus";"Phasianus colchicus"
"7";"Perdix perdix";"Perdix perdix"
"8";"Bonasa bonasia";"Bonasa bonasia"
"9";"Tetrao urogallus";"Tetrao urogallus"
"10";"Lyrurus tetrix";"Lyrurus tetrix"
"11";"Cygnus olor";"Cygnus olor"
"12";"Cygnus cygnus";"Cygnus cygnus"
"13";"Anser brachyrhynchus";"Anser brachyrhynchus"
"14";"Anser albifrons";"Anser albifrons"
"15";"Mergellus albellus";"Mergellus albellus"
"16";"Tadorna ferruginea";"Tadorna ferruginea"
"17";"Netta rufina";"Netta rufina"
"18";"Aythya fuligula";"Aythya fuligula"
"19";"Spatula querquedula";"Spatula querquedula"
"20";"Mareca strepera";"Mareca strepera"
"21";"Columba oenas";"Columba oenas"
"22";"Columba bollii";"Columba bollii"
"23";"Caprimulgus europaeus";"Caprimulgus europaeus"
"24";"Tachymarptis melba";"Tachymarptis melba"
"25";"Apus apus";"Apus apus"
"26";"Crex crex";"Crex crex"
"27";"Porzana porzana";"Porzana porzana"
"28";"Zapornia parva";"Zapornia parva"
"29";"Grus grus";"Grus grus"
"30";"Ciconia ciconia";"Ciconia ciconia"
"31";"Botaurus stellaris";"Botaurus stellaris"
"32";"Egretta garzetta";"Egretta garzetta"
"33";"Pluvialis apricaria";"Pluvialis apricaria"
"34";"Eudromias morinellus";"Eudromias morinellus"
"35";"Vanellus spinosus";"Vanellus spinosus"
"36";"Numenius phaeopus";"Numenius phaeopus"
"37";"Calidris pugnax";"Calidris pugnax"
"38";"Calidris alba";"Calidris alba"
"39";"Gallinago stenura";"Gallinago stenura"
"40";"Lymnocryptes minimus";"Lymnocryptes minimus"
"41";"Actitis hypoleucos";"Actitis hypoleucos"
"42";"Tringa ochropus";"Tringa ochropus"
"43";"Tringa erythropus";"Tringa erythropus"
"44";"Tringa nebularia";"Tringa nebularia"
"45";"Tringa totanus";"Tringa totanus"
"46";"Tringa glareola";"Tringa glareola"
"47";"Tringa stagnatilis";"Tringa stagnatilis"
"48";"Chlidonias leucopterus";"Chlidonias leucopterus"
"49";"Glaucidium passerinum";"Glaucidium passerinum"
"50";"Strix aluco";"Strix aluco"
"51";"Picus canus";"Picus canus"
"52";"Picus viridis";"Picus viridis"
"53";"Dryocopus martius";"Dryocopus martius"
"54";"Picoides tridactylus";"Picoides tridactylus"
"55";"Dendrocopos syriacus";"Dendrocopos syriacus"
"56";"Dendrocopos major";"Dendrocopos major"
"57";"Lanius minor";"Lanius minor"
"58";"Perisoreus infaustus";"Perisoreus infaustus"
"59";"Nucifraga caryocatactes";"Nucifraga caryocatactes"
"60";"Pyrrhocorax pyrrhocorax";"Pyrrhocorax pyrrhocorax"
"61";"Pyrrhocorax graculus";"Pyrrhocorax graculus"
"62";"Bombycilla garrulus";"Bombycilla garrulus"
"63";"Poecile cinctus";"Poecile cinctus"
"64";"Lophophanes cristatus";"Lophophanes cristatus"
"65";"Parus major";"Parus major"
"66";"Cyanistes cyanus";"Cyanistes cyanus"
"67";"Aegithalos caudatus";"Aegithalos caudatus"
"68";"Melanocorypha calandra";"Melanocorypha calandra"
"69";"Locustella luscinioides";"Locustella luscinioides"
"70";"Acrocephalus schoenobaenus";"Acrocephalus schoenobaenus"
"71";"Hippolais languida";"Hippolais languida"
"72";"Hippolais olivetorum";"Hippolais olivetorum"
"73";"Phylloscopus trochilus";"Phylloscopus trochilus"
"74";"Phylloscopus canariensis";"Phylloscopus canariensis"
"75";"Phylloscopus bonelli";"Phylloscopus bonelli"
"76";"Phylloscopus sibilatrix";"Phylloscopus sibilatrix"
"77";"Phylloscopus borealis";"Phylloscopus borealis"
"78";"Sylvia atricapilla";"Sylvia atricapilla"
"79";"Curruca nisoria";"Curruca nisoria"
"80";"Curruca mystacea";"Curruca mystacea"
"81";"Curruca sarda";"Curruca sarda"
"82";"Panurus biarmicus";"Panurus biarmicus"
"83";"Regulus ignicapilla";"Regulus ignicapilla"
"84";"Regulus madeirensis";"Regulus madeirensis"
"85";"Sitta tephronota";"Sitta tephronota"
"86";"Certhia brachydactyla";"Certhia brachydactyla"
"87";"Pastor roseus";"Pastor roseus"
"88";"Sturnus unicolor";"Sturnus unicolor"
"89";"Turdus merula";"Turdus merula"
"90";"Turdus pilaris";"Turdus pilaris"
"91";"Turdus viscivorus";"Turdus viscivorus"
"92";"Luscinia luscinia";"Luscinia luscinia"
"93";"Calliope calliope";"Calliope calliope"
"94";"Tarsiger cyanurus";"Tarsiger cyanurus"
"95";"Irania gutturalis";"Irania gutturalis"
"96";"Saxicola rubetra";"Saxicola rubetra"
"97";"Oenanthe pleschanka";"Oenanthe pleschanka"
"98";"Oenanthe isabellina";"Oenanthe isabellina"
"99";"Monticola solitarius";"Monticola solitarius"
"100";"Petronia petronia";"Petronia petronia"
"101";"Montifringilla henrici";"Montifringilla henrici"
"102";"Prunella collaris";"Prunella collaris"
"103";"Prunella atrogularis";"Prunella atrogularis"
"104";"Anthus berthelotii";"Anthus berthelotii"
"105";"Anthus hodgsoni";"Anthus hodgsoni"
"106";"Fringilla montifringilla";"Fringilla montifringilla"
"107";"Serinus pusillus";"Serinus pusillus"
"108";"Rhodopechys sanguineus";"Rhodopechys sanguineus"
"109";"Rhodospiza obsoleta";"Rhodospiza obsoleta"
"110";"Carpodacus rubicilla";"Carpodacus rubicilla"
"111";"Loxia pytyopsittacus";"Loxia pytyopsittacus"
"112";"Loxia scotica";"Loxia scotica"
"113";"Emberiza citrinella";"Emberiza citrinella"
"114";"Emberiza melanocephala";"Emberiza melanocephala"
"115";"Plectrophenax nivalis";"Plectrophenax nivalis"
"116";"Oenanthe deserti";"Oenanthe deserti"
"117";"Prunella montanella";"Prunella montanella"
"118";"Lagopus lagopus";"Lagopus lagopus"
"119";"Apus affinis";"Apus affinis"
"120";"Vanellus indicus";"Vanellus indicus"
"121";"Alcedo atthis";"Alcedo atthis"
"122";"Emberiza rustica";"Emberiza rustica"
"123";"Cygnus columbianus";"Cygnus columbianus"
"124";"Fulica cristata";"Fulica cristata"
"125";"Turnix sylvaticus";"Turnix sylvaticus"
"126";"Ketupa zeylonensis";"Ketupa zeylonensis"
"127";"Melanocorypha yeltoniensis";"Melanocorypha yeltoniensis"
"128";"Chlamydotis undulata";"Chlamydotis undulata"
"129";"Rhea americana";"Rhea americana"
"130";"Casuarius bennetti";"Casuarius bennetti"
"131";"Apteryx owenii";"Apteryx owenii"
"132";"Apteryx haastii";"Apteryx haastii"
"133";"Nothocercus julius";"Nothocercus julius"
"134";"Crypturellus berlepschi";"Crypturellus berlepschi"
"135";"Crypturellus cinereus";"Crypturellus cinereus"
"136";"Crypturellus obsoletus";"Crypturellus obsoletus"
"137";"Crypturellus undulatus";"Crypturellus undulatus"
"138";"Crypturellus strigulosus";"Crypturellus strigulosus"
"139";"Crypturellus kerriae";"Crypturellus kerriae"
"140";"Crypturellus noctivagus";"Crypturellus noctivagus"
"141";"Crypturellus variegatus";"Crypturellus variegatus"
"142";"Crypturellus brevirostris";"Crypturellus brevirostris"
"143";"Crypturellus bartletti";"Crypturellus bartletti"
"144";"Nothoprocta ornata";"Nothoprocta ornata"
"145";"Nothoprocta pentlandii";"Nothoprocta pentlandii"
"146";"Nothoprocta cinerascens";"Nothoprocta cinerascens"
"147";"Nothoprocta curvirostris";"Nothoprocta curvirostris"
"148";"Nothura darwinii";"Nothura darwinii"
"149";"Nothura boraquira";"Nothura boraquira"
"150";"Eudromia elegans";"Eudromia elegans"
"151";"Eudromia formosa";"Eudromia formosa"
"152";"Tinamotis pentlandii";"Tinamotis pentlandii"
"153";"Tinamotis ingoufi";"Tinamotis ingoufi"
"154";"Ortalis garrula";"Ortalis garrula"
"155";"Ortalis ruficauda";"Ortalis ruficauda"
"156";"Ortalis canicollis";"Ortalis canicollis"
"157";"Ortalis motmot";"Ortalis motmot"
"158";"Ortalis superciliaris";"Ortalis superciliaris"
"159";"Penelope argyrotis";"Penelope argyrotis"
"160";"Penelope montagnii";"Penelope montagnii"
"161";"Penelope marail";"Penelope marail"
"162";"Penelope dabbenei";"Penelope dabbenei"
"163";"Penelope jacquacu";"Penelope jacquacu"
"164";"Penelope obscura";"Penelope obscura"
"165";"Penelope jacucaca";"Penelope jacucaca"
"166";"Aburria aburri";"Aburria aburri"
"167";"Chamaepetes goudotii";"Chamaepetes goudotii"
"168";"Nothocrax urumutum";"Nothocrax urumutum"
"169";"Mitu tomentosum";"Mitu tomentosum"
"170";"Mitu salvini";"Mitu salvini"
"171";"Pauxi pauxi";"Pauxi pauxi"
"172";"Crax globulosa";"Crax globulosa"
"173";"Crax blumenbachii";"Crax blumenbachii"
"174";"Aepypodius arfakianus";"Aepypodius arfakianus"
"175";"Talegalla fuscirostris";"Talegalla fuscirostris"
"176";"Talegalla jobiensis";"Talegalla jobiensis"
"177";"Megapodius decollatus";"Megapodius decollatus"
"178";"Megapodius layardi";"Megapodius layardi"
"179";"Lerwa lerwa";"Lerwa lerwa"
"180";"Ammoperdix heyi";"Ammoperdix heyi"
"181";"Tetraogallus tibetanus";"Tetraogallus tibetanus"
"182";"Tetraogallus altaicus";"Tetraogallus altaicus"
"183";"Tetraophasis obscurus";"Tetraophasis obscurus"
"184";"Tetraophasis szechenyii";"Tetraophasis szechenyii"
"185";"Alectoris philbyi";"Alectoris philbyi"
"186";"Alectoris magna";"Alectoris magna"
"187";"Alectoris melanocephala";"Alectoris melanocephala"
"188";"Francolinus pictus";"Francolinus pictus"
"189";"Francolinus pintadeanus";"Francolinus pintadeanus"
"190";"Francolinus gularis";"Francolinus gularis"
"191";"Peliperdix albogularis";"Peliperdix albogularis"
"192";"Peliperdix schlegelii";"Peliperdix schlegelii"
"193";"Peliperdix lathami";"Peliperdix lathami"
"194";"Dendroperdix sephaena";"Dendroperdix sephaena"
"195";"Scleroptila streptophora";"Scleroptila streptophora"
"196";"Scleroptila finschi";"Scleroptila finschi"
"197";"Scleroptila afra";"Scleroptila afra"
"198";"Scleroptila levaillantii";"Scleroptila levaillantii"
"199";"Scleroptila gutturalis";"Scleroptila gutturalis"
"200";"Pternistis hartlaubi";"Pternistis hartlaubi"
"201";"Pternistis bicalcaratus";"Pternistis bicalcaratus"
"202";"Pternistis clappertoni";"Pternistis clappertoni"
"203";"Pternistis icterorhynchus";"Pternistis icterorhynchus"
"204";"Pternistis adspersus";"Pternistis adspersus"
"205";"Pternistis natalensis";"Pternistis natalensis"
"206";"Pternistis ahantensis";"Pternistis ahantensis"
"207";"Pternistis squamatus";"Pternistis squamatus"
"208";"Pternistis griseostriatus";"Pternistis griseostriatus"
"209";"Pternistis leucoscepus";"Pternistis leucoscepus"
"210";"Pternistis rufopictus";"Pternistis rufopictus"
"211";"Pternistis swainsonii";"Pternistis swainsonii"
"212";"Pternistis swierstrai";"Pternistis swierstrai"
"213";"Perdix dauurica";"Perdix dauurica"
"214";"Perdix hodgsoniae";"Perdix hodgsoniae"
"215";"Coturnix pectoralis";"Coturnix pectoralis"
"216";"Coturnix novaezelandiae";"Coturnix novaezelandiae"
"217";"Coturnix coromandelica";"Coturnix coromandelica"
"218";"Coturnix delegorguei";"Coturnix delegorguei"
"219";"Synoicus ypsilophorus";"Synoicus ypsilophorus"
"220";"Synoicus adansonii";"Synoicus adansonii"
"221";"Synoicus chinensis";"Synoicus chinensis"
"222";"Anurophasis monorthonyx";"Anurophasis monorthonyx"
"223";"Perdicula argoondah";"Perdicula argoondah"
"224";"Perdicula erythrorhyncha";"Perdicula erythrorhyncha"
"225";"Arborophila rufogularis";"Arborophila rufogularis"
"226";"Arborophila atrogularis";"Arborophila atrogularis"
"227";"Arborophila crudigularis";"Arborophila crudigularis"
"228";"Arborophila brunneopectus";"Arborophila brunneopectus"
"229";"Arborophila rufipectus";"Arborophila rufipectus"
"230";"Arborophila javanica";"Arborophila javanica"
"231";"Arborophila hyperythra";"Arborophila hyperythra"
"232";"Arborophila gingica";"Arborophila gingica"
"233";"Arborophila cambodiana";"Arborophila cambodiana"
"234";"Arborophila ardens";"Arborophila ardens"
"235";"Caloperdix oculeus";"Caloperdix oculeus"
"236";"Haematortyx sanguiniceps";"Haematortyx sanguiniceps"
"237";"Ptilopachus petrosus";"Ptilopachus petrosus"
"238";"Bambusicola fytchii";"Bambusicola fytchii"
"239";"Galloperdix spadicea";"Galloperdix spadicea"
"240";"Galloperdix lunulata";"Galloperdix lunulata"
"241";"Galloperdix bicalcarata";"Galloperdix bicalcarata"
"242";"Ithaginis cruentus";"Ithaginis cruentus"
"243";"Tragopan satyra";"Tragopan satyra"
"244";"Tragopan temminckii";"Tragopan temminckii"
"245";"Pucrasia macrolopha";"Pucrasia macrolopha"
"246";"Lophophorus impejanus";"Lophophorus impejanus"
"247";"Lophophorus sclateri";"Lophophorus sclateri"
"248";"Lophophorus lhuysii";"Lophophorus lhuysii"
"249";"Gallus gallus";"Gallus gallus"
"250";"Gallus sonneratii";"Gallus sonneratii"
"251";"Gallus lafayettii";"Gallus lafayettii"
"252";"Lophura leucomelanos";"Lophura leucomelanos"
"253";"Lophura nycthemera";"Lophura nycthemera"
"254";"Lophura diardi";"Lophura diardi"
"255";"Lophura bulweri";"Lophura bulweri"
"256";"Crossoptilon crossoptilon";"Crossoptilon crossoptilon"
"257";"Crossoptilon mantchuricum";"Crossoptilon mantchuricum"
"258";"Crossoptilon auritum";"Crossoptilon auritum"
"259";"Syrmaticus ellioti";"Syrmaticus ellioti"
"260";"Syrmaticus humiae";"Syrmaticus humiae"
"261";"Syrmaticus mikado";"Syrmaticus mikado"
"262";"Syrmaticus soemmerringii";"Syrmaticus soemmerringii"
"263";"Polyplectron chalcurum";"Polyplectron chalcurum"
"264";"Polyplectron inopinatum";"Polyplectron inopinatum"
"265";"Polyplectron germaini";"Polyplectron germaini"
"266";"Pavo cristatus";"Pavo cristatus"
"267";"Lyrurus mlokosiewiczi";"Lyrurus mlokosiewiczi"
"268";"Tetrao urogalloides";"Tetrao urogalloides"
"269";"Centrocercus urophasianus";"Centrocercus urophasianus"
"270";"Acryllium vulturinum";"Acryllium vulturinum"
"271";"Odontophorus capueira";"Odontophorus capueira"
"272";"Odontophorus erythrops";"Odontophorus erythrops"
"273";"Odontophorus atrifrons";"Odontophorus atrifrons"
"274";"Odontophorus melanonotus";"Odontophorus melanonotus"
"275";"Odontophorus columbianus";"Odontophorus columbianus"
"276";"Odontophorus balliviani";"Odontophorus balliviani"
"277";"Odontophorus stellatus";"Odontophorus stellatus"
"278";"Anhima cornuta";"Anhima cornuta"
"279";"Chauna chavaria";"Chauna chavaria"
"280";"Chauna torquata";"Chauna torquata"
"281";"Anseranas semipalmata";"Anseranas semipalmata"
"282";"Dendrocygna bicolor";"Dendrocygna bicolor"
"283";"Dendrocygna javanica";"Dendrocygna javanica"
"284";"Dendrocygna viduata";"Dendrocygna viduata"
"285";"Thalassornis leuconotus";"Thalassornis leuconotus"
"286";"Biziura lobata";"Biziura lobata"
"287";"Heteronetta atricapilla";"Heteronetta atricapilla"
"288";"Stictonetta naevosa";"Stictonetta naevosa"
"289";"Cygnus melancoryphus";"Cygnus melancoryphus"
"290";"Coscoroba coscoroba";"Coscoroba coscoroba"
"291";"Anser cygnoid";"Anser cygnoid"
"292";"Anser canagicus";"Anser canagicus"
"293";"Chloephaga melanoptera";"Chloephaga melanoptera"
"294";"Chloephaga picta";"Chloephaga picta"
"295";"Chloephaga hybrida";"Chloephaga hybrida"
"296";"Chloephaga poliocephala";"Chloephaga poliocephala"
"297";"Chloephaga rubidiceps";"Chloephaga rubidiceps"
"298";"Neochen jubata";"Neochen jubata"
"299";"Tadorna cana";"Tadorna cana"
"300";"Tadorna tadornoides";"Tadorna tadornoides"
"301";"Tadorna variegata";"Tadorna variegata"
"302";"Radjah radjah";"Radjah radjah"
"303";"Plectropterus gambensis";"Plectropterus gambensis"
"304";"Pteronetta hartlaubii";"Pteronetta hartlaubii"
"305";"Nettapus pulchellus";"Nettapus pulchellus"
"306";"Nettapus coromandelianus";"Nettapus coromandelianus"
"307";"Nettapus auritus";"Nettapus auritus"
"308";"Chenonetta jubata";"Chenonetta jubata"
"309";"Merganetta armata";"Merganetta armata"
"310";"Hymenolaimus malacorhynchos";"Hymenolaimus malacorhynchos"
"311";"Lophonetta specularioides";"Lophonetta specularioides"
"312";"Anas capensis";"Anas capensis"
"313";"Mareca falcata";"Mareca falcata"
"314";"Mareca sibilatrix";"Mareca sibilatrix"
"315";"Anas sparsa";"Anas sparsa"
"316";"Anas luzonica";"Anas luzonica"
"317";"Anas superciliosa";"Anas superciliosa"
"318";"Anas undulata";"Anas undulata"
"319";"Spatula smithii";"Spatula smithii"
"320";"Spatula platalea";"Spatula platalea"
"321";"Spatula rhynchotis";"Spatula rhynchotis"
"322";"Anas bernieri";"Anas bernieri"
"323";"Anas gracilis";"Anas gracilis"
"324";"Anas castanea";"Anas castanea"
"325";"Anas bahamensis";"Anas bahamensis"
"326";"Anas erythrorhyncha";"Anas erythrorhyncha"
"327";"Anas eatoni";"Anas eatoni"
"328";"Anas georgica";"Anas georgica"
"329";"Sibirionetta formosa";"Sibirionetta formosa"
"330";"Spatula puna";"Spatula puna"
"331";"Spatula versicolor";"Spatula versicolor"
"332";"Spatula hottentota";"Spatula hottentota"
"333";"Malacorhynchus membranaceus";"Malacorhynchus membranaceus"
"334";"Netta peposaca";"Netta peposaca"
"335";"Netta erythrophthalma";"Netta erythrophthalma"
"336";"Aythya novaeseelandiae";"Aythya novaeseelandiae"
"337";"Camptorhynchus labradorius";"Camptorhynchus labradorius"
"338";"Mergus australis";"Mergus australis"
"339";"Turnix maculosus";"Turnix maculosus"
"340";"Turnix tanki";"Turnix tanki"
"341";"Turnix ocellatus";"Turnix ocellatus"
"342";"Turnix suscitator";"Turnix suscitator"
"343";"Turnix nigricollis";"Turnix nigricollis"
"344";"Turnix castanotus";"Turnix castanotus"
"345";"Turnix worcesteri";"Turnix worcesteri"
"346";"Turnix pyrrhothorax";"Turnix pyrrhothorax"
"347";"Turnix velox";"Turnix velox"
"348";"Ortyxelos meiffrenii";"Ortyxelos meiffrenii"
"349";"Indicator maculatus";"Indicator maculatus"
"350";"Indicator variegatus";"Indicator variegatus"
"351";"Indicator indicator";"Indicator indicator"
"352";"Indicator minor";"Indicator minor"
"353";"Indicator exilis";"Indicator exilis"
"354";"Indicator xanthonotus";"Indicator xanthonotus"
"355";"Melichneutes robustus";"Melichneutes robustus"
"356";"Melignomon zenkeri";"Melignomon zenkeri"
"357";"Prodotiscus insignis";"Prodotiscus insignis"
"358";"Prodotiscus zambesiae";"Prodotiscus zambesiae"
"359";"Prodotiscus regulus";"Prodotiscus regulus"
"360";"Jynx ruficollis";"Jynx ruficollis"
"361";"Picumnus aurifrons";"Picumnus aurifrons"
"362";"Picumnus pumilus";"Picumnus pumilus"
"363";"Picumnus lafresnayi";"Picumnus lafresnayi"
"364";"Picumnus fuscus";"Picumnus fuscus"
"365";"Picumnus sclateri";"Picumnus sclateri"
"366";"Picumnus squamulatus";"Picumnus squamulatus"
"367";"Picumnus spilogaster";"Picumnus spilogaster"
"368";"Picumnus pygmaeus";"Picumnus pygmaeus"
"369";"Picumnus steindachneri";"Picumnus steindachneri"
"370";"Picumnus varzeae";"Picumnus varzeae"
"371";"Picumnus cirratus";"Picumnus cirratus"
"372";"Picumnus dorbignyanus";"Picumnus dorbignyanus"
"373";"Picumnus temminckii";"Picumnus temminckii"
"374";"Picumnus rufiventris";"Picumnus rufiventris"
"375";"Picumnus fulvescens";"Picumnus fulvescens"
"376";"Picumnus nebulosus";"Picumnus nebulosus"
"377";"Picumnus subtilis";"Picumnus subtilis"
"378";"Picumnus cinnamomeus";"Picumnus cinnamomeus"
"379";"Verreauxia africana";"Verreauxia africana"
"380";"Sasia abnormis";"Sasia abnormis"
"381";"Sasia ochracea";"Sasia ochracea"
"382";"Nesoctites micromegas";"Nesoctites micromegas"
"383";"Melanerpes candidus";"Melanerpes candidus"
"384";"Melanerpes lewis";"Melanerpes lewis"
"385";"Melanerpes portoricensis";"Melanerpes portoricensis"
"386";"Melanerpes formicivorus";"Melanerpes formicivorus"
"387";"Melanerpes cruentatus";"Melanerpes cruentatus"
"388";"Melanerpes flavifrons";"Melanerpes flavifrons"
"389";"Melanerpes radiolatus";"Melanerpes radiolatus"
"390";"Melanerpes uropygialis";"Melanerpes uropygialis"
"391";"Melanerpes carolinus";"Melanerpes carolinus"
"392";"Melanerpes aurifrons";"Melanerpes aurifrons"
"393";"Sphyrapicus varius";"Sphyrapicus varius"
"394";"Sphyrapicus thyroideus";"Sphyrapicus thyroideus"
"395";"Xiphidiopicus percussus";"Xiphidiopicus percussus"
"396";"Campethera punctuligera";"Campethera punctuligera"
"397";"Campethera nubica";"Campethera nubica"
"398";"Campethera scriptoricauda";"Campethera scriptoricauda"
"399";"Campethera abingoni";"Campethera abingoni"
"400";"Campethera caroli";"Campethera caroli"
"401";"Dendropicos elachus";"Dendropicos elachus"
"402";"Dendropicos poecilolaemus";"Dendropicos poecilolaemus"
"403";"Dendropicos abyssinicus";"Dendropicos abyssinicus"
"404";"Dendropicos fuscescens";"Dendropicos fuscescens"
"405";"Dendropicos lugubris";"Dendropicos lugubris"
"406";"Dendropicos stierlingi";"Dendropicos stierlingi"
"407";"Dendropicos namaquus";"Dendropicos namaquus"
"408";"Dendropicos pyrrhogaster";"Dendropicos pyrrhogaster"
"409";"Dendropicos xantholophus";"Dendropicos xantholophus"
"410";"Dendropicos spodocephalus";"Dendropicos spodocephalus"
"411";"Dendropicos griseocephalus";"Dendropicos griseocephalus"
"412";"Dendropicos obsoletus";"Dendropicos obsoletus"
"413";"Picoides temminckii";"Picoides temminckii"
"414";"Picoides maculatus";"Picoides maculatus"
"415";"Picoides nanus";"Picoides nanus"
"416";"Picoides moluccensis";"Picoides moluccensis"
"417";"Picoides canicapillus";"Picoides canicapillus"
"418";"Picoides kizuki";"Picoides kizuki"
"419";"Leiopicus auriceps";"Leiopicus auriceps"
"420";"Dendrocopos atratus";"Dendrocopos atratus"
"421";"Leiopicus mahrattensis";"Leiopicus mahrattensis"
"422";"Dendrocopos hyperythrus";"Dendrocopos hyperythrus"
"423";"Dendrocopos darjellensis";"Dendrocopos darjellensis"
"424";"Dendrocopos leucopterus";"Dendrocopos leucopterus"
"425";"Dendrocopos assimilis";"Dendrocopos assimilis"
"426";"Dendrocopos himalayensis";"Dendrocopos himalayensis"
"427";"Veniliornis lignarius";"Veniliornis lignarius"
"428";"Veniliornis mixtus";"Veniliornis mixtus"
"429";"Dryobates nuttallii";"Dryobates nuttallii"
"430";"Dryobates pubescens";"Dryobates pubescens"
"431";"Leuconotopicus albolarvatus";"Leuconotopicus albolarvatus"
"432";"Picoides arcticus";"Picoides arcticus"
"433";"Veniliornis callonotus";"Veniliornis callonotus"
"434";"Veniliornis dignus";"Veniliornis dignus"
"435";"Veniliornis nigriceps";"Veniliornis nigriceps"
"436";"Veniliornis spilogaster";"Veniliornis spilogaster"
"437";"Veniliornis sanguineus";"Veniliornis sanguineus"
"438";"Veniliornis chocoensis";"Veniliornis chocoensis"
"439";"Veniliornis affinis";"Veniliornis affinis"
"440";"Veniliornis maculifrons";"Veniliornis maculifrons"
"441";"Piculus litae";"Piculus litae"
"442";"Piculus leucolaemus";"Piculus leucolaemus"
"443";"Piculus flavigula";"Piculus flavigula"
"444";"Colaptes chrysoides";"Colaptes chrysoides"
"445";"Colaptes pitius";"Colaptes pitius"
"446";"Micropternus brachyurus";"Micropternus brachyurus"
"447";"Celeus elegans";"Celeus elegans"
"448";"Celeus flavus";"Celeus flavus"
"449";"Hylatomus pileatus";"Hylatomus pileatus"
"450";"Hylatomus schulzii";"Hylatomus schulzii"
"451";"Dryocopus javensis";"Dryocopus javensis"
"452";"Campephilus robustus";"Campephilus robustus"
"453";"Campephilus leucopogon";"Campephilus leucopogon"
"454";"Campephilus magellanicus";"Campephilus magellanicus"
"455";"Chrysophlegma miniaceum";"Chrysophlegma miniaceum"
"456";"Picus chlorolophus";"Picus chlorolophus"
"457";"Picus puniceus";"Picus puniceus"
"458";"Picus viridanus";"Picus viridanus"
"459";"Picus vittatus";"Picus vittatus"
"460";"Picus xanthopygaeus";"Picus xanthopygaeus"
"461";"Picus squamatus";"Picus squamatus"
"462";"Picus awokera";"Picus awokera"
"463";"Picus vaillantii";"Picus vaillantii"
"464";"Chloropicoides rafflesii";"Chloropicoides rafflesii"
"465";"Dinopium shorii";"Dinopium shorii"
"466";"Chrysocolaptes festivus";"Chrysocolaptes festivus"
"467";"Gecinulus grantia";"Gecinulus grantia"
"468";"Gecinulus viridis";"Gecinulus viridis"
"469";"Blythipicus rubiginosus";"Blythipicus rubiginosus"
"470";"Chrysocolaptes validus";"Chrysocolaptes validus"
"471";"Meiglyptes jugularis";"Meiglyptes jugularis"
"472";"Hemicircus canente";"Hemicircus canente"
"473";"Mulleripicus pulverulentus";"Mulleripicus pulverulentus"
"474";"Psilopogon pyrolophus";"Psilopogon pyrolophus"
"475";"Psilopogon zeylanicus";"Psilopogon zeylanicus"
"476";"Psilopogon lineatus";"Psilopogon lineatus"
"477";"Psilopogon viridis";"Psilopogon viridis"
"478";"Psilopogon corvinus";"Psilopogon corvinus"
"479";"Psilopogon mystacophanos";"Psilopogon mystacophanos"
"480";"Psilopogon flavifrons";"Psilopogon flavifrons"
"481";"Psilopogon monticola";"Psilopogon monticola"
"482";"Psilopogon incognitus";"Psilopogon incognitus"
"483";"Psilopogon armillaris";"Psilopogon armillaris"
"484";"Psilopogon haemacephalus";"Psilopogon haemacephalus"
"485";"Gymnobucco peli";"Gymnobucco peli"
"486";"Gymnobucco sladeni";"Gymnobucco sladeni"
"487";"Stactolaema anchietae";"Stactolaema anchietae"
"488";"Stactolaema whytii";"Stactolaema whytii"
"489";"Pogoniulus scolopaceus";"Pogoniulus scolopaceus"
"490";"Pogoniulus leucomystax";"Pogoniulus leucomystax"
"491";"Pogoniulus atroflavus";"Pogoniulus atroflavus"
"492";"Pogoniulus subsulphureus";"Pogoniulus subsulphureus"
"493";"Pogoniulus bilineatus";"Pogoniulus bilineatus"
"494";"Pogoniulus chrysoconus";"Pogoniulus chrysoconus"
"495";"Pogoniulus pusillus";"Pogoniulus pusillus"
"496";"Tricholaema diademata";"Tricholaema diademata"
"497";"Tricholaema frontata";"Tricholaema frontata"
"498";"Tricholaema leucomelas";"Tricholaema leucomelas"
"499";"Tricholaema lacrymosa";"Tricholaema lacrymosa"
"500";"Tricholaema melanocephala";"Tricholaema melanocephala"
"501";"Lybius undatus";"Lybius undatus"
"502";"Lybius vieilloti";"Lybius vieilloti"
"503";"Lybius chaplini";"Lybius chaplini"
"504";"Lybius rubrifacies";"Lybius rubrifacies"
"505";"Lybius guifsobalito";"Lybius guifsobalito"
"506";"Lybius torquatus";"Lybius torquatus"
"507";"Pogonornis melanopterus";"Pogonornis melanopterus"
"508";"Pogonornis bidentatus";"Pogonornis bidentatus"
"509";"Pogonornis dubius";"Pogonornis dubius"
"510";"Pogonornis rolleti";"Pogonornis rolleti"
"511";"Trachyphonus vaillantii";"Trachyphonus vaillantii"
"512";"Trachyphonus margaritatus";"Trachyphonus margaritatus"
"513";"Trachyphonus erythrocephalus";"Trachyphonus erythrocephalus"
"514";"Trachyphonus usambiro";"Trachyphonus usambiro"
"515";"Capito hypoleucus";"Capito hypoleucus"
"516";"Capito dayi";"Capito dayi"
"517";"Eubucco tucinkae";"Eubucco tucinkae"
