"";"parsed";"iucn"
"7268";"Piprites griseiceps";"Piprites griseiceps"
"7269";"Phlegopsis erythroptera";"Phlegopsis erythroptera"
"7270";"Geocerthia serrana";"Geocerthia serrana"
"7271";"Sylviorthorhynchus desmurii";"Sylviorthorhynchus desmurii"
"7272";"Asthenes fuliginosa";"Asthenes fuliginosa"
"7273";"Synallaxis frontalis";"Synallaxis frontalis"
"7274";"Synallaxis rutilans";"Synallaxis rutilans"
"7275";"Synallaxis cinnamomea";"Synallaxis cinnamomea"
"7276";"Synallaxis scutata";"Synallaxis scutata"
"7277";"Thripophaga fusciceps";"Thripophaga fusciceps"
"7278";"Phacellodomus sibilatrix";"Phacellodomus sibilatrix"
"7279";"Phacellodomus ruber";"Phacellodomus ruber"
"7280";"Phacellodomus erythrophthalmus";"Phacellodomus erythrophthalmus"
"7281";"Pseudoseisura lophotes";"Pseudoseisura lophotes"
"7282";"Ancistrops strigilatus";"Ancistrops strigilatus"
"7283";"Anabacerthia ruficaudata";"Anabacerthia ruficaudata"
"7284";"Philydor pyrrhodes";"Philydor pyrrhodes"
"7285";"Syndactyla dimidiata";"Syndactyla dimidiata"
"7286";"Anabazenops dorsalis";"Anabazenops dorsalis"
"7287";"Syndactyla roraimae";"Syndactyla roraimae"
"7288";"Automolus melanopezus";"Automolus melanopezus"
"7289";"Automolus rufipileatus";"Automolus rufipileatus"
"7290";"Clibanornis rectirostris";"Clibanornis rectirostris"
"7291";"Sclerurus caudacutus";"Sclerurus caudacutus"
"7292";"Xenops tenuirostris";"Xenops tenuirostris"
"7293";"Megaxenops parnaguae";"Megaxenops parnaguae"
"7294";"Pygarrhichas albogularis";"Pygarrhichas albogularis"
"7295";"Dendrexetastes rufigula";"Dendrexetastes rufigula"
"7296";"Hylexetastes stresemanni";"Hylexetastes stresemanni"
"7297";"Xiphocolaptes albicollis";"Xiphocolaptes albicollis"
"7298";"Xiphocolaptes major";"Xiphocolaptes major"
"7299";"Dendrocolaptes certhia";"Dendrocolaptes certhia"
"7300";"Xiphorhynchus obsoletus";"Xiphorhynchus obsoletus"
"7301";"Xiphorhynchus spixii";"Xiphorhynchus spixii"
"7302";"Xiphorhynchus elegans";"Xiphorhynchus elegans"
"7303";"Xiphorhynchus pardalotus";"Xiphorhynchus pardalotus"
"7304";"Xiphorhynchus triangularis";"Xiphorhynchus triangularis"
"7305";"Chamaeza campanisona";"Chamaeza campanisona"
"7306";"Chamaeza ruficauda";"Chamaeza ruficauda"
"7307";"Grallaria eludens";"Grallaria eludens"
"7308";"Grallaria andicolus";"Grallaria andicolus"
"7309";"Grallaria flavotincta";"Grallaria flavotincta"
"7310";"Hylopezus fulviventris";"Hylopezus fulviventris"
"7311";"Hylopezus berlepschi";"Hylopezus berlepschi"
"7312";"Myrmothera campanisona";"Myrmothera campanisona"
"7313";"Conopophaga ardesiaca";"Conopophaga ardesiaca"
"7314";"Conopophaga melanops";"Conopophaga melanops"
"7315";"Conopophaga melanogaster";"Conopophaga melanogaster"
"7316";"Pteroptochos castaneus";"Pteroptochos castaneus"
"7317";"Pteroptochos tarnii";"Pteroptochos tarnii"
"7318";"Scelorchilus rubecula";"Scelorchilus rubecula"
"7319";"Eugralla paradoxa";"Eugralla paradoxa"
"7320";"Climacteris erythrops";"Climacteris erythrops"
"7321";"Myzomela blasii";"Myzomela blasii"
"7322";"Myzomela nigrita";"Myzomela nigrita"
"7323";"Myzomela adolphinae";"Myzomela adolphinae"
"7324";"Myzomela wakoloensis";"Myzomela wakoloensis"
"7325";"Myzomela boiei";"Myzomela boiei"
"7326";"Myzomela caledonica";"Myzomela caledonica"
"7327";"Myzomela lafargei";"Myzomela lafargei"
"7328";"Myzomela melanocephala";"Myzomela melanocephala"
"7329";"Myzomela tristrami";"Myzomela tristrami"
"7330";"Myzomela erythromelas";"Myzomela erythromelas"
"7331";"Myzomela vulnerata";"Myzomela vulnerata"
"7332";"Timeliopsis fulvigula";"Timeliopsis fulvigula"
"7333";"Timeliopsis griseigula";"Timeliopsis griseigula"
"7334";"Melitograis gilolensis";"Melitograis gilolensis"
"7335";"Philemon meyeri";"Philemon meyeri"
"7336";"Philemon inornatus";"Philemon inornatus"
"7337";"Philemon subcorniculatus";"Philemon subcorniculatus"
"7338";"Philemon cockerelli";"Philemon cockerelli"
"7339";"Philemon diemenensis";"Philemon diemenensis"
"7340";"Chloropsis palawanensis";"Chloropsis palawanensis"
"7341";"Hemipus picatus";"Hemipus picatus"
"7342";"Cyclarhis nigrirostris";"Cyclarhis nigrirostris"
"7343";"Vireolanius eximius";"Vireolanius eximius"
"7344";"Vireo carmioli";"Vireo carmioli"
"7345";"Vireo gundlachii";"Vireo gundlachii"
"7346";"Vireo crassirostris";"Vireo crassirostris"
"7347";"Vireo modestus";"Vireo modestus"
"7348";"Oriolus forsteni";"Oriolus forsteni"
"7349";"Oriolus phaeochromus";"Oriolus phaeochromus"
"7350";"Oriolus szalayi";"Oriolus szalayi"
