"";"parsed";"ebird_itis"
"1";"Polyplectron schleiermacheri";"Polyplectron schleiermacheri"
"2";"Liocichla steerii";"Liocichla steerii"
"3";"Tetraogallus caspius";"Tetraogallus caspius"
"4";"Alectoris barbara";"Alectoris barbara"
"5";"Ammoperdix griseogularis";"Ammoperdix griseogularis"
"6";"Phasianus colchicus";"Phasianus colchicus"
"7";"Perdix perdix";"Perdix perdix"
"8";"Tetrao urogallus";"Tetrao urogallus"
"9";"Lyrurus tetrix";"Lyrurus tetrix"
"10";"Cygnus olor";"Cygnus olor"
"11";"Cygnus cygnus";"Cygnus cygnus"
"12";"Anser brachyrhynchus";"Anser brachyrhynchus"
"13";"Anser albifrons";"Anser albifrons"
"14";"Mergellus albellus";"Mergellus albellus"
"15";"Tadorna ferruginea";"Tadorna ferruginea"
"16";"Netta rufina";"Netta rufina"
"17";"Aythya fuligula";"Aythya fuligula"
"18";"Spatula querquedula";"Spatula querquedula"
"19";"Mareca strepera";"Mareca strepera"
"20";"Columba oenas";"Columba oenas"
"21";"Columba bollii";"Columba bollii"
"22";"Caprimulgus europaeus";"Caprimulgus europaeus"
"23";"Apus apus";"Apus apus"
"24";"Crex crex";"Crex crex"
"25";"Porzana porzana";"Porzana porzana"
"26";"Zapornia parva";"Zapornia parva"
"27";"Grus grus";"Grus grus"
"28";"Ciconia ciconia";"Ciconia ciconia"
"29";"Botaurus stellaris";"Botaurus stellaris"
"30";"Egretta garzetta";"Egretta garzetta"
"31";"Pluvialis apricaria";"Pluvialis apricaria"
"32";"Vanellus spinosus";"Vanellus spinosus"
"33";"Numenius phaeopus";"Numenius phaeopus"
"34";"Calidris pugnax";"Calidris pugnax"
"35";"Calidris alba";"Calidris alba"
"36";"Gallinago stenura";"Gallinago stenura"
"37";"Lymnocryptes minimus";"Lymnocryptes minimus"
"38";"Actitis hypoleucos";"Actitis hypoleucos"
"39";"Tringa ochropus";"Tringa ochropus"
"40";"Tringa erythropus";"Tringa erythropus"
"41";"Tringa nebularia";"Tringa nebularia"
"42";"Tringa totanus";"Tringa totanus"
"43";"Tringa glareola";"Tringa glareola"
"44";"Tringa stagnatilis";"Tringa stagnatilis"
"45";"Chlidonias leucopterus";"Chlidonias leucopterus"
"46";"Glaucidium passerinum";"Glaucidium passerinum"
"47";"Strix aluco";"Strix aluco"
"48";"Picus canus";"Picus canus"
"49";"Picus viridis";"Picus viridis"
"50";"Dryocopus martius";"Dryocopus martius"
"51";"Picoides tridactylus";"Picoides tridactylus"
"52";"Dendrocopos syriacus";"Dendrocopos syriacus"
"53";"Dendrocopos major";"Dendrocopos major"
"54";"Lanius minor";"Lanius minor"
"55";"Perisoreus infaustus";"Perisoreus infaustus"
"56";"Nucifraga caryocatactes";"Nucifraga caryocatactes"
"57";"Pyrrhocorax pyrrhocorax";"Pyrrhocorax pyrrhocorax"
"58";"Pyrrhocorax graculus";"Pyrrhocorax graculus"
"59";"Bombycilla garrulus";"Bombycilla garrulus"
"60";"Poecile cinctus";"Poecile cinctus"
"61";"Lophophanes cristatus";"Lophophanes cristatus"
"62";"Parus major";"Parus major"
"63";"Cyanistes cyanus";"Cyanistes cyanus"
"64";"Aegithalos caudatus";"Aegithalos caudatus"
"65";"Melanocorypha calandra";"Melanocorypha calandra"
"66";"Locustella luscinioides";"Locustella luscinioides"
"67";"Acrocephalus schoenobaenus";"Acrocephalus schoenobaenus"
"68";"Hippolais languida";"Hippolais languida"
"69";"Hippolais olivetorum";"Hippolais olivetorum"
"70";"Phylloscopus trochilus";"Phylloscopus trochilus"
"71";"Phylloscopus canariensis";"Phylloscopus canariensis"
"72";"Phylloscopus bonelli";"Phylloscopus bonelli"
"73";"Phylloscopus sibilatrix";"Phylloscopus sibilatrix"
"74";"Phylloscopus borealis";"Phylloscopus borealis"
"75";"Sylvia atricapilla";"Sylvia atricapilla"
"76";"Curruca nisoria";"Curruca nisoria"
"77";"Curruca mystacea";"Curruca mystacea"
"78";"Curruca sarda";"Curruca sarda"
"79";"Panurus biarmicus";"Panurus biarmicus"
"80";"Regulus ignicapilla";"Regulus ignicapilla"
"81";"Regulus madeirensis";"Regulus madeirensis"
"82";"Sitta tephronota";"Sitta tephronota"
"83";"Certhia brachydactyla";"Certhia brachydactyla"
"84";"Pastor roseus";"Pastor roseus"
"85";"Sturnus unicolor";"Sturnus unicolor"
"86";"Turdus merula";"Turdus merula"
"87";"Turdus pilaris";"Turdus pilaris"
"88";"Turdus viscivorus";"Turdus viscivorus"
"89";"Luscinia luscinia";"Luscinia luscinia"
"90";"Calliope calliope";"Calliope calliope"
"91";"Tarsiger cyanurus";"Tarsiger cyanurus"
"92";"Irania gutturalis";"Irania gutturalis"
"93";"Saxicola rubetra";"Saxicola rubetra"
"94";"Oenanthe pleschanka";"Oenanthe pleschanka"
"95";"Oenanthe isabellina";"Oenanthe isabellina"
"96";"Monticola solitarius";"Monticola solitarius"
"97";"Petronia petronia";"Petronia petronia"
"98";"Montifringilla henrici";"Montifringilla henrici"
"99";"Prunella collaris";"Prunella collaris"
"100";"Prunella atrogularis";"Prunella atrogularis"
"101";"Anthus berthelotii";"Anthus berthelotii"
"102";"Anthus hodgsoni";"Anthus hodgsoni"
"103";"Fringilla montifringilla";"Fringilla montifringilla"
"104";"Serinus pusillus";"Serinus pusillus"
"105";"Rhodopechys sanguineus";"Rhodopechys sanguineus"
"106";"Rhodospiza obsoleta";"Rhodospiza obsoleta"
"107";"Carpodacus rubicilla";"Carpodacus rubicilla"
"108";"Loxia pytyopsittacus";"Loxia pytyopsittacus"
"109";"Loxia scotica";"Loxia scotica"
"110";"Emberiza citrinella";"Emberiza citrinella"
"111";"Emberiza melanocephala";"Emberiza melanocephala"
"112";"Plectrophenax nivalis";"Plectrophenax nivalis"
"113";"Oenanthe deserti";"Oenanthe deserti"
"114";"Prunella montanella";"Prunella montanella"
"115";"Lagopus lagopus";"Lagopus lagopus"
"116";"Apus affinis";"Apus affinis"
"117";"Vanellus indicus";"Vanellus indicus"
"118";"Alcedo atthis";"Alcedo atthis"
"119";"Emberiza rustica";"Emberiza rustica"
"120";"Cygnus columbianus";"Cygnus columbianus"
"121";"Fulica cristata";"Fulica cristata"
"122";"Turnix sylvaticus";"Turnix sylvaticus"
"123";"Ketupa zeylonensis";"Ketupa zeylonensis"
"124";"Melanocorypha yeltoniensis";"Melanocorypha yeltoniensis"
"125";"Chlamydotis undulata";"Chlamydotis undulata"
"126";"Rhea americana";"Rhea americana"
"127";"Casuarius bennetti";"Casuarius bennetti"
"128";"Apteryx owenii";"Apteryx owenii"
"129";"Apteryx haastii";"Apteryx haastii"
"130";"Nothocercus julius";"Nothocercus julius"
"131";"Crypturellus berlepschi";"Crypturellus berlepschi"
"132";"Crypturellus cinereus";"Crypturellus cinereus"
"133";"Crypturellus obsoletus";"Crypturellus obsoletus"
"134";"Crypturellus undulatus";"Crypturellus undulatus"
"135";"Crypturellus strigulosus";"Crypturellus strigulosus"
"136";"Crypturellus kerriae";"Crypturellus kerriae"
"137";"Crypturellus noctivagus";"Crypturellus noctivagus"
"138";"Crypturellus variegatus";"Crypturellus variegatus"
"139";"Crypturellus brevirostris";"Crypturellus brevirostris"
"140";"Crypturellus bartletti";"Crypturellus bartletti"
"141";"Nothoprocta ornata";"Nothoprocta ornata"
"142";"Nothoprocta pentlandii";"Nothoprocta pentlandii"
"143";"Nothoprocta cinerascens";"Nothoprocta cinerascens"
"144";"Nothoprocta curvirostris";"Nothoprocta curvirostris"
"145";"Nothura darwinii";"Nothura darwinii"
"146";"Nothura boraquira";"Nothura boraquira"
"147";"Eudromia elegans";"Eudromia elegans"
"148";"Eudromia formosa";"Eudromia formosa"
"149";"Tinamotis pentlandii";"Tinamotis pentlandii"
"150";"Tinamotis ingoufi";"Tinamotis ingoufi"
"151";"Ortalis garrula";"Ortalis garrula"
"152";"Ortalis ruficauda";"Ortalis ruficauda"
"153";"Ortalis canicollis";"Ortalis canicollis"
"154";"Ortalis motmot";"Ortalis motmot"
"155";"Ortalis superciliaris";"Ortalis superciliaris"
"156";"Penelope argyrotis";"Penelope argyrotis"
"157";"Penelope montagnii";"Penelope montagnii"
"158";"Penelope marail";"Penelope marail"
"159";"Penelope dabbenei";"Penelope dabbenei"
"160";"Penelope jacquacu";"Penelope jacquacu"
"161";"Penelope obscura";"Penelope obscura"
"162";"Penelope jacucaca";"Penelope jacucaca"
"163";"Aburria aburri";"Aburria aburri"
"164";"Chamaepetes goudotii";"Chamaepetes goudotii"
"165";"Nothocrax urumutum";"Nothocrax urumutum"
"166";"Mitu tomentosum";"Mitu tomentosum"
"167";"Mitu salvini";"Mitu salvini"
"168";"Pauxi pauxi";"Pauxi pauxi"
"169";"Crax globulosa";"Crax globulosa"
"170";"Crax blumenbachii";"Crax blumenbachii"
"171";"Aepypodius arfakianus";"Aepypodius arfakianus"
"172";"Talegalla fuscirostris";"Talegalla fuscirostris"
"173";"Talegalla jobiensis";"Talegalla jobiensis"
"174";"Megapodius decollatus";"Megapodius decollatus"
"175";"Megapodius layardi";"Megapodius layardi"
"176";"Lerwa lerwa";"Lerwa lerwa"
"177";"Ammoperdix heyi";"Ammoperdix heyi"
"178";"Tetraogallus tibetanus";"Tetraogallus tibetanus"
"179";"Tetraogallus altaicus";"Tetraogallus altaicus"
"180";"Tetraophasis obscurus";"Tetraophasis obscurus"
"181";"Tetraophasis szechenyii";"Tetraophasis szechenyii"
"182";"Alectoris philbyi";"Alectoris philbyi"
"183";"Alectoris magna";"Alectoris magna"
"184";"Alectoris melanocephala";"Alectoris melanocephala"
"185";"Francolinus pictus";"Francolinus pictus"
"186";"Francolinus pintadeanus";"Francolinus pintadeanus"
"187";"Peliperdix lathami";"Peliperdix lathami"
"188";"Scleroptila streptophora";"Scleroptila streptophora"
"189";"Scleroptila finschi";"Scleroptila finschi"
"190";"Scleroptila afra";"Scleroptila afra"
"191";"Scleroptila levaillantii";"Scleroptila levaillantii"
"192";"Scleroptila gutturalis";"Scleroptila gutturalis"
"193";"Pternistis hartlaubi";"Pternistis hartlaubi"
"194";"Pternistis bicalcaratus";"Pternistis bicalcaratus"
"195";"Pternistis clappertoni";"Pternistis clappertoni"
"196";"Pternistis icterorhynchus";"Pternistis icterorhynchus"
"197";"Pternistis adspersus";"Pternistis adspersus"
"198";"Pternistis natalensis";"Pternistis natalensis"
"199";"Pternistis ahantensis";"Pternistis ahantensis"
"200";"Pternistis squamatus";"Pternistis squamatus"
"201";"Pternistis griseostriatus";"Pternistis griseostriatus"
"202";"Pternistis leucoscepus";"Pternistis leucoscepus"
"203";"Pternistis rufopictus";"Pternistis rufopictus"
"204";"Pternistis swainsonii";"Pternistis swainsonii"
"205";"Pternistis swierstrai";"Pternistis swierstrai"
"206";"Perdix dauurica";"Perdix dauurica"
"207";"Perdix hodgsoniae";"Perdix hodgsoniae"
"208";"Coturnix pectoralis";"Coturnix pectoralis"
"209";"Coturnix novaezelandiae";"Coturnix novaezelandiae"
"210";"Coturnix coromandelica";"Coturnix coromandelica"
"211";"Coturnix delegorguei";"Coturnix delegorguei"
"212";"Synoicus ypsilophorus";"Synoicus ypsilophorus"
"213";"Synoicus adansonii";"Synoicus adansonii"
"214";"Synoicus chinensis";"Synoicus chinensis"
"215";"Perdicula argoondah";"Perdicula argoondah"
"216";"Perdicula erythrorhyncha";"Perdicula erythrorhyncha"
"217";"Arborophila rufogularis";"Arborophila rufogularis"
"218";"Arborophila atrogularis";"Arborophila atrogularis"
"219";"Arborophila crudigularis";"Arborophila crudigularis"
"220";"Arborophila brunneopectus";"Arborophila brunneopectus"
"221";"Arborophila rufipectus";"Arborophila rufipectus"
"222";"Arborophila javanica";"Arborophila javanica"
"223";"Arborophila hyperythra";"Arborophila hyperythra"
"224";"Arborophila gingica";"Arborophila gingica"
"225";"Arborophila cambodiana";"Arborophila cambodiana"
"226";"Arborophila ardens";"Arborophila ardens"
"227";"Caloperdix oculeus";"Caloperdix oculeus"
"228";"Haematortyx sanguiniceps";"Haematortyx sanguiniceps"
"229";"Ptilopachus petrosus";"Ptilopachus petrosus"
"230";"Bambusicola fytchii";"Bambusicola fytchii"
"231";"Galloperdix spadicea";"Galloperdix spadicea"
"232";"Galloperdix lunulata";"Galloperdix lunulata"
"233";"Galloperdix bicalcarata";"Galloperdix bicalcarata"
"234";"Ithaginis cruentus";"Ithaginis cruentus"
"235";"Tragopan satyra";"Tragopan satyra"
"236";"Tragopan temminckii";"Tragopan temminckii"
"237";"Pucrasia macrolopha";"Pucrasia macrolopha"
"238";"Lophophorus impejanus";"Lophophorus impejanus"
"239";"Lophophorus sclateri";"Lophophorus sclateri"
"240";"Lophophorus lhuysii";"Lophophorus lhuysii"
"241";"Gallus gallus";"Gallus gallus"
"242";"Gallus sonneratii";"Gallus sonneratii"
"243";"Gallus lafayettii";"Gallus lafayettii"
"244";"Lophura leucomelanos";"Lophura leucomelanos"
"245";"Lophura nycthemera";"Lophura nycthemera"
"246";"Lophura diardi";"Lophura diardi"
"247";"Lophura bulweri";"Lophura bulweri"
"248";"Crossoptilon crossoptilon";"Crossoptilon crossoptilon"
"249";"Crossoptilon mantchuricum";"Crossoptilon mantchuricum"
"250";"Crossoptilon auritum";"Crossoptilon auritum"
"251";"Syrmaticus ellioti";"Syrmaticus ellioti"
"252";"Syrmaticus humiae";"Syrmaticus humiae"
"253";"Syrmaticus mikado";"Syrmaticus mikado"
"254";"Syrmaticus soemmerringii";"Syrmaticus soemmerringii"
"255";"Polyplectron chalcurum";"Polyplectron chalcurum"
"256";"Polyplectron inopinatum";"Polyplectron inopinatum"
"257";"Polyplectron germaini";"Polyplectron germaini"
"258";"Pavo cristatus";"Pavo cristatus"
"259";"Lyrurus mlokosiewiczi";"Lyrurus mlokosiewiczi"
"260";"Tetrao urogalloides";"Tetrao urogalloides"
"261";"Centrocercus urophasianus";"Centrocercus urophasianus"
"262";"Acryllium vulturinum";"Acryllium vulturinum"
"263";"Odontophorus capueira";"Odontophorus capueira"
"264";"Odontophorus erythrops";"Odontophorus erythrops"
"265";"Odontophorus atrifrons";"Odontophorus atrifrons"
"266";"Odontophorus melanonotus";"Odontophorus melanonotus"
"267";"Odontophorus columbianus";"Odontophorus columbianus"
"268";"Odontophorus balliviani";"Odontophorus balliviani"
"269";"Odontophorus stellatus";"Odontophorus stellatus"
"270";"Anhima cornuta";"Anhima cornuta"
"271";"Chauna chavaria";"Chauna chavaria"
"272";"Chauna torquata";"Chauna torquata"
"273";"Anseranas semipalmata";"Anseranas semipalmata"
"274";"Dendrocygna bicolor";"Dendrocygna bicolor"
"275";"Dendrocygna javanica";"Dendrocygna javanica"
"276";"Dendrocygna viduata";"Dendrocygna viduata"
"277";"Thalassornis leuconotus";"Thalassornis leuconotus"
"278";"Biziura lobata";"Biziura lobata"
"279";"Heteronetta atricapilla";"Heteronetta atricapilla"
"280";"Stictonetta naevosa";"Stictonetta naevosa"
"281";"Cygnus melancoryphus";"Cygnus melancoryphus"
"282";"Coscoroba coscoroba";"Coscoroba coscoroba"
"283";"Anser canagicus";"Anser canagicus"
"284";"Chloephaga picta";"Chloephaga picta"
"285";"Chloephaga hybrida";"Chloephaga hybrida"
"286";"Chloephaga poliocephala";"Chloephaga poliocephala"
"287";"Chloephaga rubidiceps";"Chloephaga rubidiceps"
"288";"Tadorna cana";"Tadorna cana"
"289";"Tadorna tadornoides";"Tadorna tadornoides"
"290";"Tadorna variegata";"Tadorna variegata"
"291";"Radjah radjah";"Radjah radjah"
"292";"Plectropterus gambensis";"Plectropterus gambensis"
"293";"Pteronetta hartlaubii";"Pteronetta hartlaubii"
"294";"Nettapus pulchellus";"Nettapus pulchellus"
"295";"Nettapus coromandelianus";"Nettapus coromandelianus"
"296";"Nettapus auritus";"Nettapus auritus"
"297";"Chenonetta jubata";"Chenonetta jubata"
"298";"Merganetta armata";"Merganetta armata"
"299";"Hymenolaimus malacorhynchos";"Hymenolaimus malacorhynchos"
"300";"Lophonetta specularioides";"Lophonetta specularioides"
"301";"Anas capensis";"Anas capensis"
"302";"Mareca falcata";"Mareca falcata"
"303";"Mareca sibilatrix";"Mareca sibilatrix"
"304";"Anas sparsa";"Anas sparsa"
"305";"Anas luzonica";"Anas luzonica"
"306";"Anas superciliosa";"Anas superciliosa"
"307";"Anas undulata";"Anas undulata"
"308";"Spatula smithii";"Spatula smithii"
"309";"Spatula platalea";"Spatula platalea"
"310";"Spatula rhynchotis";"Spatula rhynchotis"
"311";"Anas bernieri";"Anas bernieri"
"312";"Anas gracilis";"Anas gracilis"
"313";"Anas castanea";"Anas castanea"
"314";"Anas bahamensis";"Anas bahamensis"
"315";"Anas erythrorhyncha";"Anas erythrorhyncha"
"316";"Anas eatoni";"Anas eatoni"
"317";"Anas georgica";"Anas georgica"
"318";"Sibirionetta formosa";"Sibirionetta formosa"
"319";"Spatula puna";"Spatula puna"
"320";"Spatula versicolor";"Spatula versicolor"
"321";"Spatula hottentota";"Spatula hottentota"
"322";"Malacorhynchus membranaceus";"Malacorhynchus membranaceus"
"323";"Netta peposaca";"Netta peposaca"
"324";"Netta erythrophthalma";"Netta erythrophthalma"
"325";"Aythya novaeseelandiae";"Aythya novaeseelandiae"
"326";"Camptorhynchus labradorius";"Camptorhynchus labradorius"
"327";"Mergus australis";"Mergus australis"
"328";"Turnix maculosus";"Turnix maculosus"
"329";"Turnix tanki";"Turnix tanki"
"330";"Turnix ocellatus";"Turnix ocellatus"
"331";"Turnix suscitator";"Turnix suscitator"
"332";"Turnix nigricollis";"Turnix nigricollis"
"333";"Turnix castanotus";"Turnix castanotus"
"334";"Turnix worcesteri";"Turnix worcesteri"
"335";"Turnix pyrrhothorax";"Turnix pyrrhothorax"
"336";"Turnix velox";"Turnix velox"
"337";"Ortyxelos meiffrenii";"Ortyxelos meiffrenii"
"338";"Indicator maculatus";"Indicator maculatus"
"339";"Indicator variegatus";"Indicator variegatus"
"340";"Indicator indicator";"Indicator indicator"
"341";"Indicator minor";"Indicator minor"
"342";"Indicator exilis";"Indicator exilis"
"343";"Indicator xanthonotus";"Indicator xanthonotus"
"344";"Melichneutes robustus";"Melichneutes robustus"
"345";"Melignomon zenkeri";"Melignomon zenkeri"
"346";"Prodotiscus insignis";"Prodotiscus insignis"
"347";"Prodotiscus zambesiae";"Prodotiscus zambesiae"
"348";"Prodotiscus regulus";"Prodotiscus regulus"
"349";"Jynx ruficollis";"Jynx ruficollis"
"350";"Picumnus aurifrons";"Picumnus aurifrons"
"351";"Picumnus pumilus";"Picumnus pumilus"
"352";"Picumnus lafresnayi";"Picumnus lafresnayi"
"353";"Picumnus fuscus";"Picumnus fuscus"
"354";"Picumnus sclateri";"Picumnus sclateri"
"355";"Picumnus squamulatus";"Picumnus squamulatus"
"356";"Picumnus spilogaster";"Picumnus spilogaster"
"357";"Picumnus pygmaeus";"Picumnus pygmaeus"
"358";"Picumnus steindachneri";"Picumnus steindachneri"
"359";"Picumnus varzeae";"Picumnus varzeae"
"360";"Picumnus cirratus";"Picumnus cirratus"
"361";"Picumnus dorbignyanus";"Picumnus dorbignyanus"
"362";"Picumnus temminckii";"Picumnus temminckii"
"363";"Picumnus rufiventris";"Picumnus rufiventris"
"364";"Picumnus nebulosus";"Picumnus nebulosus"
"365";"Picumnus subtilis";"Picumnus subtilis"
"366";"Picumnus cinnamomeus";"Picumnus cinnamomeus"
"367";"Verreauxia africana";"Verreauxia africana"
"368";"Sasia abnormis";"Sasia abnormis"
"369";"Sasia ochracea";"Sasia ochracea"
"370";"Nesoctites micromegas";"Nesoctites micromegas"
"371";"Melanerpes candidus";"Melanerpes candidus"
"372";"Melanerpes lewis";"Melanerpes lewis"
"373";"Melanerpes portoricensis";"Melanerpes portoricensis"
"374";"Melanerpes formicivorus";"Melanerpes formicivorus"
"375";"Melanerpes cruentatus";"Melanerpes cruentatus"
"376";"Melanerpes flavifrons";"Melanerpes flavifrons"
"377";"Melanerpes radiolatus";"Melanerpes radiolatus"
"378";"Melanerpes uropygialis";"Melanerpes uropygialis"
"379";"Melanerpes carolinus";"Melanerpes carolinus"
"380";"Melanerpes aurifrons";"Melanerpes aurifrons"
"381";"Sphyrapicus varius";"Sphyrapicus varius"
"382";"Sphyrapicus thyroideus";"Sphyrapicus thyroideus"
"383";"Xiphidiopicus percussus";"Xiphidiopicus percussus"
"384";"Campethera punctuligera";"Campethera punctuligera"
"385";"Campethera nubica";"Campethera nubica"
"386";"Campethera scriptoricauda";"Campethera scriptoricauda"
"387";"Campethera abingoni";"Campethera abingoni"
"388";"Campethera caroli";"Campethera caroli"
"389";"Dendrocopos atratus";"Dendrocopos atratus"
"390";"Leiopicus mahrattensis";"Leiopicus mahrattensis"
"391";"Dendrocopos hyperythrus";"Dendrocopos hyperythrus"
"392";"Dendrocopos darjellensis";"Dendrocopos darjellensis"
"393";"Dendrocopos leucopterus";"Dendrocopos leucopterus"
"394";"Dendrocopos assimilis";"Dendrocopos assimilis"
"395";"Dendrocopos himalayensis";"Dendrocopos himalayensis"
"396";"Dryobates nuttallii";"Dryobates nuttallii"
"397";"Dryobates pubescens";"Dryobates pubescens"
"398";"Picoides arcticus";"Picoides arcticus"
"399";"Piculus litae";"Piculus litae"
"400";"Piculus leucolaemus";"Piculus leucolaemus"
"401";"Piculus flavigula";"Piculus flavigula"
"402";"Colaptes chrysoides";"Colaptes chrysoides"
"403";"Colaptes pitius";"Colaptes pitius"
"404";"Micropternus brachyurus";"Micropternus brachyurus"
"405";"Celeus elegans";"Celeus elegans"
"406";"Celeus flavus";"Celeus flavus"
"407";"Dryocopus javensis";"Dryocopus javensis"
"408";"Campephilus robustus";"Campephilus robustus"
"409";"Campephilus leucopogon";"Campephilus leucopogon"
"410";"Campephilus magellanicus";"Campephilus magellanicus"
"411";"Chrysophlegma miniaceum";"Chrysophlegma miniaceum"
"412";"Picus chlorolophus";"Picus chlorolophus"
"413";"Picus puniceus";"Picus puniceus"
"414";"Picus viridanus";"Picus viridanus"
"415";"Picus vittatus";"Picus vittatus"
"416";"Picus xanthopygaeus";"Picus xanthopygaeus"
"417";"Picus squamatus";"Picus squamatus"
"418";"Picus awokera";"Picus awokera"
"419";"Picus vaillantii";"Picus vaillantii"
"420";"Dinopium shorii";"Dinopium shorii"
"421";"Chrysocolaptes festivus";"Chrysocolaptes festivus"
"422";"Gecinulus grantia";"Gecinulus grantia"
"423";"Gecinulus viridis";"Gecinulus viridis"
"424";"Blythipicus rubiginosus";"Blythipicus rubiginosus"
"425";"Meiglyptes jugularis";"Meiglyptes jugularis"
"426";"Hemicircus canente";"Hemicircus canente"
"427";"Mulleripicus pulverulentus";"Mulleripicus pulverulentus"
"428";"Psilopogon pyrolophus";"Psilopogon pyrolophus"
"429";"Psilopogon zeylanicus";"Psilopogon zeylanicus"
"430";"Psilopogon lineatus";"Psilopogon lineatus"
"431";"Psilopogon viridis";"Psilopogon viridis"
"432";"Psilopogon corvinus";"Psilopogon corvinus"
"433";"Psilopogon mystacophanos";"Psilopogon mystacophanos"
"434";"Psilopogon flavifrons";"Psilopogon flavifrons"
"435";"Psilopogon monticola";"Psilopogon monticola"
"436";"Psilopogon incognitus";"Psilopogon incognitus"
"437";"Psilopogon armillaris";"Psilopogon armillaris"
"438";"Psilopogon haemacephalus";"Psilopogon haemacephalus"
"439";"Gymnobucco peli";"Gymnobucco peli"
"440";"Gymnobucco sladeni";"Gymnobucco sladeni"
"441";"Stactolaema anchietae";"Stactolaema anchietae"
"442";"Stactolaema whytii";"Stactolaema whytii"
"443";"Pogoniulus scolopaceus";"Pogoniulus scolopaceus"
"444";"Pogoniulus leucomystax";"Pogoniulus leucomystax"
"445";"Pogoniulus atroflavus";"Pogoniulus atroflavus"
"446";"Pogoniulus subsulphureus";"Pogoniulus subsulphureus"
"447";"Pogoniulus bilineatus";"Pogoniulus bilineatus"
"448";"Pogoniulus chrysoconus";"Pogoniulus chrysoconus"
"449";"Pogoniulus pusillus";"Pogoniulus pusillus"
"450";"Tricholaema diademata";"Tricholaema diademata"
"451";"Tricholaema frontata";"Tricholaema frontata"
"452";"Tricholaema leucomelas";"Tricholaema leucomelas"
"453";"Tricholaema lacrymosa";"Tricholaema lacrymosa"
"454";"Tricholaema melanocephala";"Tricholaema melanocephala"
"455";"Lybius undatus";"Lybius undatus"
"456";"Lybius vieilloti";"Lybius vieilloti"
"457";"Lybius chaplini";"Lybius chaplini"
"458";"Lybius rubrifacies";"Lybius rubrifacies"
"459";"Lybius guifsobalito";"Lybius guifsobalito"
"460";"Lybius torquatus";"Lybius torquatus"
"461";"Trachyphonus vaillantii";"Trachyphonus vaillantii"
"462";"Trachyphonus margaritatus";"Trachyphonus margaritatus"
"463";"Trachyphonus erythrocephalus";"Trachyphonus erythrocephalus"
"464";"Capito hypoleucus";"Capito hypoleucus"
"465";"Capito dayi";"Capito dayi"
"466";"Eubucco tucinkae";"Eubucco tucinkae"
"467";"Semnornis frantzii";"Semnornis frantzii"
"468";"Semnornis ramphastinus";"Semnornis ramphastinus"
"469";"Aulacorhynchus haematopygus";"Aulacorhynchus haematopygus"
"470";"Aulacorhynchus coeruleicinctis";"Aulacorhynchus coeruleicinctis"
"471";"Pteroglossus castanotis";"Pteroglossus castanotis"
"472";"Pteroglossus aracari";"Pteroglossus aracari"
"473";"Pteroglossus frantzii";"Pteroglossus frantzii"
"474";"Pteroglossus pluricinctus";"Pteroglossus pluricinctus"
"475";"Pteroglossus beauharnaisii";"Pteroglossus beauharnaisii"
"476";"Pteroglossus bailloni";"Pteroglossus bailloni"
"477";"Andigena laminirostris";"Andigena laminirostris"
"478";"Andigena hypoglauca";"Andigena hypoglauca"
"479";"Andigena cucullata";"Andigena cucullata"
"480";"Selenidera spectabilis";"Selenidera spectabilis"
"481";"Selenidera nattereri";"Selenidera nattereri"
"482";"Selenidera piperivora";"Selenidera piperivora"
"483";"Selenidera maculirostris";"Selenidera maculirostris"
"484";"Selenidera gouldii";"Selenidera gouldii"
"485";"Ramphastos brevis";"Ramphastos brevis"
"486";"Galbalcyrhynchus leucotis";"Galbalcyrhynchus leucotis"
"487";"Brachygalba goeringi";"Brachygalba goeringi"
"488";"Brachygalba lugubris";"Brachygalba lugubris"
"489";"Galbula cyanicollis";"Galbula cyanicollis"
"490";"Galbula galbula";"Galbula galbula"
"491";"Galbula tombacea";"Galbula tombacea"
"492";"Galbula cyanescens";"Galbula cyanescens"
"493";"Galbula chalcothorax";"Galbula chalcothorax"
"494";"Galbula leucogastra";"Galbula leucogastra"
"495";"Galbula dea";"Galbula dea"
"496";"Notharchus ordii";"Notharchus ordii"
"497";"Bucco capensis";"Bucco capensis"
"498";"Nystalus chacuru";"Nystalus chacuru"
"499";"Nystalus maculatus";"Nystalus maculatus"
"500";"Malacoptila fusca";"Malacoptila fusca"
"501";"Malacoptila semicincta";"Malacoptila semicincta"
"502";"Malacoptila mystacalis";"Malacoptila mystacalis"
"503";"Nonnula rubecula";"Nonnula rubecula"
"504";"Nonnula brunnea";"Nonnula brunnea"
"505";"Nonnula amaurocephala";"Nonnula amaurocephala"
"506";"Hapaloptila castanea";"Hapaloptila castanea"
"507";"Monasa nigrifrons";"Monasa nigrifrons"
"508";"Monasa flavirostris";"Monasa flavirostris"
"509";"Chelidoptera tenebrosa";"Chelidoptera tenebrosa"
"510";"Tockus monteiri";"Tockus monteiri"
"511";"Tockus flavirostris";"Tockus flavirostris"
"512";"Tockus leucomelas";"Tockus leucomelas"
"513";"Tockus jacksoni";"Tockus jacksoni"
"514";"Tockus deckeni";"Tockus deckeni"
"515";"Lophoceros alboterminatus";"Lophoceros alboterminatus"
"516";"Lophoceros bradfieldi";"Lophoceros bradfieldi"
"517";"Lophoceros nasutus";"Lophoceros nasutus"
