"";"parsed";"ebird_itis"
"2165";"Spartonoica maluroides";"Spartonoica maluroides"
"2166";"Phleocryptes melanops";"Phleocryptes melanops"
"2167";"Limnornis curvirostris";"Limnornis curvirostris"
"2168";"Anumbius annumbi";"Anumbius annumbi"
"2169";"Coryphistera alaudina";"Coryphistera alaudina"
"2170";"Ochetorhynchus phoenicurus";"Ochetorhynchus phoenicurus"
"2171";"Siptornis striaticollis";"Siptornis striaticollis"
"2172";"Xenerpestes singularis";"Xenerpestes singularis"
"2173";"Roraimia adusta";"Roraimia adusta"
"2174";"Premnornis guttuliger";"Premnornis guttuliger"
"2175";"Premnoplex tatei";"Premnoplex tatei"
"2176";"Margarornis stellatus";"Margarornis stellatus"
"2177";"Margarornis squamiger";"Margarornis squamiger"
"2178";"Pseudoseisura gutturalis";"Pseudoseisura gutturalis"
"2179";"Berlepschia rikeri";"Berlepschia rikeri"
"2180";"Cichlocolaptes leucophrus";"Cichlocolaptes leucophrus"
"2181";"Syndactyla guttulata";"Syndactyla guttulata"
"2182";"Syndactyla rufosuperciliata";"Syndactyla rufosuperciliata"
"2183";"Syndactyla ruficollis";"Syndactyla ruficollis"
"2184";"Anabacerthia striaticollis";"Anabacerthia striaticollis"
"2185";"Anabacerthia amaurotis";"Anabacerthia amaurotis"
"2186";"Anabacerthia lichtensteini";"Anabacerthia lichtensteini"
"2187";"Philydor atricapillus";"Philydor atricapillus"
"2188";"Syndactyla ucayalae";"Syndactyla ucayalae"
"2189";"Syndactyla striata";"Syndactyla striata"
"2190";"Anabazenops fuscus";"Anabazenops fuscus"
"2191";"Thripadectes ignobilis";"Thripadectes ignobilis"
"2192";"Thripadectes virgaticeps";"Thripadectes virgaticeps"
"2193";"Thripadectes melanorhynchus";"Thripadectes melanorhynchus"
"2194";"Thripadectes holostictus";"Thripadectes holostictus"
"2195";"Thripadectes flammulatus";"Thripadectes flammulatus"
"2196";"Thripadectes scrutator";"Thripadectes scrutator"
"2197";"Automolus infuscatus";"Automolus infuscatus"
"2198";"Sclerurus rufigularis";"Sclerurus rufigularis"
"2199";"Sclerurus albigularis";"Sclerurus albigularis"
"2200";"Sclerurus scansor";"Sclerurus scansor"
"2201";"Microxenops milleri";"Microxenops milleri"
"2202";"Dendrocincla merula";"Dendrocincla merula"
"2203";"Nasica longirostris";"Nasica longirostris"
"2204";"Hylexetastes perrotii";"Hylexetastes perrotii"
"2205";"Xiphocolaptes falcirostris";"Xiphocolaptes falcirostris"
