"Species";"Kingdom";"Phylum";"Class";"Order";"Family";"System";
"Myocastor coypus";"Animalia";"Chordata";"Mammalia";"Rodentia";"Myocastoridae";"Freshwater_terrestrial";
"Nasua nasua";"Animalia";"Chordata";"Mammalia";"Carnivora";"Procyonidae";"Terrestrial";
"Neovison vison";"Animalia";"Chordata";"Mammalia";"Carnivora";"Mustelidae";"Terrestrial";
"Odocoileus virginianus";"Animalia";"Chordata";"Mammalia";"Artiodactyla";"Cervidae";"Terrestrial";
"Oryctolagus cuniculus";"Animalia";"Chordata";"Mammalia";"Lagomorpha";"Leporidae";"Terrestrial";
"Ovis ammon";"Animalia";"Chordata";"Mammalia";"Artiodactyla";"Bovidae";"Terrestrial";
"Ovis aries";"Animalia";"Chordata";"Mammalia";"Artiodactyla";"Bovidae";"Terrestrial";
"Oxyura jamaicensis";"Animalia";"Chordata";"Aves";"Anseriformes";"Anatidae";"Freshwater_terrestrial";
"Passer domesticus";"Animalia";"Chordata";"Aves";"Passeriformes";"Passeridae";"Terrestrial";
"Peromyscus fraterculus";"Animalia";"Chordata";"Mammalia";"Rodentia";"Muridae";"Terrestrial";
"Peromyscus maniculatus";"Animalia";"Chordata";"Mammalia";"Rodentia";"Muridae";"Terrestrial";
"Petrogale inornata";"Animalia";"Chordata";"Mammalia";"Diprotodontia";"Macropodidae";"Terrestrial";
"Phalanger orientalis";"Animalia";"Chordata";"Mammalia";"Diprotodontia";"Phalangeridae";"Terrestrial";
"Pitangus sulphuratus";"Animalia";"Chordata";"Aves";"Passeriformes";"Tyrannidae";"Terrestrial";
"Porphyrio porphyrio";"Animalia";"Chordata";"Aves";"Gruiformes";"Rallidae";"Freshwater_terrestrial";
"Procyon lotor";"Animalia";"Chordata";"Mammalia";"Carnivora";"Procyonidae";"Terrestrial";
"Psittacula krameri";"Animalia";"Chordata";"Aves";"Psittaciformes";"Psittacidae";"Terrestrial";
"Pycnonotus cafer";"Animalia";"Chordata";"Aves";"Passeriformes";"Pycnonotidae";"Terrestrial";
"Pycnonotus jocosus";"Animalia";"Chordata";"Aves";"Passeriformes";"Pycnonotidae";"Terrestrial";
"Rangifer tarandus";"Animalia";"Chordata";"Mammalia";"Artiodactyla";"Cervidae";"Terrestrial";
"Rattus exulans";"Animalia";"Chordata";"Mammalia";"Rodentia";"Muridae";"Terrestrial";
"Rattus norvegicus";"Animalia";"Chordata";"Mammalia";"Rodentia";"Muridae";"Terrestrial";
"Rattus rattus";"Animalia";"Chordata";"Mammalia";"Rodentia";"Muridae";"Terrestrial";
