"";"Species";"Class";"Phylogenetic distinctiveness score";"Phylogenetic distinctiveness rank";"Damage cost";"Management cost"
"184753";"Jatropha gossypiifolia";"PLANTS";8,64e+14;25754;NA;0,00238904392572205
"153353";"Gleditsia triacanthos";"PLANTS";8,62e+14;25937;NA;3,84268887792811e-05
"166471";"Heracleum mantegazzianum";"PLANTS";8,57e+14;26573;0,0765761342367856;6,82476763979769
"344410";"Tecoma stans";"PLANTS";8,44e+14;28232;NA;0,00723542763911105
"303565";"Rubus adenotrichos";"PLANTS";8,43e+14;29501;NA;0,000995191038225944
"303694";"Rubus armeniacus";"PLANTS";8,43e+14;29501;14,5590405273358;NA
"304335";"Rubus fruticosus";"PLANTS";8,43e+14;29501;3,30680740089971;2,00477671740121
"304390";"Rubus glaucus";"PLANTS";8,43e+14;29501;NA;0,00408252375938774
"304847";"Rubus megalococcus";"PLANTS";8,43e+14;29501;NA;0,000257454091928379
"178486";"Impatiens glandulifera";"PLANTS";8,42e+14;30717,5;NA;1,23796534891247
"136842";"Eupatorium serotinum";"PLANTS";8,41e+14;30774,5;NA;0,000228585873093284
"68000";"Centaurea stoebe";"PLANTS";8,4e+14;30998;2,92086206896552;NA
"209900";"Malva parviflora";"PLANTS";8,4e+14;30998;0,183018204274182;NA
"140869";"Fallopia baldschuanica";"PLANTS";8,39e+14;31266;NA;0,000191233299295129
"320978";"Senna obtusifolia";"PLANTS";8,31e+14;32288,5;NA;0,00518611883992786
"241274";"Opuntia humifusa";"PLANTS";8,24e+14;33083;NA;2,65016807934295e-06
"315057";"Schinus terebinthifolia";"PLANTS";8,09e+14;35336,5;NA;0,26363440748007
"348322";"Thevetia peruviana";"PLANTS";7,9e+14;37428,5;NA;NA
"328423";"Sonchus oleraceus";"PLANTS";7,88e+14;37769,5;0,806482497458424;0,0837881322697022
"120851";"Egeria densa";"PLANTS";7,71e+14;40028,5;NA;0,00451445597167629
"165308";"Heliotropium europaeum";"PLANTS";7,66e+14;40752;5,28888688298805;0,0107096295446141
"234308";"Nicotiana glauca";"PLANTS";7,65e+14;40822;NA;0,000524729960944985
"67714";"Centaurea diffusa";"PLANTS";7,63e+14;41158,5;3,9273486696625;1,01560678594761
"336632";"Striga asiatica";"PLANTS";7,63e+14;41158,5;NA;4,39746573468457
"47350";"Brachiaria eminii";"PLANTS";7,61e+14;41368,5;NA;0,000224365782869606
"329620";"Spathodea campanulata";"PLANTS";7,5e+14;43555,5;0,000116101332840433;0,00355671700651418
"233939";"Nerium oleander";"PLANTS";7,39e+14;47173;NA;5,23776748285817e-05
"325384";"Sisymbrium officinale";"PLANTS";7,27e+14;49057,5;0,332983319602014;0,259191574280936
"121158";"Elaeis guineensis";"PLANTS";7,25e+14;49510,5;27,1152842314909;NA
"67573";"Centaurea affinis";"PLANTS";7,21e+14;50255,5;6,04259227092971;NA
"85492";"Coreopsis lanceolata";"PLANTS";7,06e+14;53768,5;NA;0,000299785272733428
"341368";"Syzygium jambos";"PLANTS";7,03e+14;53990;NA;0,00058546291095858
"94020";"Cryptostegia grandiflora";"PLANTS";6,94e+14;55338;0,57901500612951;0,0501211608802272
"20934";"Anredera cordifolia";"PLANTS";6,89e+14;56180;NA;0,000114124066711429
"315044";"Schinus molle";"PLANTS";6,77e+14;58834,5;NA;5,24545062680547e-07
"253253";"Paulownia tomentosa";"PLANTS";6,6e+14;64047,5;NA;2,35009342380973e-05
"204394";"Ludwigia peploides";"PLANTS";6,56e+14;64973,5;NA;0,00197112635304375
"65904";"Casuarina equisetifolia";"PLANTS";6,54e+14;65169,5;NA;0,000459332793415269
"109068";"Dichrostachys cinerea";"PLANTS";6,52e+14;65381,5;NA;NA
"308750";"Salix babylonica";"PLANTS";6,51e+14;65514;NA;0,0206978922794468
"327842";"Solanum seaforthianum";"PLANTS";6,43e+14;67449;NA;0,00864840677402162
"140873";"Fallopia convolvulus";"PLANTS";6,36e+14;69790,5;0,203776960252921;0,0180424164375762
"27039";"Argemone mexicana";"PLANTS";6,34e+14;70181,5;0,0244921136446511;0,0291866844195903
"343178";"Tanacetum vulgare";"PLANTS";6,31e+14;70694;NA;8,83504414506357e-06
"68020";"Centaurea trichocephala";"PLANTS";6,28e+14;71150;NA;3,20598574873338e-05
"252934";"Pastinaca sativa";"PLANTS";6,18e+14;73874;NA;1,29216656878177e-05
"166506";"Heracleum sosnowskyi";"PLANTS";6,04e+14;75729,5;NA;0,0979706317609491
"181159";"Ipomoea plebeia";"PLANTS";6,02e+14;76084,5;NA;NA
"1234";"Acacia implexa";"PLANTS";5,99e+14;76731,5;NA;0,00205415204296507
"262738";"Phoenix canariensis";"PLANTS";5,95e+14;77557,5;NA;2,83982019937541e-06
"96657";"Cylindropuntia pallida";"PLANTS";5,84e+14;80427,5;NA;NA
"260651";"Phalaris aquatica";"PLANTS";5,84e+14;80427,5;0,0187826511497736;0,135173294753659
"358544";"Ulmus parvifolia";"PLANTS";5,8e+14;81066,5;NA;0,000969320828954199
"226633";"Morus nigra";"PLANTS";5,7e+14;83123;NA;1,9861270623801e-05
"15416";"Alternanthera philoxeroides";"PLANTS";5,68e+14;83649,5;3,14023097557778;0,185250179423965
"353487";"Tribulus terrestris";"PLANTS";5,61e+14;84600;1,99751370796755;NA
"194785";"Lepidium draba";"PLANTS";5,56e+14;85845;2,89110102047073;NA
"229623";"Myriophyllum aquaticum";"PLANTS";5,5e+14;87242;NA;0,149270245163976
