"";"X";"Species";"kingdomName";"phylumName";"orderName";"className";"familyName";"genusName";"speciesName";"redlistCategory_version_2020.2";"dietoriFdist";"activityoriFdist";"massoriFdist";"meanoriFdist";"dietoriFtree";"activityoriFtree";"massoriFtree";"meanoriFtree";"oriPdist";"oriPtree";"Exotic.1";"Exotic";"freq_cost";"freq_publi";"invacostY";"Average.annual.cost_damage";"Average.annual.cost_management"
"29";5250;"Atelerix albiventris";"ANIMALIA";"CHORDATA";"EULIPOTYPHLA";"MAMMALIA";"ERINACEIDAE";"Atelerix";"albiventris";"Least Concern";0,76509775763663;0,50395866020105;0,015046406735534;0,428034274857738;0,0511159311625909;0,000230354772328301;8,27202430827737e-05;0,017143002059334;0,649056775;5,84242979241446;FALSE;FALSE;1;1;"Y";NA;3,56219389010746e-05
"30";5648;"Myocastor coypus";"ANIMALIA";"CHORDATA";"RODENTIA";"MAMMALIA";"MYOCASTORIDAE";"Myocastor";"coypus";"Least Concern";0,69785808446651;0,50395866020105;0,0273760677522091;0,409730937473256;0,000381630947819962;0,000230354772328301;0,000126313446735032;0,000246099722294432;0,63192467;4,5096008407304;FALSE;FALSE;69;23;"Y";0,091;2,79017554517298
"31";5649;"Myocastor coypus";"ANIMALIA";"CHORDATA";"RODENTIA";"MAMMALIA";"MYOCASTORIDAE";"Myocastor";"coypus";"Least Concern";0,69785808446651;0,50395866020105;0,0273760677522091;0,409730937473256;0,000381630947819962;0,000230354772328301;0,000126313446735032;0,000246099722294432;0,63192467;4,5096008407304;FALSE;FALSE;69;23;"Y";NA;2,79017554517298
"32";5722;"Cervus elaphus";"ANIMALIA";"CHORDATA";"CETARTIODACTYLA";"MAMMALIA";"CERVIDAE";"Cervus";"elaphus";"Least Concern";0,69785808446651;0,641650691647672;0,0831940781155159;0,474234284743233;0,000381630947819962;0,000855956453590733;0,000673887754083498;0,000637158385164731;0,626529635;3,05022265613375;FALSE;FALSE;2;1;"Y";0,134937276230664;NA
"33";5781;"Canis lupus";"ANIMALIA";"CHORDATA";"CARNIVORA";"MAMMALIA";"CANIDAE";"Canis";"lupus";"Least Concern";0,971214967508251;0,641650691647672;0,0462290135125471;0,553031557556157;0,00533890522363798;0,000855956453590733;0,000541074598164198;0,00224531209179764;0,620677436;2,65596993923967;FALSE;FALSE;17;10;"Y";38,8636606729658;35,3264312212608
"34";5796;"Rattus norvegicus";"ANIMALIA";"CHORDATA";"RODENTIA";"MAMMALIA";"MURIDAE";"Rattus";"norvegicus";"Least Concern";0,684632503975879;0,50395866020105;0,0138565064634178;0,400815890213449;0,00324726948185388;0,000230354772328301;6,40979259717831e-05;0,00118057406005132;0,585979597;3,30293687821176;FALSE;FALSE;28;13;"Y";2,89496856521502;NA
"35";5803;"Phascolarctos cinereus";"ANIMALIA";"CHORDATA";"DIPROTODONTIA";"MAMMALIA";"PHASCOLARCTIDAE";"Phascolarctos";"cinereus";"Vulnerable";0,69785808446651;0,692387517242689;0,0311075127185536;0,473784371475918;0,000381630947819962;0,00056934889082708;0,000156086629178795;0,000369022155941946;0,883921421;29,0946147871331;FALSE;FALSE;4;2;"Y";NA;0,00797418939811934
"36";5892;"Oryctolagus cuniculus";"ANIMALIA";"CHORDATA";"LAGOMORPHA";"MAMMALIA";"LEPORIDAE";"Oryctolagus";"cuniculus";"Endangered";0,69785808446651;0,50395866020105;0,0188612261837685;0,406892656950443;0,000381630947819962;0,000230354772328301;0,000116383013194898;0,000242789577781054;0,652656887;3,46354887045133;FALSE;FALSE;83;44;"Y";168,391668594753;NA
"37";5893;"Muntiacus reevesi";"ANIMALIA";"CHORDATA";"CETARTIODACTYLA";"MAMMALIA";"CERVIDAE";"Muntiacus";"reevesi";"Least Concern";0,685169075898413;0,641650691647672;0,0341563648740184;0,453658710806701;0,00130695731933447;0,000855956453590733;0,000189170185644559;0,000784027986189921;0,626886098;2,93829256520709;FALSE;FALSE;15;3;"Y";0,0121065871690095;0,000671398517181901
"38";9836;"Acridotheres tristis";"ANIMALIA";"CHORDATA";"PASSERIFORMES";"AVES";"STURNIDAE";"Acridotheres";"tristis";"Least Concern";0,528355819133786;0,380319743791853;0,0487369030152572;0,319137488646965;0,129289463062151;0,000890926689944862;0,000144247749229053;0,043441545833775;0,8186481;5,93730105511689;TRUE;TRUE;1;1;"Y";NA;0,01961875
