"";"Species";"Class";"Red List Category";"Damage cost";"Management cost"
"127405";"Equus ferus";"MAMMALIA";"Endangered";0,767224371545502;0,0103650259782827
"243508";"Oryctolagus cuniculus";"MAMMALIA";"Endangered";974,843802548421;8,70908171723398
"16647";"Ammotragus lervia";"MAMMALIA";"Vulnerable";NA;0,00124914172160618
"260810";"Phascolarctos cinereus";"MAMMALIA";"Vulnerable";NA;0,00781145083897405
"293265";"Rangifer tarandus";"MAMMALIA";"Vulnerable";NA;0,00203174905333007
"306993";"Rusa timorensis";"MAMMALIA";"Vulnerable";NA;NA
"166070";"Hemitragus jemlahicus";"MAMMALIA";"Near Threatened";NA;0,447442081026834
"187252";"Kalanchoe daigremontiana";"PLANTS";"Endangered";NA;4,47046183077731e-05
"76496";"Citharexylum gentryi";"PLANTS";"Vulnerable";NA;0,0135931197472695
