"";"ED_median";"ES_median"
"Aix_sponsa";2,60478125700202;2,22692640870052
"Aix_galericulata";2,76210340337174;2,22264384371623
"Melanitta_nigra";2,87414683980955;2,40333942863088
"Melanitta_perspicillata";2,83472937492593;2,64236361669781
"Melanitta_fusca";2,70329466350021;2,38924665539364
"Mergus_serrator";2,58460797887028;1,99785661690855
"Mergus_squamatus";2,67617101772219;1,83506178607271
"Mergus_merganser";2,67466762113074;2,0140519143223
"Mergus_octosetaceus";2,60706676474361;1,8184044496391
"Lophodytes_cucullatus";2,55804561615441;1,83033226196309
"Mergellus_albellus";2,48123671811625;1,9175854762449
"Bucephala_albeola";2,6769599995425;2,17677736217868
"Bucephala_clangula";2,64334169328231;2,18126594573325
"Bucephala_islandica";2,56293794718769;1,79815680035427
"Clangula_hyemalis";2,53261491965739;1,82531045340889
"Polysticta_stelleri";2,67573372460416;2,06927557747107
"Somateria_mollissima";2,73886640196381;2,2203701137968
"Somateria_spectabilis";2,70512900154339;2,23088544448334
"Somateria_fischeri";2,61766942263921;1,90756543738917
"Histrionicus_histrionicus";2,79615108346274;2,31206576089696
"Salvadorina_waigiuensis";2,80573250683383;2,2082694008915
"Cyanochen_cyanoptera";2,80573250683383;2,29406687284614
"Pteronetta_hartlaubii";2,64412372570118;2,32146005303418
"Marmaronetta_angustirostris";2,65920595728848;2,08027620917452
"Netta_peposaca";2,71926975760872;2,08846609102452
"Netta_erythrophthalma";2,67277313586012;2,20345737827078
"Netta_rufina";2,69037366666105;2,24581481394538
"Aythya_baeri";2,81335272537403;2,2548884692974
"Aythya_fuligula";2,79610603932278;2,27978309273418
"Aythya_novaeseelandiae";2,66542133841753;2,18770374406233
"Aythya_affinis";2,88931140870537;2,43649016706132
"Aythya_marila";2,84255328158017;2,41197196934769
"Aythya_innotata";2,80413647867913;2,43785030582618
"Aythya_valisineria";2,94160971503294;2,57778119956492
"Aythya_ferina";3,02222955470935;2,66759518773595
"Aythya_americana";3,04205827056262;2,43726694771635
"Aythya_collaris";3,04205827056262;2,38075532953831
"Aythya_nyroca";3,13094762223914;2,61302415683575
"Aythya_australis";3,24468722712684;2,6161503674225
"Cairina_scutulata";3,49980368762828;3,03999057726456
"Callonetta_leucophrys";3,62403989331616;2,88656817916693
"Chenonetta_jubata";4,12851935527476;4,01318885015913
"Merganetta_armata";4,14724075303017;4,06363152594234
"Hymenolaimus_malacorhynchos";3,79803601987604;3,52667724966185
"Anas_gracilis";4,049661565684;3,50535262098313
"Anas_castanea";3,958775850099;3,3455531601063
"Anas_bernieri";3,83921962334037;3,40774818030063
"Anas_eatoni";3,68623033889477;3,14653432081803
"Anas_nesiotis";3,49863725353919;2,87097034579482
"Anas_chlorotis";3,42019116439346;2,67409178044561
"Anas_aucklandica";3,47442085160112;2,95211122849123
"Anas_capensis";3,33437470973112;2,82053552095229
"Anas_gibberifrons";2,95044095140775;2,44789932406864
"Anas_erythrorhyncha";2,75059643354624;2,41784515771268
"Anas_georgica";2,69762240815462;2,31723149412018
"Anas_acuta";2,82739194146094;2,1895882773845
"Anas_andium";2,77104389357316;2,08542198976622
"Anas_bahamensis";2,33045412897403;1,62254589653324
"Anas_flavirostris";2,50969734402015;1,93742619967686
"Anas_crecca";2,51025092373785;1,85758138059749
"Anas_sparsa";2,44739392987401;1,82171987558245
"Anas_melleri";2,55687702378604;2,10194971760557
"Anas_undulata";2,68296024726582;2,06873557471089
"Anas_rubripes";2,67500283357526;2,22196559784929
"Anas_fulvigula";2,69683414348875;2,29059764910242
"Anas_laysanensis";2,75986336071138;2,4874896915389
"Anas_luzonica";2,65460397213286;1,87484371625844
"Anas_poecilorhyncha";2,58377446761141;2,02158640685298
"Anas_platyrhynchos";2,68838925175434;2,28540722082834
"Anas_superciliosa";2,61177960473444;2,07582173123523
"Anas_strepera";2,47862903925091;1,90839289181585
"Anas_falcata";2,55966838269904;1,99090985935068
"Anas_penelope";2,65445588163736;2,08325550323776
"Anas_sibilatrix";2,46649460218584;1,73773547624418
"Anas_americana";2,52475460279108;1,88599738494979
"Anas_puna";2,64438821647943;2,0835148830442
"Anas_versicolor";2,72951440962683;2,22583020898467
"Anas_platalea";2,61437829791714;2,22583020898467
"Anas_clypeata";2,5055236159642;2,13443316790323
"Anas_rhynchotis";2,49699102155731;2,10364931879172
"Anas_smithii";2,29013518338667;1,63580237529802
"Anas_discors";2,35044131878326;1,68664211148604
"Anas_cyanoptera";2,44618628505081;1,75629540208718
"Anas_querquedula";2,6353560721122;2,01714847680268
"Anas_hottentota";2,61509774690869;2,07211386855619
"Anas_formosa";2,63187423197475;2,07427675822482
"Anas_wyvilliana";2,58346094379524;1,9930134389577
"Tachyeres_leucocephalus";2,67924236237836;2,08796167128901
"Tachyeres_patachonicus";2,66485691690678;2,14679054883227
"Tachyeres_brachypterus";2,69063331790045;2,22610111020475
"Tachyeres_pteneres";2,64816801115938;2,43320539941417
"Lophonetta_specularioides";2,93158026273922;2,51383784457808
"Speculanas_specularis";2,86132833263954;2,52183814511901
"Amazonetta_brasiliensis";3,94075427482634;3,27635778047441
"Oxyura_australis";4,10109468227169;3,91025502355675
"Oxyura_leucocephala";4,41820624931728;4,01294745797154
"Oxyura_maccoa";4,53966912779225;4,0560203304888
"Oxyura_jamaicensis";4,69662101748954;4,2706731238959
"Oxyura_vittata";5,28176445041216;5,94643193971084
"Plectropterus_gambensis";6,21804977376603;6,20442401305074
"Nomonyx_dominicus";5,86978389945475;4,81013476259301
"Nettapus_auritus";5,84882162369772;4,7738094282214
"Nettapus_coromandelianus";6,69846918813593;5,41889690013397
"Nettapus_pulchellus";7,07770166020602;7,24661293913742
"Heteronetta_atricapilla";7,89544831025187;8,65325883499424
"Stictonetta_naevosa";10,5071337597857;13,2030908030594
"Macrocephalon_maleo";26,0036576656178;34,9062368471484
"Megapodius_tenimberensis";15,1003000266768;13,8759391891924
"Megapodius_cumingii";14,2141449043956;13,3091690845594
"Megapodius_pritchardii";13,9287266077174;13,5497738317598
"Megapodius_laperouse";12,9552180831815;11,4705458768162
"Megapodius_layardi";12,8509277837689;11,7353252859449
"Megapodius_geelvinkianus";13,5127012662252;14,8618288644893
"Megapodius_bernsteinii";13,3709261098033;12,6115557338137
"Megapodius_affinis";10,881026655011;9,64257094377324
"Megapodius_freycinet";10,2978182398988;8,71313152529356
"Megapodius_reinwardt";10,5406209272776;8,81927446043564
"Megapodius_nicobariensis";10,3543512364776;8,94987659551904
"Megapodius_eremita";11,5065074562059;10,6125515460236
"Eulipoa_wallacei";14,3141247440246;13,3681840566348
"Leipoa_ocellata";13,575828371443;11,4406241119246
"Talegalla_jobiensis";12,8848472117824;10,8399738367637
"Talegalla_cuvieri";13,6439102137313;13,4366069805324
"Talegalla_fuscirostris";14,5048215196003;12,6188863989425
"Aepypodius_bruijnii";14,0983685954816;12,4741569182852
"Aepypodius_arfakianus";15,3167458903362;15,5283060519968
"Alectura_lathami";24,4583291354817;33,8665429109562
"Chamaepetes_goudotii";5,63332854840257;8,41916305346523
"Chamaepetes_unicolor";4,41650926010645;4,33781930472446
"Aburria_aburri";4,013022622364;3,16851025179862
"Pipile_cujubi";3,57325294860279;2,86485768922352
"Pipile_cumanensis";3,57546102390882;2,75386313734206
"Pipile_pipile";3,65941224078124;2,88872099392501
"Pipile_jacutinga";3,83320950045345;2,89038735980898
"Penelope_superciliaris";3,82597218958554;3,49945689779725
"Penelope_dabbenei";4,01628992037667;3,29786550762862
"Penelope_barbata";3,93849125760939;3,02672446678682
"Penelope_purpurascens";3,81329224900441;2,59039893279011
"Penelope_pileata";3,86557990030883;2,71646169963232
"Penelope_marail";3,9592410858081;3,16153437686281
"Penelope_jacquacu";4,07420672925357;3,13733230754701
"Penelope_montagnii";3,87306329388121;2,61421522724415
"Penelope_jacucaca";3,80892845338516;2,61731765959167
"Penelope_albipennis";3,70256815712697;2,59711966765879
"Penelope_ochrogaster";3,96418912604789;2,9559875879541
"Penelope_obscura";4,16073133962502;3,31848567420903
"Penelope_argyrotis";4,17224838318618;3,30070122030695
"Penelope_ortoni";4,24384484513936;3,24648858133954
"Penelope_perspicax";4,23837280826988;3,12210240603741
"Penelopina_nigra";4,30627034227024;3,45293774520913
"Oreophasis_derbianus";4,79924861469184;4,12168128608052
"Ortalis_motmot";4,41304108056791;4,18036971585527
"Ortalis_erythroptera";4,42472683369675;4,34198962917908
"Ortalis_leucogastra";4,57125024611549;4,97959590261832
"Ortalis_vetula";4,57844005778844;5,27125219513982
"Ortalis_superciliaris";4,24378647609043;4,89460409383062
"Ortalis_canicollis";4,06288820989691;4,498060535446
"Ortalis_wagleri";3,17900857525494;3,09417185831089
"Ortalis_cinereiceps";3,28378031573202;2,41843519397242
"Ortalis_ruficauda";3,3688088821353;2,31189641966823
"Ortalis_garrula";3,48795775422339;2,74296142310368
"Ortalis_guttata";3,55607986183338;2,86427356141355
"Ortalis_poliocephala";3,83600273627272;2,8731447502594
"Pauxi_unicornis";3,94215234751929;2,97175235095345
"Mitu_tuberosum";3,79248435029759;2,82391879207645
"Mitu_salvini";3,68253378850396;2,67903523359129
"Mitu_mitu";3,81349719714681;2,79285312431557
"Mitu_tomentosum";3,81026960745167;2,71668206631721
"Pauxi_pauxi";3,84566526762422;2,81545517996811
"Nothocrax_urumutum";3,71047709283941;2,73586202804949
"Crax_daubentoni";3,64635049255967;2,76842676708041
"Crax_rubra";3,6084499966553;2,54330569975724
"Crax_alberti";3,55700241269395;2,55393790269872
"Crax_blumenbachii";3,74455192390788;2,77044437918774
"Crax_fasciolata";4,09500614141372;3,15839181086147
"Crax_alector";4,54424255075885;4,35939849104523
"Crax_globulosa";6,49980759276688;10,050182032975
"Agelastes_niger";14,0925188099391;18,9119081758594
"Agelastes_meleagrides";11,0960822320526;11,1854607290313
"Numida_meleagris";11,2733074485678;10,5036326063832
"Guttera_plumifera";11,0712633315507;10,7942809302229
