;Rb_median;AV_median;FV_median;NNmed
Amblysomus_hottentotus;0,014932114;0,743453768;0,743327994;0,028369152
Chlorotalpa_sclateri;0,014932114;0,743455418;0,743329643;0,035224991
Chlorotalpa_duthieae;0,014932464;0,743501512;0,743375729;0,040071181
Chrysochloris_visagiei;0,014932464;0,743501512;0,743375729;0,036579346
Cryptochloris_zyli;0,014933589;0,743546963;0,743421173;0,032413183
Cryptochloris_wintoni;0,01493286;0,743546963;0,743421173;0,032027305
Chrysochloris_asiatica;0,014933431;0,743544836;0,743419046;0,03152981
Chrysochloris_stuhlmanni;0,014935579;0,743544836;0,743419046;0,041129562
Eremitalpa_granti;0,014935793;0,743909674;0,743783822;0,079712866
Dasypus_yepesi;0,014710255;0,735362207;0,735237802;0,065557098
Dasypus_sabanicola;0,01470791;0,735359693;0,735235287;0,041266343
Dasypus_novemcinctus;0,01470791;0,735351753;0,735227349;0,048093984
Dasypus_septemcinctus;0,014708395;0,73535496;0,735230555;0,030742345
Dasypus_hybridus;0,014708372;0,73535496;0,735230555;0,034359142
Dasypus_pilosus;0,014708465;0,735368072;0,735243665;0,0339201
Dasypus_kappleri;0,014708465;0,735424979;0,735300563;0,060036372
Zaedyus_pichiy;0,014705882;0,735261252;0,735136864;0,085189298
Euphractus_sexcinctus;0,014705567;0,735246864;0,735122478;0,071997505
Chaetophractus_vellerosus;0,014705401;0,735236994;0,735112609;0,042130021
Chaetophractus_nationi;0,014705383;0,735233065;0,735108681;0,031476499
Chaetophractus_villosus;0,014705438;0,73523387;0,735109486;0,043189935
Chlamyphorus_truncatus;0,014709158;0,735375914;0,735251506;0,12653412
Calyptophractus_retusus;0,014709158;0,735375914;0,735251506;0,127017141
Tolypeutes_tricinctus;0,014707685;0,735299558;0,735175163;0,041544065
Tolypeutes_matacus;0,014707685;0,735299558;0,735175163;0,051719111
Priodontes_maximus;0,014707753;0,735316798;0,7351924;0,186527192
Cabassous_chacoensis;0,014706864;0,735221303;0,735096921;0,086644149
Cabassous_tatouay;0,014706522;0,735208247;0,735083867;0,076170158
Cabassous_unicinctus;0,014706537;0,735206382;0,735082003;0,072071379
Cabassous_centralis;0,014706546;0,735210553;0,735086173;0,089432988
Tamandua_tetradactyla;0,014721789;0,735965607;0,735841099;0,135447594
Tamandua_mexicana;0,014721789;0,735965607;0,735841099;0,082242305
Myrmecophaga_tridactyla;0,014722362;0,736009947;0,735885432;0,12312256
Cyclopes_didactylus;0,014724471;0,736082947;0,73595842;0,382809071
Mylodon_darwinii;0,014718965;0,735802151;0,735677671;0,200086497
Choloepus_hoffmanni;0,014718228;0,73577528;0,735650804;0,089299089
Choloepus_didactylus;0,014718228;0,73577528;0,735650804;0,084402804
Nothrotheriops_shastensis;0,014719323;0,735797221;0,735672741;0,224911088
Bradypus_torquatus;0,014717529;0,735717706;0,73559324;0,063969534
Bradypus_pygmaeus;0,014717521;0,735717706;0,73559324;0,05846733
Bradypus_tridactylus;0,014717171;0,735721554;0,735597088;0,050527586
Bradypus_variegatus;0,014718141;0,735757137;0,735632664;0,068014395
Solenodon_marcanoi;0,013741305;0,697109877;0,696991943;0,062262571
Solenodon_cubanus;0,013741305;0,697109877;0,696991943;0,034134683
Solenodon_paradoxus;0,013741901;0,697141244;0,697023305;0,042900374
Uropsilus_investigator;0,013713524;0,69572557;0,69560787;0,070605076
Uropsilus_soricipes;0,013713313;0,695713056;0,695595358;0,063297899
Uropsilus_gracilis;0,013713298;0,695652041;0,695534354;0,051612012
Uropsilus_andersoni;0,013713217;0,695649611;0,695531924;0,038249756
Uropsilus_aequodonenia;0,013713217;0,695650882;0,695533195;0,03647274
Neurotrichus_gibbsii;0,01371017;0,695701149;0,695583453;0,074068874
Desmana_moschata;0,01371017;0,695669199;0,695551508;0,067299964
Galemys_pyrenaicus;0,01371086;0,695246618;0,695128999;0,070945853
Scapanulus_oweni;0,013709758;0,695248845;0,695131226;0,078105926
Parascalops_breweri;0,0137096;0,69515307;0,695035467;0,093031681
Scapanus_townsendii;0,013708586;0,695150932;0,695033329;0,050548825
Scapanus_orarius;0,013708586;0,695154689;0,695037086;0,067716423
Scapanus_latimanus;0,013708683;0,69517337;0,695055763;0,059893721
Scalopus_aquaticus;0,013709047;0,695168723;0,695051117;0,077774127
Euroscaptor_micrura;0,013701519;0,695188389;0,695070779;0,061355712
