"";"Rb";"AV";"FV";"NN"
"Muscisaxicola capistratus";0,00778405546762354;0,435284689782548;0,435241130822297;0
"Muscisaxicola rufivertex";0,00778405546762354;0,435284689782548;0,435241130822297;0
"Muscisaxicola juninensis";0,00778405546762354;0,435284689782548;0,435241130822297;0
"Muscisaxicola albilora";0,00778405546762354;0,435284689782548;0,435241130822297;0
"Muscisaxicola alpinus";0,00778405546762354;0,435284689782548;0,435241130822297;0
"Muscisaxicola cinereus";0,00778405546762354;0,435284689782548;0,435241130822297;0
"Muscisaxicola albifrons";0,00778405546762354;0,435284689782548;0,435241130822297;0
"Muscisaxicola flavinucha";0,00778405546762354;0,435284689782548;0,435241130822297;0
"Muscisaxicola frontalis";0,00778405546762354;0,435284689782548;0,435241130822297;0
"Muscigralla brevicauda";0,00778405546762354;0,435284689782548;0,435241130822297;0
"Lessonia oreas";0,00778405546762354;0,435284689782548;0,435241130822297;0
"Lessonia rufa";0,00778405546762354;0,435284689782548;0,435241130822297;0
"Knipolegus striaticeps";0,00778405546762354;0,435284689782548;0,435241130822297;0
"Knipolegus hudsoni";0,00778405546762354;0,435284689782548;0,435241130822297;0
"Knipolegus poecilocercus";0,00778405546762354;0,435284689782548;0,435241130822297;0
"Knipolegus signatus";0,00778405546762354;0,435284689782548;0,435241130822297;0
"Knipolegus cyanirostris";0,00778405546762354;0,435284689782548;0,435241130822297;0
"Knipolegus poecilurus";0,00778405546762354;0,435284689782548;0,435241130822297;0
"Knipolegus orenocensis";0,00778405546762354;0,435284689782548;0,435241130822297;0
"Knipolegus aterrimus";0,00778405546762354;0,435284689782548;0,435241130822297;0
"Knipolegus nigerrimus";0,00778405546762354;0,435284689782548;0,435241130822297;0
"Knipolegus lophotes";0,00778315862826225;0,440062584057767;0,440018546973403;0
"Hymenops perspicillatus";0,00778405546762354;0,435284689782548;0,435241130822297;0
"Fluvicola pica";0,00778405546762354;0,435284689782548;0,435241130822297;0
"Fluvicola albiventer";0,00778405546762354;0,435284689782548;0,435241130822297;0
"Fluvicola nengeta";0,00778405546762354;0,435284689782548;0,435241130822297;0
"Arundinicola leucocephala";0,00778405546762354;0,435284689782548;0,435241130822297;0
"Alectrurus tricolor";0,00778405546762354;0,435284689782548;0,435241130822297;0
"Alectrurus risora";0,00778405546762354;0,435284689782548;0,435241130822297;0
"Gubernetes yetapa";0,00778405546762354;0,435284689782548;0,435241130822297;0
"Satrapa icterophrys";0,00778405546762354;0,435284689782548;0,435241130822297;0
"Colonia colonus";0,00778405546762354;0,435284689782548;0,435241130822297;0
"Machetornis rixosa";0,00778405546762354;0,435284689782548;0,435241130822297;0
"Muscipipra vetula";0,00778405546762354;0,435284689782548;0,435241130822297;0
"Attila phoenicurus";0,00806194773396428;0,470359783133357;0,470312714206795;0
"Attila cinnamomeus";0,00994173953782963;0,62873234986263;0,62866943258555;0
"Attila torridus";0,0092656686442998;0,583282564312786;0,583224195197974;0
"Attila citriniventris";0,00790768392355105;0,455710577770062;0,455664974790199;0
"Attila bolivianus";0,00790768392355105;0,455710577770062;0,455664974790199;0
"Attila rufus";0,0085642046672953;0,512383494953001;0,512332220711537;0
"Attila spadiceus";0,00929159694076373;0,570466406010988;0,570409319409766;0,130589531104217
"Casiornis rufus";0,00778405546762354;0,435284689782548;0,435241130822297;0
"Casiornis fuscus";0,00778405546762354;0,435284689782548;0,435241130822297;0
"Rhytipterna holerythra";0,00790768392355105;0,455710577770062;0,455664974790199;0
"Rhytipterna simplex";0,00790768392355105;0,455710577770062;0,455664974790199;0
"Rhytipterna immunda";0,00790768392355105;0,455710577770062;0,455664974790199;0
"Laniocera rufescens";0,0107572381875968;0,708438065576323;0,708367172144363;0
"Laniocera hypopyrra";0,00790768392355105;0,455710577770062;0,455664974790199;0
"Sirystes sibilator";0,00790768392355105;0,455710577770062;0,455664974790199;0
"Myiarchus semirufus";0,00790768392355105;0,455710577770062;0,455664974790199;0
"Myiarchus yucatanensis";0,00778405546762354;0,435284689782548;0,435241130822297;0
"Myiarchus tuberculifer";0,00772484861851475;0,440239730122259;0,440195675310878;0
"Myiarchus barbirostris";0,00778405546762354;0,435284689782548;0,435241130822297;0
"Myiarchus swainsoni";0,00784344804704044;0,456449714202643;0,456404037257361;0
"Myiarchus venezuelensis";0,0092656686442998;0,583282564312786;0,583224195197974;0
"Myiarchus panamensis";0,0092656686442998;0,583282564312786;0,583224195197974;0
"Myiarchus ferox";0,0092656686442998;0,583282564312786;0,583224195197974;0
"Myiarchus cephalotes";0,00849983754171785;0,507006331992451;0,506955595843948;0
"Myiarchus phaeocephalus";0,00778405546762354;0,435284689782548;0,435241130822297;0
"Myiarchus apicalis";0,0092656686442998;0,583282564312786;0,583224195197974;0
"Myiarchus cinerascens";0,00806194773396428;0,470359783133357;0,470312714206795;0
"Myiarchus nuttingi";0,0092656686442998;0,583282564312786;0,583224195197974;0
"Myiarchus crinitus";0,00867418691796249;0,52998931133464;0,529936275278267;0
"Myiarchus tyrannulus";0,00806194773396428;0,470359783133357;0,470312714206795;0
"Myiarchus nugator";0,00778405546762354;0,435284689782548;0,435241130822297;0
"Myiarchus magnirostris";0,00778405546762354;0,435284689782548;0,435241130822297;0
"Myiarchus validus";0,0092656686442998;0,583282564312786;0,583224195197974;0
"Myiarchus sagrae";0,00806847525029469;0,481225218863078;0,48117706263183;0
"Myiarchus stolidus";0,00790768392355105;0,455710577770062;0,455664974790199;0
"Myiarchus antillarum";0,00772484861851475;0,440239730122259;0,440195675310878;0
"Myiarchus oberi";0,0092656686442998;0,583282564312786;0,583224195197974;0
"Deltarhynchus flammulatus";0,00778405546762354;0,435284689782548;0,435241130822297;0
"Ramphotrigon megacephalum";0,00778405546762354;0,435284689782548;0,435241130822297;0
"Ramphotrigon fuscicauda";0,00778405546762354;0,435284689782548;0,435241130822297;0
"Ramphotrigon ruficauda";0,00790768392355105;0,455710577770062;0,455664974790199;0
"Tyrannus niveigularis";0,0092656686442998;0,583282564312786;0,583224195197974;0
"Tyrannus albogularis";0,00778405546762354;0,435284689782548;0,435241130822297;0
"Tyrannus melancholicus";0,00778405546762354;0,435284689782548;0,435241130822297;0
"Tyrannus couchii";0,00790768392355105;0,455710577770062;0,455664974790199;0
