"";"Rb";"AV";"FV";"NN"
"Myioborus castaneocapilla";0,00939745137898401;0,417971205502858;0,417929379103828;0
"Myioborus pariae";0,00959340714502852;0,429285938157895;0,429242979493014;0
"Myioborus brunniceps";0,00959340714502852;0,429285938157895;0,429242979493014;0
"Myioborus albifacies";0,00939745137898401;0,417971205502858;0,417929379103828;0
"Myioborus cardonai";0,00939745137898401;0,417971205502858;0,417929379103828;0
"Myioborus torquatus";0,00960640593964824;0,431735946511517;0,43169274267418;0
"Myioborus melanocephalus";0,010974541682081;0,500336455047002;0,500286386353412;0
"Myioborus ornatus";0,0101890013263001;0,459332056674782;0,459286091293348;0
"Myioborus albifrons";0,0107935841622301;0,49257502527114;0,492525733264208;0
"Myioborus flavivertex";0,00974023193732255;0,439111313582547;0,439067371691866;0
"Euthlypis lachrymosa";0,00883686181304775;0,388680345896989;0,388641450635716;0
"Basileuterus fraseri";0,00959340714502852;0,429285938157895;0,429242979493014;0
"Basileuterus bivittatus";0,00959340714502852;0,429285938157895;0,429242979493014;0
"Basileuterus chrysogaster";0,00930544755567147;0,413004005630821;0,412962676299726;0
"Basileuterus chlorophrys";0,00930544755567147;0,413004005630821;0,412962676299726;0
"Basileuterus signatus";0,0102928633398869;0,462430652497031;0,462384377038961;0
"Basileuterus luteoviridis";0,00959340714502851;0,429285938157895;0,429242979493014;0
"Basileuterus nigrocristatus";0,0102928633398869;0,462430652497031;0,462384377038961;0
"Basileuterus griseiceps";0,0102928633398869;0,462430652497031;0,462384377038961;0
"Basileuterus basilicus";0,00968861583024334;0,432486730419402;0,432443451451082;0
"Basileuterus cinereicollis";0,0102928633398869;0,462430652497031;0,462384377038961;0
"Basileuterus conspicillatus";0,00939745137898402;0,417971205502858;0,417929379103828;0
"Basileuterus coronatus";0,00939745137898402;0,417971205502858;0,417929379103828;0
"Basileuterus culicivorus";0,00939745137898402;0,417971205502858;0,417929379103828;0
"Basileuterus trifasciatus";0,00939745137898402;0,417971205502858;0,417929379103828;0
"Basileuterus hypoleucus";0,00915465481880043;0,40589462162107;0,405854003726381;0
"Basileuterus rufifrons";0,0102928633398869;0,462430652497031;0,462384377038961;0
"Basileuterus belli";0,0102928633398869;0,462430652497031;0,462384377038961;0
"Basileuterus melanogenys";0,0102928633398869;0,462430652497031;0,462384377038961;0
"Basileuterus ignotus";0,00990335069661532;0,444971088853012;0,444926560574331;0
"Basileuterus tristriatus";0,0102928633398869;0,462430652497031;0,462384377038961;0
"Basileuterus leucoblepharus";0,00883686181304774;0,388680345896989;0,388641450635716;0
"Basileuterus leucophrys";0,00927076876031916;0,411358663115766;0,411317498434177;0
"Basileuterus flaveolus";0,00878142035285343;0,386001714503663;0,385963087293166;0
"Phaeothlypis fulvicauda";0,00892085902944447;0,393418910749432;0,393379541299743;0
"Phaeothlypis rivularis";0,00892085902944447;0,393418910749432;0,393379541299743;0
"Zeledonia coronata";0,00878142035285343;0,386001714503663;0,385963087293166;0
"Icteria virens";0,0102928633398869;0,462430652497031;0,462384377038961;0
"Granatellus venustus";0,0102928633398869;0,462430652497031;0,462384377038961;0
"Granatellus sallaei";0,00826747332176078;0,361152857865592;0,361116717281396;0
"Granatellus pelzelni";0,0101890013263001;0,459332056674782;0,459286091293348;0
"Xenoligea montana";0,00899791244618667;0,398226678565616;0,398186828002365;0
"Coereba flaveola";0,00968861583024334;0,432486730419402;0,432443451451082;0
"Conirostrum speciosum";0,00847085345077022;0,371303232592774;0,371266076260081;0
"Conirostrum leucogenys";0,00851125775967744;0,372855134990904;0,372817823359263;0
"Conirostrum bicolor";0,00847085345077022;0,371303232592774;0,371266076260081;0
"Conirostrum margaritae";0,00847085345077022;0,371303232592774;0,371266076260081;0
"Conirostrum cinereum";0,00883686181304774;0,388680345896989;0,388641450635716;0
"Conirostrum tamarugense";0,00909458277753388;0,402364282301957;0,402324017688497;0
"Conirostrum ferrugineiventre";0,00909458277753388;0,402364282301957;0,402324017688497;0
"Conirostrum rufum";0,00883686181304774;0,388680345896989;0,388641450635716;0
"Conirostrum sitticolor";0,00883686181304774;0,388680345896989;0,388641450635716;0
"Conirostrum albifrons";0,00881986180472764;0,38813057340477;0,388091733159258;0
"Oreomanes fraseri";0,00883219885669367;0,391775249302454;0,391736044334045;0
"Orchesticus abeillei";0,0107935841622301;0,49257502527114;0,492525733264208;0
"Schistochlamys ruficapillus";0,00939745137898402;0,417971205502858;0,417929379103828;0
"Schistochlamys melanopis";0,00932657426258506;0,416434615730783;0,416392943098367;0
"Neothraupis fasciata";0,00847085345077023;0,371303232592774;0,371266076260081;0
"Cypsnagra hirundinacea";0,00884209161079723;0,389892685853055;0,389853669272863;0,0753959009363664
"Conothraupis speculigera";0,00886489241302722;0,392132493823338;0,392093253105453;0
"Conothraupis mesoleuca";0,00886489241302722;0,392132493823338;0,392093253105453;0
"Lamprospiza melanoleuca";0,0107353888974157;0,489785672627477;0,489736659751201;0
"Cissopis leverianus";0,00813215147914022;0,35636576995975;0,356330108419676;0
"Chlorornis riefferii";0,00931906793107543;0,415186345128873;0,415144797410958;0
"Compsothraupis loricata";0,00957837232388317;0,43118916220362;0,431146013083015;0
"Sericossypha albocristata";0,00957837232388317;0,43118916220362;0,431146013083015;0
"Nesospingus speculiferus";0,0097038281081444;0,436762731432246;0,436719024564296;0
