"";"Rb";"AV";"FV";"NN"
"Poospiza boliviana";0,00749455229730868;0,0394503943152913;0,0394464465123978;0
"Poospiza alticola";0,00749455229730868;0,0394503943152913;0,0394464465123978;0
"Poospiza hypochondria";0,00769911951786843;0,0407208887295381;0,0407168137882062;0
"Poospiza ornata";0,00832021859735646;0,0455821127269313;0,0455775513226757;0
"Poospiza erythrophrys";0,00810401940799784;0,0438202143131846;0,0438158292221896;0
"Poospiza whitii";0,00790160554466694;0,04222214767058;0,0422179224981922;0
"Poospiza nigrorufa";0,00787831999375195;0,0420431518119068;0,0420389445516434;0
"Poospiza lateralis";0,00778472745566414;0,0413382944539824;0,0413341577288294;0
"Poospiza rubecula";0,00743923249815861;0,0392255227880487;0,0392215974880599;0
"Compsospiza garleppi";0,00735950488692024;0,0395638764208298;0,0395599172617764;0
"Compsospiza baeri";0,00743497373869197;0,0392134221914033;0,0392094981023218;0
"Poospiza caesar";0,00736393865323758;0,0399760154885554;0,0399720150867253;5,16367214135199e-06
"Poospiza hispaniolensis";0,00793209821519448;0,0424582958466672;0,0424540470429199;0
"Poospiza torquata";0,00841169856197628;0,0463384897114738;0,0463338526165362;0
"Poospiza melanoleuca";0,008190658064439;0,04452117024853;0,0445167150128402;0
"Poospiza cinerea";0,00834218087314591;0,0457632366834891;0,0457586571541502;0
"Sicalis citrina";0,00834218087314591;0,0457632366834891;0,0457586571541502;0
"Sicalis lutea";0,00806973933101589;0,0435452023896225;0,0435408448190842;0
"Sicalis uropygialis";0,00765183205905749;0,0403949266403927;0,040390884318103;0
"Sicalis luteocephala";0,00794792448019257;0,0425815353176029;0,0425772741812757;0
"Sicalis auriventris";0,00737426906797296;0,0403425092899666;0,0403384722130838;0
"Sicalis olivascens";0,00767659253984666;0,0405641506474608;0,0405600913909164;0
"Sicalis lebruni";0,00756805996089442;0,0398559744708074;0,0398519860814878;0
"Sicalis columbiana";0,00816363615039236;0,0443017814330175;0,0442973481515772;0
"Sicalis flaveola";0,00790820231092555;0,0422731191997026;0,0422688889265914;1,08128015769739e-05
"Sicalis luteola";0,00797079870069593;0,0427604805923566;0,042756201548967;0
"Sicalis raimondii";0,00797754184597809;0,0428134968064088;0,042809212457684;0
"Sicalis taczanowskii";0,00886327659837627;0,0501182073705136;0,0501131920390446;1,78059333408621e-05
"Emberizoides herbicola";0,00751553680715052;0,0395565632445124;0,0395526048172889;7,80575966216612e-06
"Emberizoides duidae";0,00761904334051234;0,0401773810922348;0,0401733605397388;8,67388590845147e-06
"Emberizoides ypiranganus";0,0077440715134585;0,0410412214364013;0,0410371144393597;0
"Embernagra platensis";0,00735999497153902;0,0395232692798453;0,0395193141843505;0
"Embernagra longicauda";0,00736659784952395;0,0393215638448203;0,0393176289339982;0
"Volatinia jacarina";0,00855021909353096;0,0474924092674711;0,0474876566997469;3,08205890901248e-05
"Sporophila frontalis";0,00844010092129761;0,0465744489557457;0,0465697882483549;0
"Sporophila falcirostris";0,00844010092129761;0,0465744489557457;0,0465697882483549;0
"Sporophila schistacea";0,00822845308033669;0,0448294165300765;0,0448249304481662;0
"Sporophila intermedia";0,00828846410410059;0,0453209467803836;0,045316411511017;0
"Sporophila plumbea";0,00858445120586951;0,0477786043292062;0,0477738231219282;0
"Sporophila corvina";0,00845911985138607;0,0467326714773013;0,0467279949365751;0
"Sporophila americana";0,00829885465515748;0,0454062662480524;0,0454017224407625;0
"Sporophila murallae";0,00844010092129761;0,0465744489557457;0,0465697882483549;0
"Sporophila torqueola";0,00873974698746752;0,0490803212248668;0,0490754097547152;0
"Sporophila collaris";0,00815573407661518;0,0442377852096425;0,0442333583323074;0
"Sporophila bouvronides";0,00867513022122129;0,0485381565424419;0,0485332993267367;0
"Sporophila lineola";0,00857005194834005;0,0476581798338969;0,047653410677504;0
"Sporophila luctuosa";0,00824802426107522;0,044989476312046;0,0449849742129454;0
"Sporophila nigricollis";0,00859907324867541;0,047900963002715;0,0478961695509986;0
"Sporophila melanops";0,00844010092129761;0,0465744489557457;0,0465697882483549;0
"Sporophila caerulescens";0,0085801161510251;0,0477423463479392;0,0477375687689991;1,56153985962741e-05
"Sporophila albogularis";0,00858445120586951;0,0477786043292062;0,0477738231219282;0
"Sporophila leucoptera";0,00799815469334257;0,0429759296917397;0,0429716290883482;0
"Sporophila peruviana";0,00823818651497958;0,0449089900090018;0,0449044959641696;0
"Sporophila simplex";0,0075064105859891;0,0395091718725492;0,0395052181877826;0
"Sporophila nigrorufa";0,00844010092129761;0,0465744489557457;0,0465697882483549;0
"Sporophila bouvreuil";0,00875647063382468;0,0492207468969425;0,049215821374387;0
"Sporophila minuta";0,00889842478689097;0,0504137629260246;0,0504087180182966;0
"Sporophila hypoxantha";0,00861389933960237;0,0480250859668396;0,048020280094132;0
"Sporophila ruficollis";0,00875647063382468;0,0492207468969425;0,049215821374387;0
"Sporophila palustris";0,00882374954884593;0,0497859521191097;0,0497809700364399;1,75008038299333e-05
"Sporophila castaneiventris";0,00889842478689097;0,0504137629260246;0,0504087180182966;0
"Sporophila hypochroma";0,00858445120586951;0,0477786043292062;0,0477738231219282;0
"Sporophila cinnamomea";0,00870697151197286;0,0488052238621932;0,0488003399210482;0
"Sporophila melanogaster";0,00864413173735131;0,0482783303139034;0,0482734990990216;0
"Sporophila telasco";0,00859907324867541;0,047900963002715;0,0478961695509986;0
"Oryzoborus nuttingi";0,00760418287466605;0,0400812163395797;0,0400772054102952;0
"Oryzoborus crassirostris";0,00771086606424493;0,0408035927386928;0,0407995095211666;0
"Oryzoborus atrirostris";0,0075503771483598;0,0397506132540795;0,0397466354082621;0
"Oryzoborus maximiliani";0,00758697187184199;0,0399724204898208;0,0399684204477423;0
"Oryzoborus angolensis";0,0081999079170877;0,0445964586806294;0,0445919959108224;0
"Amaurospiza concolor";0,008190658064439;0,04452117024853;0,0445167150128402;0
"Amaurospiza moesta";0,00814616963225655;0,0441603863197751;0,0441559671877507;0
"Melopyrrha nigra";0,00804294658272971;0,0433311676341981;0,0433268314821282;1,17655203736612e-05
