"";"dietori";"activityori";"massori";"meanori"
"Elanus axillaris";0,929173349029551;0,411358663115766;0,0687206502665813;0,469750887470633
"Elanus leucurus";0,971964737703918;0,429070348505752;0,0771329667532454;0,492722684320972
"Elanus scriptus";0,936218767330245;0,411358663115766;0,0739031868984766;0,473826872448163
"Chelictinia riocourii";0,553707188095322;0,411358663115766;0,0478135604833675;0,337626470564819
"Rostrhamus sociabilis";0,435284689782548;0,411358663115766;0,0793192757389169;0,308654209545744
"Helicolestes hamatus";0,435284689782548;0,411358663115766;0,0851467559926672;0,31059670296366
"Harpagus bidentatus";0,492699868181802;0,475847141671222;0,0620850219900774;0,343544010614367
"Harpagus diodon";0,492699868181802;0,47346362822277;0,0601403974537565;0,342101297952776
"Ictinia mississippiensis";0,460948243261622;0,521587232539367;0,0694079987290264;0,350647824843338
"Ictinia plumbea";0,456474007803701;0,568113935503865;0,0663369978094492;0,363641647039005
"Milvus milvus";0,98696893832878;0,411358663115766;0,133849681949563;0,51072576113137
"Milvus migrans";0,986569248904956;0,443174949293723;0,111146488155744;0,513630228784808
"Haliastur sphenurus";0,930651435606785;0,411358663115766;0,112544782391391;0,484851627037981
"Haliastur indus";0,919388502301308;0,452886491217252;0,0946158488323759;0,488963614116979
"Haliaeetus leucogaster";0,965889904905019;0,508102619738463;0,212256397627034;0,562082974090172
"Haliaeetus sanfordi";0,979295233463645;0,4959229151022;0,179850040745391;0,551689396437079
"Haliaeetus vocifer";0,967568157892871;0,55411890010758;0,230877953599992;0,584188337200148
"Haliaeetus vociferoides";0,973128743816071;0,533010205142171;0,218104354249866;0,574747767736036
"Haliaeetus leucoryphus";0,969419176080407;0,55411890010758;0,214272339779657;0,579270138655881
"Haliaeetus albicilla";0,971339706779123;0,495649892903209;0,267505238575165;0,578164946085832
"Haliaeetus leucocephalus";0,965117901231333;0,470289735871411;0,266789119030212;0,567398918710985
"Haliaeetus pelagicus";0,977342143057397;0,543070291924226;0,331251688208323;0,617221374396649
"Ichthyophaga humilis";0,973128743816071;0,571685254266704;0,114659137722116;0,553157711934964
"Ichthyophaga ichthyaetus";0,973399216380814;0,571685254266704;0,162049852427457;0,569044774358325
"Gypohierax angolensis";0,795618430990479;0,425393399584779;0,162537498367377;0,461183109647545
"Gypaetus barbatus";0,9939476144384;0,411358663115766;0,290140380502052;0,565148886018739
"Neophron percnopterus";0,932072110396465;0,411358663115766;0,184150817986058;0,509193863832763
