"";"ED";"ES"
"Aepypodius bruijnii";0,000129811320060596;3,78124451259998e-06
"Talegalla cuvieri";0,000881880723319705;0,00194004630709096
"Talegalla fuscirostris";0,000553452498564251;0,00101975275885054
"Talegalla jobiensis";0,000400581461502196;0,000251742889333573
"Macrocephalon maleo";0,000653169015993911;0,000712589917056327
"Megapodius nicobariensis";0,00039482537891451;0,000657210413368596
"Megapodius cumingii";0,0004448633655537;0,00113170986655891
"Megapodius bernsteinii";0,000303389159348768;0,000106407941058261
"Megapodius reinwardt";0,000318945715354577;0,000113713215558031
"Megapodius freycinet";0,000285347946990938;7,5034720988153e-05
"Megapodius affinis";0,000343717145069372;0,000925377152243008
"Megapodius eremita";0,000285590297444349;0,000265435830596396
"Megapodius layardi";0,000303389159348768;0,000106407941058261
"Megapodius laperouse";0,000137957911462228;8,04929342111685e-06
"Megapodius pritchardii";0,000172604504643422;2,45083703123425e-05
"Eulipoa wallacei";0,000346547295212532;0,000934867011051052
"Leipoa ocellata";0,000741423942173696;0,000402373005385642
"Lerwa lerwa";0,000269558592870927;0,000277595462379233
"Ammoperdix griseogularis";0,000143104316471043;0,000125201832613193
"Ammoperdix heyi";0,000174485392206035;0,00026323768995023
"Tetraogallus caucasicus";0,000998037563104983;0,00206033002429201
"Tetraogallus caspius";0,000801309466294438;0,000420791264766497
"Tetraogallus tibetanus";0,000404348307681156;0,00020969224442474
"Tetraogallus altaicus";0,000978050916330214;0,001205550018242
"Tetraogallus himalayensis";0,00101256965540879;0,00139597986938128
"Tetraophasis obscurus";0,000398974109365642;0,000634972909154183
"Tetraophasis szechenyii";0,000408623587088257;0,000618769413776268
"Alectoris barbara";0,00019481531888577;8,44331012675283e-05
"Alectoris melanocephala";0,000291732021236932;0,000282597294415566
"Alectoris chukar";0,000222822617928199;0,000225537125990954
"Alectoris philbyi";0,000259250248426229;0,000401511291204714
"Alectoris magna";0,000316242950181094;0,000886174030116822
"Alectoris graeca";0,000340077161531563;0,000319369109529684
"Alectoris rufa";0,000292289160611929;0,000873758638587841
"Francolinus francolinus";0,000198636869942584;7,42750206862034e-05
"Francolinus pictus";0,000166488578009748;0,000143954371013623
"Francolinus pintadeanus";0,000165418845609406;0,00013240092167467
"Francolinus pondicerianus";0,000133365299755522;1,42696708080738e-05
"Francolinus gularis";0,000247738953188326;0,00011983648086273
"Francolinus coqui";0,000177522692217572;0,000140386981388877
"Francolinus albogularis";0,000169388047602106;6,80668524127171e-05
"Francolinus schlegelii";0,000188168809069024;0,000495461667578515
"Francolinus lathami";0,000154583956562584;3,62908052246063e-05
"Francolinus sephaena";0,00018804299892413;0,000291736903224607
"Francolinus streptophorus";0,00025250651957395;0,000307250110463686
"Francolinus finschi";0,000264093217057473;0,000252559952483871
"Francolinus africanus";0,000223189954990257;0,000299147370605851
"Francolinus levaillantii";0,000191977802398305;6,27688849573179e-05
"Francolinus psilolaemus";0,000229314167636738;0,000211581442168183
"Francolinus shelleyi";0,000227045523271347;0,000347837697305871
"Francolinus levaillantoides";0,000207199661008306;0,000292857799787581
"Francolinus nahani";0,000165418845609406;0,00013240092167467
"Francolinus hartlaubi";0,000176157369216027;0,000158107930520152
"Francolinus bicalcaratus";0,000231269753717851;0,000389970275828185
"Francolinus clappertoni";0,000263793048385774;0,000352132605197896
"Francolinus icterorhynchus";0,000267023404874046;0,000486200499587945
"Francolinus harwoodi";0,000262726022063394;0,000244403518991977
"Francolinus adspersus";0,000186011902833607;0,000192948705852272
"Francolinus capensis";0,000330242189840484;0,000555016867760182
"Francolinus hildebrandti";0,000253762186646803;7,13730533069643e-05
"Francolinus natalensis";0,000230702904649409;0,000124724564595479
"Francolinus ahantensis";0,000344668099973279;0,000974629893860965
"Francolinus squamatus";0,000221374787860949;0,000245871424852664
"Francolinus griseostriatus";0,000164826217540702;0,00015278555483291
"Francolinus leucoscepus";0,000315541948575351;0,000291576182932351
"Francolinus rufopictus";0,000265333818274272;0,000288416467168556
"Francolinus afer";0,000250778559510198;0,000282278197679454
"Francolinus swainsonii";0,000333072408110724;0,000312427377068403
"Francolinus erckelii";0,000347149699129655;0,000145346688084038
"Francolinus ochropectus";0,000277464567020145;0,000171220437372233
"Francolinus castaneicollis";0,000299647309492973;0,000135126889331058
"Francolinus nobilis";0,000375868267843576;0,00045135289094611
"Francolinus jacksoni";0,000372644990473076;0,0003701641928933
"Francolinus camerunensis";0,000308558090773427;0,000274037964350492
"Francolinus swierstrai";0,000239288976396504;0,000243828591791919
"Perdix perdix";0,000228385987016003;0,00026315808509911
"Perdix dauurica";0,000184026060608655;0,000260028635820868
"Perdix hodgsoniae";0,000193503217509429;0,00018022701177522
"Rhizothera longirostris";0,000335626565337281;0,000649602053153619
"Margaroperdix madagascariensis";0,000157943242874988;0,000221232738266365
"Melanoperdix niger";0,000168235151838274;0,000109514996741775
"Coturnix coturnix";0,000100746594973573;8,81338619717943e-05
"Coturnix japonica";9,36451605823887e-05;3,53350241861609e-05
"Coturnix pectoralis";0,000116354983816242;0,000125861712459842
"Coturnix coromandelica";9,3959598385327e-05;9,9263266648391e-05
"Coturnix delegorguei";7,82760087367578e-05;1,24097768154015e-06
"Coturnix ypsilophora";0,000150782321183292;0,000362308202865879
"Coturnix chinensis";7,04880743424488e-05;5,3204054224267e-06
"Anurophasis monorthonyx";0,000178244379149284;7,68594197688639e-05
"Perdicula asiatica";9,80215657767997e-05;0,000103976071627247
"Perdicula argoondah";9,25552102075547e-05;5,147608661896e-05
"Perdicula erythrorhyncha";8,69903839535114e-05;5,88174525256762e-05
"Perdicula manipurensis";9,11286868233727e-05;4,11311158451384e-05
"Xenoperdix udzungwensis";0,000164322350474127;7,60755711656234e-05
