"";"ED_median";"ES_median"
"Artemisia_annua";15,3109720796388;11,5218144015617
"Artemisia_vulgaris";15,3109730796388;11,5218154015617
"Chrysanthemoides_monilifera";24,0239402463054;23,4919086062469
"Senecio_madagascariensis";12,6098981629721;8,71153630312348
"Senecio_inaequidens";12,6098981629721;8,71153630312348
"Jacobaea_vulgaris";16,0670931629721;17,3821526062469
"Chondrilla_juncea";26,7589934360813;26,5823274624939
"Pilosella_officinarum";26,7589924360813;26,5823264624939
"Arctotheca_calendula";32,3874459360813;36,5901929249878
"Centaurea_diffusa";8,08541107326082;3,32616608437347
"Centaurea_maculosa";8,08541107326082;3,32616608437347
"Centaurea_stoebe";8,08827207326082;6,63949416874695
"Centaurea_calcitrapa";10,5233522399275;8,18596416874695
"Centaurea_solstitialis";10,5233512399275;8,18596316874695
"Carthamus_lanatus";12,3739543399275;21,1706356749878
"Cirsium_arvense";9,02629574468939;4,90380758437347
"Cirsium_vulgare";9,02629574468939;4,90380758437347
"Silybum_marianum";10,2423612446894;8,71664516874695
"Carduus_tenuiflorus";8,39935057802272;4,14141333437347
"Carduus_pycnocephalus";8,39935057802272;4,14141333437347
"Carduus_nutans";9,15877057802272;7,90395266874695
"Onopordum_acanthium";15,5279777446894;23,0919516749878
"Nymphoides_peltata";70,6675435042632;85,7676443999024
"Lonicera_japonica";88,9082291983808;94,4535538999023
"Heracleum_mantegazzianum";40,4414280317141;35,2267042374878
"Heracleum_sosnowskyi";40,4414280317141;35,2267042374878
"Hydrocotyle_ranunculoides";70,0836410317141;69,5496864749756
"Pittosporum_tobira";72,2043296983808;78,9112249499512
"Rhododendron_ponticum";113,574430399437;118,861899199219
"Carpobrotus_edulis";89,6835875008859;92,4946034248047
"Cylindropuntia_rosea";33,2045240008859;22,1166135708008
"Cylindropuntia_imbricata";33,2045230008859;22,1166125708008
"Opuntia_stricta";36,1371120008859;38,5382821416016
"Opuntia_aurantiaca";36,1371210008859;38,5382911416016
"Alternanthera_philoxeroides";93,5997175008859;102,033782849609
"Tamarix_aphylla";100,403132500886;104,736256349609
"Fallopia_aubertii";67,0688260008859;65,6615871748047
"Rumex_lunaria";67,0686280008859;65,6613891748047
"Hakea_sericea";131,356496752235;138,04776959375
"Argemone_mexicana";120,208326235896;129,35424909375
"Clematis_vitalba";83,1487132358955;84,086547546875
"Ranunculus_acris";83,1487132358955;84,086547546875
"Eichhornia_crassipes";109,024092712235;115,154779585938
"Sporobolus_alterniflorus";31,6667747900131;31,1896712866211
"Cortaderia_selloana";31,6667747900131;31,1896712866211
"Phragmites_australis";29,7774312900131;29,3003277866211
"Arundo_donax";29,7774322900131;29,3003287866211
"Panicum_repens";22,4643646081949;19,7947857683105
"Urochloa_decumbens";17,4162294415283;9,91568719207764
"Urochloa_mutica";17,4162284415283;9,91568619207764
"Megathyrsus_maximus";17,4201049415283;13,2113033841553
"Cenchrus_pilosus";14,6536713581949;6,58564306707764
"Cenchrus_ciliaris";14,6536713581949;6,58564306707764
"Cenchrus_polystachios";14,9243928581949;9,80638913415527
"Setaria_pumila";16,3318438581949;15,7064392683105
"Andropogon_gayanus";21,0420684415283;17,4387360183105
"Imperata_cylindrica";21,0420624415283;17,4387300183105
"Hymenachne_amplexicaulis";27,7723789415283;28,1757670366211
"Bromus_tectorum";35,1618136566798;50,6515011464844
"Nassella_trichotoma";23,7642586566798;25,8531585732422
"Nassella_neesiana";23,7642586566798;25,8531585732422
"Agave_sisalana";49,8592678964459;45,5667365429688
"Agave_americana";49,8592678964459;45,5667365429688
"Asparagus_asparagoides";79,1961913964459;91,1276140859375
"Dioscorea_bulbifera";121,413218669173;132,55062434375
"Elodea_nuttallii";33,3080811069578;16,9338398652344
"Elodea_canadensis";33,3080811069578;16,9338398652344
"Egeria_densa";35,8563206069578;32,9923317304687
"Lagarosiphon_major";51,2125809402911;60,0128374609375
"Hydrilla_verticillata";63,1657776902911;91,019456921875
"Colocasia_esculenta";112,408283790291;115,086700421875
"Pistia_stratiotes";112,408283790291;115,086700421875
"Persea_americana";134,562612001197;158,177283375
"Aristolochia_elegans";69,9091140011974;80,6322916875
"Aristolochia_odoratissima";69,9091130011974;80,6322906875
"Cabomba_caroliniana";139,944936773684;232,0080455
"Pseudotsuga_menziesii";96,0480598;181,9237915
"Pinus_pinaster";75,11767305;96,40709025
"Pinus_radiata";70,2184113833333;49,974294125
"Pinus_taeda";69,2362368833333;25,7757210625
"Pinus_elliottii";69,2362378833333;25,7757220625
