"";"Rb_median";"AV_median";"FV_median";"NNmed"
"Dendrocygna_viduata";0,0111467392301084;0,976879110510878;0,976781354170388;0,238749477429613
"Thalassornis_leuconotus";0,0111479603373226;0,977070711322881;0,976972935808889;0,503829563269083
"Cygnus_columbianus";0,0111215556127017;0,975240251169231;0,975142658829476;0,107946518600309
"Cygnus_buccinator";0,0111214169067777;0,97522698642735;0,975129395414998;0,0812762826181714
"Cygnus_cygnus";0,0111214172750663;0,975227718135933;0,975130127050361;0,0871530777321131
"Cygnus_olor";0,0111214969346842;0,975230312522565;0,975132721177371;0,111329195856019
"Cygnus_atratus";0,0111214889324561;0,975230312522565;0,975132721177371;0,121073083846828
"Cygnus_melancoryphus";0,0111216846750236;0,975241873090692;0,975144280588631;0,208503062656486
"Chen_canagica";0,0111195111629061;0,97496984747591;0,974872282195467;0,0465647055400573
"Chen_caerulescens";0,0111194979477437;0,974969378161673;0,974871812928193;0,0190452629678076
"Chen_rossii";0,0111194803945523;0,974967513693972;0,97486994864707;0,0166453269706065
"Anser_indicus";0,0111194235191274;0,97496396638805;0,974866401696127;0,0208521977493692
"Anser_erythropus";0,0111194231707735;0,974964269333811;0,974866704611572;0,0169274498165601
"Anser_brachyrhynchus";0,0111194397119116;0,97496455233244;0,974866987581882;0,0122417983354613
"Anser_cygnoides";0,011119459195332;0,974965458139455;0,974867893298253;0,0139593790175371
"Anser_anser";0,0111195294519997;0,974978061714407;0,974880495611964;0,0117774782783752
"Anser_fabalis";0,0111195539418632;0,974976786656332;0,974879220681484;0,0153100742127592
"Anser_albifrons";0,0111195653545595;0,974979682905684;0,974882116641009;0,0443274947443886
"Branta_leucopsis";0,0111207373115004;0,975076887845113;0,974979311853134;0,126538086326741
"Branta_hutchinsii";0,0111204548640759;0,975061048764527;0,974963474357566;0,0279497002377215
"Branta_sandvicensis";0,0111203243629548;0,97506142574063;0,974963851295946;0,0233228962618266
"Branta_canadensis";0,0111203213153169;0,97506217423129;0,974964599711704;0,0244881670947702
"Branta_ruficollis";0,0111203020682755;0,975081628797144;0,974984052330737;0,0385384306398157
"Branta_bernicla";0,0111203608002126;0,975108171387274;0,97501059226475;0,130062083646127
"Cereopsis_novaehollandiae";0,0111233603374911;0,975529722090402;0,975432100783278;0,201836565916844
"Coscoroba_coscoroba";0,0111233603374911;0,975529722090402;0,975432100783278;0,201836565916844
"Malacorhynchus_membranaceus";0,0111248969404561;0,975698168450301;0,975600530286742;0,433184461797978
"Biziura_lobata";0,0111134744107592;0,97430093050682;0,97420343216493;0,202215316205237
"Sarkidiornis_melanotos";0,0111042159218753;0,974192681848091;0,97409519433865;0,0921294757882651
"Chloephaga_hybrida";0,0111042079067701;0,974090704796589;0,973993227491996;0,0858035352611316
"Chloephaga_melanoptera";0,0111042085923019;0,974063864767288;0,973966390148578;0,0870853650526262
"Neochen_jubata";0,0111042219337388;0,97406119761982;0,973963723268012;0,0906700608167791
"Chloephaga_rubidiceps";0,0111043916028653;0,974031425322339;0,973933953949846;0,0859035359561611
"Chloephaga_poliocephala";0,0111040993507282;0,974029042656252;0,973931571522193;0,0822089010020689
"Chloephaga_picta";0,0111040993507282;0,974029042656252;0,973931571522193;0,0636461417349858
