"";"parsed";"mdd_itis"
"3250";"Macroscelides micus";"Macroscelides micus"
"3251";"Ceratotherium simum";"Ceratotherium simum"
"3252";"Elephas maximus";"Elephas maximus"
"3253";"Apomys aurorae";"Apomys aurorae"
"3254";"Apomys banahao";"Apomys banahao"
"3255";"Apomys brownorum";"Apomys brownorum"
"3256";"Apomys minganensis";"Apomys minganensis"
"3257";"Apomys sierrae";"Apomys sierrae"
"3258";"Apomys zambalensis";"Apomys zambalensis"
"3259";"Archboldomys maximus";"Archboldomys maximus"
"3260";"Crocidura phanluongi";"Crocidura phanluongi"
"3261";"Crocidura phuquocensis";"Crocidura phuquocensis"
"3262";"Crocidura sokolovi";"Crocidura sokolovi"
"3263";"Crocidura zaitsevi";"Crocidura zaitsevi"
"3264";"Cryptotis aroensis";"Cryptotis aroensis"
"3265";"Myosorex bururiensis";"Myosorex bururiensis"
"3266";"Myosorex gnoskei";"Myosorex gnoskei"
"3267";"Suncus hututsi";"Suncus hututsi"
"3268";"Surdisorex schlitteri";"Surdisorex schlitteri"
"3269";"Sylvisorex akaibei";"Sylvisorex akaibei"
"3270";"Sylvisorex silvanorum";"Sylvisorex silvanorum"
"3271";"Euroscaptor subanura";"Euroscaptor subanura"
"3272";"Grammomys selousi";"Grammomys selousi"
"3273";"Hylomyscus pamfi";"Hylomyscus pamfi"
"3274";"Leopoldamys diwangkarai";"Leopoldamys diwangkarai"
"3275";"Notomys robustus";"Notomys robustus"
"3276";"Pseudohydromys berniceae";"Pseudohydromys berniceae"
"3277";"Pseudohydromys patriciae";"Pseudohydromys patriciae"
"3278";"Pseudohydromys sandrae";"Pseudohydromys sandrae"
"3279";"Rattus nikenii";"Rattus nikenii"
"3280";"Ctenomys ibicuiensis";"Ctenomys ibicuiensis"
"3281";"Dendromus lachaisei";"Dendromus lachaisei"
"3282";"Dendromus ruppi";"Dendromus ruppi"
"3283";"Petaurista mechukaensis";"Petaurista mechukaensis"
"3284";"Petaurista mishmiensis";"Petaurista mishmiensis"
"3285";"Neodon linzhiensis";"Neodon linzhiensis"
"3286";"Oxymycterus wayku";"Oxymycterus wayku"
"3287";"Phyllotis alisosiensis";"Phyllotis alisosiensis"
"3288";"Reithrodontomys musseri";"Reithrodontomys musseri"
"3289";"Otocyon megalotis";"Otocyon megalotis"
"3290";"Vulpes chama";"Vulpes chama"
"3291";"Vulpes zerda";"Vulpes zerda"
"3292";"Urocyon cinereoargenteus";"Urocyon cinereoargenteus"
"3293";"Vulpes ferrilata";"Vulpes ferrilata"
"3294";"Vulpes rueppellii";"Vulpes rueppellii"
"3295";"Drymoreomys albimaculatus";"Drymoreomys albimaculatus"
"3296";"Paucidentomys vermidax";"Paucidentomys vermidax"
"3297";"Soricomys leonardocoi";"Soricomys leonardocoi"
"3298";"Microcebus marohita";"Microcebus marohita"
"3299";"Bos javanicus";"Bos javanicus"
"3300";"Bos sauveli";"Bos sauveli"
"3301";"Bos gaurus";"Bos gaurus"
"3302";"Bubalus depressicornis";"Bubalus depressicornis"
"3303";"Bubalus quarlesi";"Bubalus quarlesi"
"3304";"Bubalus arnee";"Bubalus arnee"
"3305";"Thomasomys andersoni";"Thomasomys andersoni"
"3306";"Bradypus torquatus";"Bradypus torquatus"
