"";"parsed";"mdd_itis"
"1";"Lemmus lemmus";"Lemmus lemmus"
"2";"Lepus castroviejoi";"Lepus castroviejoi"
"3";"Marmota marmota";"Marmota marmota"
"4";"Microtus felteni";"Microtus felteni"
"5";"Microtus thomasi";"Microtus thomasi"
"6";"Microtus multiplex";"Microtus multiplex"
"7";"Microtus savii";"Microtus savii"
"8";"Microtus duodecimcostatus";"Microtus duodecimcostatus"
"9";"Microtus lusitanicus";"Microtus lusitanicus"
"10";"Microtus liechtensteini";"Microtus liechtensteini"
"11";"Plecotus sardus";"Plecotus sardus"
"12";"Microtus brachycercus";"Microtus brachycercus"
"13";"Myotis alcathoe";"Myotis alcathoe"
"14";"Uromys boeadii";"Uromys boeadii"
"15";"Sorex antinorii";"Sorex antinorii"
"16";"Apodemus epimelas";"Apodemus epimelas"
"17";"Mus spicilegus";"Mus spicilegus"
"18";"Euryoryzomys lamia";"Euryoryzomys lamia"
"19";"Phocarctos hookeri";"Phocarctos hookeri"
"20";"Prolagus sardus";"Prolagus sardus"
"21";"Apodemus alpicola";"Apodemus alpicola"
"22";"Sicista severtzovi";"Sicista severtzovi"
"23";"Sorex samniticus";"Sorex samniticus"
"24";"Spalax giganteus";"Spalax giganteus"
"25";"Spalax microphthalmus";"Spalax microphthalmus"
"26";"Acomys minous";"Acomys minous"
"27";"Acomys nesiotes";"Acomys nesiotes"
"28";"Erinaceus europaeus";"Erinaceus europaeus"
"29";"Crocidura sicula";"Crocidura sicula"
"30";"Sorex coronatus";"Sorex coronatus"
"31";"Sorex granarius";"Sorex granarius"
"32";"Lepus corsicanus";"Lepus corsicanus"
"33";"Lepus granatensis";"Lepus granatensis"
"34";"Talpa caeca";"Talpa caeca"
"35";"Talpa occidentalis";"Talpa occidentalis"
"36";"Talpa romana";"Talpa romana"
"37";"Talpa stankovici";"Talpa stankovici"
"38";"Crocidura canariensis";"Crocidura canariensis"
"39";"Phoniscus aerosus";"Phoniscus aerosus"
"40";"Megaerops wetmorei";"Megaerops wetmorei"
"41";"Mesocricetus brandti";"Mesocricetus brandti"
"42";"Mesocricetus newtoni";"Mesocricetus newtoni"
"43";"Microtus tatricus";"Microtus tatricus"
"44";"Plecotus kolombatovici";"Plecotus kolombatovici"
"45";"Nycticeius aenobarbus";"Nycticeius aenobarbus"
"46";"Crocidura hikmiya";"Crocidura hikmiya"
"47";"Scotophilus collinus";"Scotophilus collinus"
"48";"Bos primigenius";"Bos primigenius"
"49";"Mysateles prehensilis";"Mysateles prehensilis"
"50";"Naemorhedus goral";"Naemorhedus goral"
"51";"Neotoma magister";"Neotoma magister"
"52";"Ovis nivicola";"Ovis nivicola"
"53";"Plagiodontia aedium";"Plagiodontia aedium"
"54";"Pteropus vampyrus";"Pteropus vampyrus"
"55";"Rhinolophus paradoxolophus";"Rhinolophus"
"56";"Rubrisciurus rubriventer";"Rubrisciurus rubriventer"
"57";"Pennatomys nivalis";"Pennatomys nivalis"
"58";"Solomys ponceleti";"Solomys ponceleti"
"59";"Spalax arenarius";"Spalax arenarius"
"60";"Speothos venaticus";"Speothos venaticus"
"61";"Rattus vandeuseni";"Rattus vandeuseni"
"62";"Suncus montanus";"Suncus montanus"
"63";"Arvicola sapidus";"Arvicola sapidus"
"64";"Aselliscus stoliczkanus";"Aselliscus stoliczkanus"
"65";"Thomasomys vestitus";"Thomasomys vestitus"
"66";"Trichechus manatus";"Trichechus manatus"
"67";"Babyrousa babyrussa";"Babyrousa babyrussa"
"68";"Budorcas taxicolor";"Budorcas taxicolor"
"69";"Burramys parvus";"Burramys parvus"
"70";"Canis simensis";"Canis simensis"
"71";"Capricornis swinhoei";"Capricornis swinhoei"
"72";"Capromys pilorides";"Capromys pilorides"
"73";"Sarcophilus harrisii";"Sarcophilus harrisii"
"74";"Crocidura aleksandrisi";"Crocidura aleksandrisi"
"75";"Crocidura grandiceps";"Crocidura grandiceps"
"76";"Galeopterus variegatus";"Galeopterus variegatus"
"77";"Dama dama";"Dama dama"
"78";"Spermophilus musicus";"Spermophilus musicus"
"79";"Spalax zemni";"Spalax zemni"
"80";"Rhinolophus hillorum";"Rhinolophus hillorum"
"81";"Acomys seurati";"Acomys seurati"
"82";"Coelops robinsoni";"Coelops robinsoni"
"83";"Crocidura nimbae";"Crocidura nimbae"
"84";"Crocidura stenocephala";"Crocidura stenocephala"
"85";"Ctenodactylus gundi";"Ctenodactylus gundi"
"86";"Cynocephalus volans";"Cynocephalus volans"
"87";"Dasyprocta mexicana";"Dasyprocta mexicana"
"88";"Camelus ferus";"Camelus ferus"
"89";"Atelocynus microtis";"Atelocynus microtis"
"90";"Eliomys quercinus";"Eliomys quercinus"
"91";"Gerbillus maghrebi";"Gerbillus maghrebi"
"92";"Gerbillus floweri";"Gerbillus floweri"
"93";"Nilgiritragus hylocrius";"Nilgiritragus hylocrius"
"94";"Urocyon littoralis";"Urocyon littoralis"
"95";"Ursus maritimus";"Ursus maritimus"
"96";"Carterodon sulcidens";"Carterodon sulcidens"
"97";"Microcebus myoxinus";"Microcebus myoxinus"
"98";"Vulpes pallida";"Vulpes pallida"
"99";"Microcebus gerpi";"Microcebus gerpi"
"100";"Aotus zonalis";"Aotus zonalis"
"101";"Aotus lemurinus";"Aotus lemurinus"
"102";"Aotus brumbacki";"Aotus brumbacki"
"103";"Alouatta sara";"Alouatta sara"
"104";"Alouatta pigra";"Alouatta pigra"
"105";"Ateles hybridus";"Ateles hybridus"
"106";"Mico leucippe";"Mico leucippe"
"107";"Mico intermedius";"Mico intermedius"
"108";"Mico nigriceps";"Mico nigriceps"
"109";"Leontopithecus chrysopygus";"Leontopithecus chrysopygus"
"110";"Saimiri vanzolinii";"Saimiri vanzolinii"
"111";"Saimiri oerstedii";"Saimiri oerstedii"
"112";"Pygathrix nemaeus";"Pygathrix nemaeus"
"113";"Pygathrix cinerea";"Pygathrix cinerea"
"114";"Semnopithecus entellus";"Semnopithecus entellus"
"115";"Semnopithecus hypoleucos";"Semnopithecus hypoleucos"
"116";"Semnopithecus hector";"Semnopithecus hector"
"117";"Semnopithecus schistaceus";"Semnopithecus schistaceus"
"118";"Semnopithecus priam";"Semnopithecus priam"
"119";"Semnopithecus ajax";"Semnopithecus ajax"
"120";"Rhinopithecus strykeri";"Rhinopithecus strykeri"
"121";"Rhinopithecus bieti";"Rhinopithecus bieti"
"122";"Rhinopithecus avunculus";"Rhinopithecus avunculus"
"123";"Colobus satanas";"Colobus satanas"
"124";"Colobus guereza";"Colobus guereza"
"125";"Colobus polykomos";"Colobus polykomos"
"126";"Colobus angolensis";"Colobus angolensis"
"127";"Cercopithecus petaurista";"Cercopithecus petaurista"
"128";"Cercopithecus sclateri";"Cercopithecus sclateri"
"129";"Cercopithecus erythrotis";"Cercopithecus erythrotis"
"130";"Cercopithecus erythrogaster";"Cercopithecus erythrogaster"
"131";"Cercopithecus mona";"Cercopithecus mona"
"132";"Cercopithecus neglectus";"Cercopithecus neglectus"
"133";"Cercopithecus ascanius";"Cercopithecus ascanius"
"134";"Macaca tonkeana";"Macaca tonkeana"
"135";"Macaca thibetana";"Macaca thibetana"
"136";"Macaca nigrescens";"Macaca nigrescens"
"137";"Macaca munzala";"Macaca munzala"
"138";"Macaca hecki";"Macaca hecki"
"139";"Macaca siberu";"Macaca siberu"
"140";"Macaca cyclopis";"Macaca cyclopis"
"141";"Macaca pagensis";"Macaca pagensis"
"142";"Macaca assamensis";"Macaca assamensis"
"143";"Macaca nigra";"Macaca nigra"
"144";"Macaca mulatta";"Macaca mulatta"
"145";"Macaca sinica";"Macaca sinica"
"146";"Macaca silenus";"Macaca silenus"
"147";"Macaca radiata";"Macaca radiata"
"148";"Mandrillus sphinx";"Mandrillus sphinx"
"149";"Mandrillus leucophaeus";"Mandrillus leucophaeus"
"150";"Papio hamadryas";"Papio hamadryas"
"151";"Papio anubis";"Papio anubis"
"152";"Simias concolor";"Simias concolor"
"153";"Miopithecus ogouensis";"Miopithecus ogouensis"
"154";"Presbytis siamensis";"Presbytis siamensis"
"155";"Presbytis rubicunda";"Presbytis rubicunda"
"156";"Presbytis thomasi";"Presbytis thomasi"
"157";"Presbytis melalophos";"Presbytis melalophos"
"158";"Presbytis potenziani";"Presbytis potenziani"
"159";"Presbytis frontata";"Presbytis frontata"
"160";"Presbytis chrysomelas";"Presbytis chrysomelas"
"161";"Presbytis natunae";"Presbytis natunae"
"162";"Cercocebus sanjei";"Cercocebus sanjei"
"163";"Cercocebus chrysogaster";"Cercocebus chrysogaster"
"164";"Cercocebus galeritus";"Cercocebus galeritus"
"165";"Chlorocebus cynosuros";"Chlorocebus cynosuros"
"166";"Chlorocebus sabaeus";"Chlorocebus sabaeus"
"167";"Chlorocebus tantalus";"Chlorocebus tantalus"
"168";"Semnopithecus johnii";"Semnopithecus johnii"
"169";"Trachypithecus francoisi";"Trachypithecus francoisi"
"170";"Trachypithecus delacouri";"Trachypithecus delacouri"
"171";"Trachypithecus laotum";"Trachypithecus laotum"
"172";"Semnopithecus vetulus";"Semnopithecus vetulus"
"173";"Trachypithecus poliocephalus";"Trachypithecus poliocephalus"
"174";"Trachypithecus cristatus";"Trachypithecus cristatus"
"175";"Trachypithecus barbei";"Trachypithecus barbei"
"176";"Trachypithecus obscurus";"Trachypithecus obscurus"
"177";"Trachypithecus geei";"Trachypithecus geei"
"178";"Trachypithecus shortridgei";"Trachypithecus shortridgei"
"179";"Rungwecebus kipunji";"Rungwecebus kipunji"
"180";"Sciurocheirus gabonensis";"Sciurocheirus gabonensis"
"181";"Euoticus elegantulus";"Euoticus elegantulus"
"182";"Paragalago rondoensis";"Paragalago rondoensis"
"183";"Galagoides demidoff";"Galagoides demidoff"
"184";"Paragalago granti";"Paragalago granti"
"185";"Galagoides thomasi";"Galagoides thomasi"
"186";"Paragalago cocos";"Paragalago cocos"
"187";"Galago gallarum";"Galago gallarum"
"188";"Galago matschiei";"Galago matschiei"
"189";"Galago senegalensis";"Galago senegalensis"
"190";"Otolemur crassicaudatus";"Otolemur crassicaudatus"
"191";"Otolemur garnettii";"Otolemur garnettii"
"192";"Hylobates moloch";"Hylobates moloch"
"193";"Hylobates pileatus";"Hylobates pileatus"
"194";"Hylobates albibarbis";"Hylobates albibarbis"
"195";"Hylobates lar";"Hylobates lar"
"196";"Hylobates klossii";"Hylobates klossii"
"197";"Hylobates agilis";"Hylobates agilis"
"198";"Symphalangus syndactylus";"Symphalangus syndactylus"
"199";"Hoolock hoolock";"Hoolock hoolock"
"200";"Hoolock leuconedys";"Hoolock leuconedys"
"201";"Nomascus concolor";"Nomascus concolor"
"202";"Nomascus siki";"Nomascus siki"
"203";"Nomascus gabriellae";"Nomascus gabriellae"
"204";"Nomascus hainanus";"Nomascus hainanus"
"205";"Nomascus nasutus";"Nomascus nasutus"
"206";"Arctocebus aureus";"Arctocebus aureus"
"207";"Arctocebus calabarensis";"Arctocebus calabarensis"
"208";"Nycticebus menagensis";"Nycticebus menagensis"
"209";"Nycticebus coucang";"Nycticebus coucang"
"210";"Palaeopropithecus ingens";"Palaeopropithecus ingens"
"211";"Pithecia aequatorialis";"Pithecia aequatorialis"
"212";"Pithecia monachus";"Pithecia monachus"
"213";"Callicebus coimbrai";"Callicebus coimbrai"
"214";"Plecturocebus modestus";"Plecturocebus modestus"
"215";"Plecturocebus caligatus";"Plecturocebus caligatus"
"216";"Plecturocebus bernhardi";"Plecturocebus bernhardi"
"217";"Callicebus nigrifrons";"Callicebus nigrifrons"
"218";"Plecturocebus brunneus";"Plecturocebus brunneus"
"219";"Plecturocebus baptista";"Plecturocebus baptista"
"220";"Plecturocebus ornatus";"Plecturocebus ornatus"
"221";"Callicebus melanochir";"Callicebus melanochir"
"222";"Plecturocebus oenanthe";"Plecturocebus oenanthe"
"223";"Plecturocebus olallae";"Plecturocebus olallae"
"224";"Xenothrix mcgregori";"Xenothrix mcgregori"
"225";"Chiropotes chiropotes";"Chiropotes chiropotes"
"226";"Chiropotes utahickae";"Chiropotes utahicki"
"227";"Cephalopachus bancanus";"Cephalopachus bancanus"
"228";"Tarsius tumpara";"Tarsius tumpara"
"229";"Tarsius sangirensis";"Tarsius sangirensis"
"230";"Tarsius pelengensis";"Tarsius pelengensis"
"231";"Tarsius wallacei";"Tarsius wallacei"
"232";"Tarsius dentatus";"Tarsius dentatus"
"233";"Tarsius pumilus";"Tarsius pumilus"
"234";"Tarsius lariang";"Tarsius lariang"
"235";"Tarsius tarsier";"Tarsius tarsier"
"236";"Carlito syrichta";"Carlito syrichta"
"237";"Cebus brunneus";"Cebus brunneus"
"238";"Macaca ochreata";"Macaca ochreata"
"239";"Presbytis mitrata";"Presbytis mitrata"
"240";"Presbytis sumatranus";"Presbytis sumatrana"
"241";"Presbytis siberu";"Presbytis siberu"
"242";"Presbytis sabana";"Presbytis sabana"
"243";"Trachypithecus leucocephalus";"Trachypithecus leucocephalus"
"244";"Trachypithecus auratus";"Trachypithecus auratus"
"245";"Hylobates funereus";"Hylobates funereus"
"246";"Hylobates abbotti";"Hylobates abbotti"
"247";"Hylobates muelleri";"Hylobates muelleri"
"248";"Pithecia vanzolinii";"Pithecia vanzolinii"
"249";"Pithecia chrysocephala";"Pithecia chrysocephala"
"250";"Dicerorhinus sumatrensis";"Dicerorhinus sumatrensis"
"251";"Rhinoceros sondaicus";"Rhinoceros sondaicus"
"252";"Rhinoceros unicornis";"Rhinoceros unicornis"
"253";"Lama guanicoe";"Lama guanicoe"
"254";"Choeropsis liberiensis";"Choeropsis liberiensis"
"255";"Hippopotamus amphibius";"Hippopotamus amphibius"
"256";"Microgale jobihely";"Microgale jobihely"
"257";"Dendrohyrax dorsalis";"Dendrohyrax dorsalis"
"258";"Dendrohyrax arboreus";"Dendrohyrax arboreus"
"259";"Heterohyrax brucei";"Heterohyrax brucei"
"260";"Neamblysomus gunningi";"Neamblysomus gunningi"
"261";"Eremitalpa granti";"Eremitalpa granti"
"262";"Amblysomus septentrionalis";"Amblysomus septentrionalis"
"263";"Calcochloris obtusirostris";"Calcochloris obtusirostris"
"264";"Amblysomus marleyi";"Amblysomus marleyi"
"265";"Amblysomus robustus";"Amblysomus robustus"
"266";"Amblysomus corriae";"Amblysomus corriae"
"267";"Neamblysomus julianae";"Neamblysomus julianae"
"268";"Chlorotalpa duthieae";"Chlorotalpa duthieae"
"269";"Chlorotalpa sclateri";"Chlorotalpa sclateri"
"270";"Procavia capensis";"Procavia capensis"
"271";"Cryptochloris zyli";"Cryptochloris zyli"
"272";"Amblysomus hottentotus";"Amblysomus hottentotus"
"273";"Orycteropus afer";"Orycteropus afer"
"274";"Rhynchocyon petersi";"Rhynchocyon petersi"
"275";"Cryptochloris wintoni";"Cryptochloris wintoni"
"276";"Rhynchocyon chrysopygus";"Rhynchocyon chrysopygus"
"277";"Rhynchocyon udzungwensis";"Rhynchocyon udzungwensis"
"278";"Micropotamogale ruwenzorii";"Micropotamogale ruwenzorii"
"279";"Chrysochloris visagiei";"Chrysochloris visagiei"
"280";"Dendrohyrax validus";"Dendrohyrax validus"
"281";"Chrysochloris stuhlmanni";"Chrysochloris stuhlmanni"
"282";"Chrysochloris asiatica";"Chrysochloris asiatica"
"283";"Elephantulus fuscus";"Elephantulus fuscus"
"284";"Elephantulus fuscipes";"Elephantulus fuscipes"
"285";"Elephantulus brachyrhynchus";"Elephantulus brachyrhynchus"
"286";"Huetia leucorhina";"Huetia leucorhina"
"287";"Carpitalpa arendsi";"Carpitalpa arendsi"
"288";"Elephantulus myurus";"Elephantulus myurus"
"289";"Elephantulus intufi";"Elephantulus intufi"
"290";"Chrysospalax trevelyani";"Chrysospalax trevelyani"
"291";"Elephantulus edwardii";"Elephantulus edwardii"
"292";"Elephantulus rupestris";"Elephantulus rupestris"
"293";"Petrodromus tetradactylus";"Petrodromus tetradactylus"
"294";"Elephantulus pilicaudus";"Elephantulus pilicaudus"
"295";"Murexia naso";"Murexia naso"
"296";"Murexia rothschildi";"Murexia rothschildi"
"297";"Murexia habbema";"Murexia habbema"
"298";"Murexia melanurus";"Murexia melanurus"
"299";"Murexia longicaudata";"Murexia longicaudata"
"300";"Dasykaluta rosamondae";"Dasykaluta rosamondae"
"301";"Phascolosorex dorsalis";"Phascolosorex dorsalis"
"302";"Phascolosorex doriae";"Phascolosorex doriae"
"303";"Antechinomys laniger";"Antechinomys laniger"
"304";"Neophascogale lorentzii";"Neophascogale lorentzii"
"305";"Ningaui yvonneae";"Ningaui yvonneae"
"306";"Ningaui ridei";"Ningaui ridei"
"307";"Ningaui timealeyi";"Ningaui timealeyi"
"308";"Dasyuroides byrnei";"Dasyuroides byrnei"
"309";"Phascogale calura";"Phascogale calura"
"310";"Phascogale pirata";"Phascogale pirata"
"311";"Parantechinus apicalis";"Parantechinus apicalis"
"312";"Planigale maculata";"Planigale maculata"
"313";"Planigale tenuirostris";"Planigale tenuirostris"
"314";"Planigale gilesi";"Planigale gilesi"
"315";"Planigale ingrami";"Planigale ingrami"
"316";"Planigale novaeguineae";"Planigale novaeguineae"
"317";"Myoictis wallacei";"Myoictis wallacii"
"318";"Myoictis melas";"Myoictis melas"
"319";"Myoictis wavicus";"Myoictis wavicus"
"320";"Myoictis leucura";"Myoictis leucura"
"321";"Pseudantechinus bilarni";"Pseudantechinus bilarni"
"322";"Pseudantechinus woolleyae";"Pseudantechinus woolleyae"
"323";"Pseudantechinus mimulus";"Pseudantechinus mimulus"
"324";"Pseudantechinus macdonnellensis";"Pseudantechinus macdonnellensis"
"325";"Pseudantechinus ningbing";"Pseudantechinus ningbing"
"326";"Dasycercus cristicauda";"Dasycercus cristicauda"
"327";"Dasycercus blythi";"Dasycercus blythi"
"328";"Antechinus godmani";"Antechinus godmani"
"329";"Antechinus leo";"Antechinus leo"
"330";"Antechinus subtropicus";"Antechinus subtropicus"
"331";"Antechinus flavipes";"Antechinus flavipes"
"332";"Antechinus swainsonii";"Antechinus swainsonii"
"333";"Antechinus bellus";"Antechinus bellus"
"334";"Antechinus adustus";"Antechinus adustus"
"335";"Antechinus agilis";"Antechinus agilis"
"336";"Antechinus stuartii";"Antechinus stuartii"
"337";"Antechinus minimus";"Antechinus minimus"
"338";"Dasyurus maculatus";"Dasyurus maculatus"
"339";"Dasyurus albopunctatus";"Dasyurus albopunctatus"
"340";"Dasyurus spartacus";"Dasyurus spartacus"
"341";"Dasyurus viverrinus";"Dasyurus viverrinus"
"342";"Dasyurus hallucatus";"Dasyurus hallucatus"
"343";"Dasyurus geoffroii";"Dasyurus geoffroii"
"344";"Sminthopsis psammophila";"Sminthopsis psammophila"
"345";"Sminthopsis butleri";"Sminthopsis butleri"
"346";"Sminthopsis archeri";"Sminthopsis archeri"
"347";"Sminthopsis gilberti";"Sminthopsis gilberti"
"348";"Sminthopsis douglasi";"Sminthopsis douglasi"
"349";"Sminthopsis hirtipes";"Sminthopsis hirtipes"
"350";"Sminthopsis granulipes";"Sminthopsis granulipes"
"351";"Sminthopsis crassicaudata";"Sminthopsis crassicaudata"
"352";"Sminthopsis dolichura";"Sminthopsis dolichura"
"353";"Sminthopsis virginiae";"Sminthopsis virginiae"
"354";"Sminthopsis youngsoni";"Sminthopsis youngsoni"
"355";"Sminthopsis bindi";"Sminthopsis bindi"
"356";"Sminthopsis longicaudata";"Sminthopsis longicaudata"
"357";"Sminthopsis macroura";"Sminthopsis macroura"
"358";"Sminthopsis murina";"Sminthopsis murina"
"359";"Sminthopsis ooldea";"Sminthopsis ooldea"
"360";"Thylacinus cynocephalus";"Thylacinus cynocephalus"
"361";"Myrmecobius fasciatus";"Myrmecobius fasciatus"
"362";"Ailurops melanotis";"Ailurops melanotis"
"363";"Ailurops ursinus";"Ailurops ursinus"
"364";"Spilocuscus rufoniger";"Spilocuscus rufoniger"
"365";"Spilocuscus papuensis";"Spilocuscus papuensis"
"366";"Spilocuscus wilsoni";"Spilocuscus wilsoni"
"367";"Spilocuscus kraemeri";"Spilocuscus kraemeri"
"368";"Spilocuscus maculatus";"Spilocuscus maculatus"
"369";"Wyulda squamicaudata";"Wyulda squamicaudata"
"370";"Phalanger intercastellanus";"Phalanger intercastellanus"
"371";"Phalanger alexandrae";"Phalanger alexandrae"
"372";"Phalanger vestitus";"Phalanger vestitus"
"373";"Phalanger matanim";"Phalanger matanim"
"374";"Phalanger rothschildi";"Phalanger rothschildi"
"375";"Phalanger carmelitae";"Phalanger carmelitae"
"376";"Phalanger ornatus";"Phalanger ornatus"
"377";"Phalanger matabiru";"Phalanger matabiru"
"378";"Phalanger sericeus";"Phalanger sericeus"
"379";"Phalanger gymnotis";"Phalanger gymnotis"
"380";"Phalanger lullulae";"Phalanger lullulae"
"381";"Phalanger orientalis";"Phalanger orientalis"
"382";"Phalanger mimicus";"Phalanger mimicus"
"383";"Strigocuscus celebensis";"Strigocuscus celebensis"
"384";"Trichosurus caninus";"Trichosurus caninus"
"385";"Trichosurus cunninghami";"Trichosurus cunninghami"
"386";"Trichosurus vulpecula";"Trichosurus vulpecula"
"387";"Dorcopsis luctuosa";"Dorcopsis luctuosa"
"388";"Dorcopsis muelleri";"Dorcopsis muelleri"
"389";"Dorcopsis hageni";"Dorcopsis hageni"
"390";"Dorcopsis atrata";"Dorcopsis atrata"
"391";"Wallabia bicolor";"Wallabia bicolor"
"392";"Dorcopsulus vanheurni";"Dorcopsulus vanheurni"
"393";"Dorcopsulus macleayi";"Dorcopsulus macleayi"
"394";"Macropus giganteus";"Macropus giganteus"
"395";"Macropus fuliginosus";"Macropus fuliginosus"
"396";"Lagorchestes leporides";"Lagorchestes leporides"
"397";"Lagorchestes conspicillatus";"Lagorchestes conspicillatus"
"398";"Lagorchestes hirsutus";"Lagorchestes hirsutus"
"399";"Lagorchestes asomatus";"Lagorchestes asomatus"
"400";"Petrogale mareeba";"Petrogale mareeba"
"401";"Petrogale herberti";"Petrogale herberti"
"402";"Petrogale inornata";"Petrogale inornata"
"403";"Petrogale godmani";"Petrogale godmani"
"404";"Petrogale brachyotis";"Petrogale brachyotis"
"405";"Petrogale assimilis";"Petrogale assimilis"
"406";"Petrogale rothschildi";"Petrogale rothschildi"
"407";"Petrogale concinna";"Petrogale concinna"
"408";"Petrogale sharmani";"Petrogale sharmani"
"409";"Petrogale coenensis";"Petrogale coenensis"
"410";"Petrogale lateralis";"Petrogale lateralis"
"411";"Petrogale xanthopus";"Petrogale xanthopus"
"412";"Petrogale purpureicollis";"Petrogale purpureicollis"
"413";"Petrogale persephone";"Petrogale persephone"
"414";"Petrogale penicillata";"Petrogale penicillata"
"415";"Petrogale burbidgei";"Petrogale burbidgei"
"416";"Lagostrophus fasciatus";"Lagostrophus fasciatus"
"417";"Dendrolagus mbaiso";"Dendrolagus mbaiso"
"418";"Dendrolagus spadix";"Dendrolagus spadix"
"419";"Dendrolagus scottae";"Dendrolagus scottae"
"420";"Dendrolagus ursinus";"Dendrolagus ursinus"
"421";"Dendrolagus matschiei";"Dendrolagus matschiei"
"422";"Dendrolagus mayri";"Dendrolagus mayri"
"423";"Dendrolagus stellarum";"Dendrolagus stellarum"
"424";"Dendrolagus notatus";"Dendrolagus notatus"
"425";"Dendrolagus bennettianus";"Dendrolagus bennettianus"
"426";"Dendrolagus pulcherrimus";"Dendrolagus pulcherrimus"
"427";"Dendrolagus dorianus";"Dendrolagus dorianus"
"428";"Dendrolagus goodfellowi";"Dendrolagus goodfellowi"
"429";"Dendrolagus inustus";"Dendrolagus inustus"
"430";"Dendrolagus lumholtzi";"Dendrolagus lumholtzi"
"431";"Onychogalea lunata";"Onychogalea lunata"
"432";"Onychogalea unguifera";"Onychogalea unguifera"
"433";"Onychogalea fraenata";"Onychogalea frenata"
"434";"Thylogale stigmatica";"Thylogale stigmatica"
"435";"Thylogale thetis";"Thylogale thetis"
"436";"Thylogale browni";"Thylogale browni"
"437";"Thylogale billardierii";"Thylogale billardierii"
"438";"Thylogale calabyi";"Thylogale calabyi"
"439";"Thylogale brunii";"Thylogale brunii"
"440";"Tarsipes rostratus";"Tarsipes rostratus"
"441";"Vombatus ursinus";"Vombatus ursinus"
"442";"Lasiorhinus krefftii";"Lasiorhinus krefftii"
"443";"Lasiorhinus latifrons";"Lasiorhinus latifrons"
"444";"Petaurus abidi";"Petaurus abidi"
"445";"Petaurus norfolcensis";"Petaurus norfolcensis"
"446";"Petaurus gracilis";"Petaurus gracilis"
"447";"Petaurus australis";"Petaurus australis"
"448";"Petaurus biacensis";"Petaurus biacensis"
"449";"Petaurus breviceps";"Petaurus breviceps"
"450";"Gymnobelideus leadbeateri";"Gymnobelideus leadbeateri"
"451";"Dactylopsila trivirgata";"Dactylopsila trivirgata"
"452";"Dactylopsila tatei";"Dactylopsila tatei"
"453";"Dactylopsila megalura";"Dactylopsila megalura"
"454";"Potorous platyops";"Potorous platyops"
"455";"Potorous gilbertii";"Potorous gilbertii"
"456";"Bettongia pusilla";"Bettongia pusilla"
"457";"Bettongia gaimardi";"Bettongia gaimardi"
"458";"Bettongia lesueur";"Bettongia lesueur"
"459";"Bettongia penicillata";"Bettongia penicillata"
"460";"Aepyprymnus rufescens";"Aepyprymnus rufescens"
"461";"Caloprymnus campestris";"Caloprymnus campestris"
"462";"Pseudochirulus canescens";"Pseudochirulus canescens"
"463";"Pseudochirulus larvatus";"Pseudochirulus larvatus"
"464";"Pseudochirulus mayeri";"Pseudochirulus mayeri"
"465";"Pseudochirulus forbesi";"Pseudochirulus forbesi"
"466";"Pseudochirulus caroli";"Pseudochirulus caroli"
"467";"Pseudochirulus cinereus";"Pseudochirulus cinereus"
"468";"Pseudochirulus schlegeli";"Pseudochirulus schlegeli"
"469";"Pseudochirulus herbertensis";"Pseudochirulus herbertensis"
"470";"Petropseudes dahli";"Petropseudes dahlii"
"471";"Hemibelideus lemuroides";"Hemibelideus lemuroides"
"472";"Pseudochirops albertisii";"Pseudochirops albertisii"
"473";"Pseudochirops corinnae";"Pseudochirops corinnae"
"474";"Pseudochirops archeri";"Pseudochirops archeri"
"475";"Pseudochirops cupreus";"Pseudochirops cupreus"
"476";"Pseudochirops coronatus";"Pseudochirops coronatus"
"477";"Pseudocheirus peregrinus";"Pseudocheirus peregrinus"
"478";"Pseudocheirus occidentalis";"Pseudocheirus occidentalis"
"479";"Cercartetus concinnus";"Cercartetus concinnus"
"480";"Cercartetus caudatus";"Cercartetus caudatus"
"481";"Cercartetus lepidus";"Cercartetus lepidus"
"482";"Cercartetus nanus";"Cercartetus nanus"
"483";"Hypsiprymnodon moschatus";"Hypsiprymnodon moschatus"
"484";"Acrobates pygmaeus";"Acrobates pygmaeus"
"485";"Distoechurus pennatus";"Distoechurus pennatus"
"486";"Ornithorhynchus anatinus";"Ornithorhynchus anatinus"
"487";"Zaglossus bruijnii";"Zaglossus bruijnii"
"488";"Zaglossus attenboroughi";"Zaglossus attenboroughi"
"489";"Zaglossus bartoni";"Zaglossus bartoni"
"490";"Tachyglossus aculeatus";"Tachyglossus aculeatus"
"491";"Notoryctes caurinus";"Notoryctes caurinus"
"492";"Notoryctes typhlops";"Notoryctes typhlops"
"493";"Chaeropus ecaudatus";"Chaeropus ecaudatus"
"494";"Peroryctes broadbenti";"Peroryctes broadbenti"
"495";"Peroryctes raffrayana";"Peroryctes raffrayana"
"496";"Microperoryctes papuensis";"Microperoryctes papuensis"
"497";"Microperoryctes murina";"Microperoryctes murina"
"498";"Microperoryctes longicauda";"Microperoryctes longicauda"
"499";"Microperoryctes aplini";"Microperoryctes aplini"
"500";"Perameles bougainville";"Perameles bougainville"
"501";"Perameles eremiana";"Perameles eremiana"
"502";"Perameles gunnii";"Perameles gunnii"
"503";"Isoodon macrourus";"Isoodon macrourus"
"504";"Echymipera rufescens";"Echymipera rufescens"
"505";"Echymipera davidi";"Echymipera davidi"
"506";"Echymipera kalubu";"Echymipera kalubu"
